Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2020-01-02 09:30,NQ09B BUY NY STOP,8820.25,2,352860,-59,-0.02,9,0,0.00,-54.5,-0.02,-59,-0.02,0
1,Entry long,2020-01-02 09:30,[CC] BUY NY,8821.5,2,352860,-59,-0.02,9,0,0.00,-54.5,-0.02,-59,-0.02,0
2,Exit long,2020-01-03 09:30,NQ09B BUY NY STOP,8771,2,350890,-59,-0.02,9,0,0.00,-54.5,-0.02,-118,-0.05,0
2,Entry long,2020-01-03 09:30,[CC] BUY NY,8772.25,2,350890,-59,-0.02,9,0,0.00,-54.5,-0.02,-118,-0.05,0
3,Exit long,2020-01-05 18:00,NQ09B BUY WEEKLY STOP,8771.25,2,350900,-59,-0.02,9,0,0.00,-54.5,-0.02,-177,-0.07,0
3,Entry long,2020-01-05 18:00,[CC] BUY WEEKLY,8772.5,2,350900,-59,-0.02,9,0,0.00,-54.5,-0.02,-177,-0.07,0
4,Exit long,2020-01-06 09:30,NQ09B BUY NY STOP,8738,2,349570,-59,-0.02,9,0,0.00,-54.5,-0.02,-236,-0.09,0
4,Entry long,2020-01-06 09:30,[CC] BUY NY,8739.25,2,349570,-59,-0.02,9,0,0.00,-54.5,-0.02,-236,-0.09,0
5,Exit long,2020-01-07 09:30,NQ09B BUY NY STOP,8866,2,354690,-59,-0.02,9,285.5,0.08,-54.5,-0.02,-295,-0.12,0
5,Entry long,2020-01-07 09:30,[CC] BUY NY,8867.25,2,354690,-59,-0.02,9,285.5,0.08,-54.5,-0.02,-295,-0.12,0
6,Exit long,2020-01-08 09:30,NQ09B BUY NY STOP,8860.25,2,354460,-59,-0.02,9,0,0.00,-54.5,-0.02,-354,-0.14,0
6,Entry long,2020-01-08 09:30,[CC] BUY NY,8861.5,2,354460,-59,-0.02,9,0,0.00,-54.5,-0.02,-354,-0.14,0
7,Exit long,2020-01-09 09:30,NQ09B BUY NY STOP,9000.75,2,360080,-59,-0.02,9,0,0.00,-54.5,-0.02,-413,-0.17,0
7,Entry long,2020-01-09 09:30,[CC] BUY NY,9002,2,360080,-59,-0.02,9,0,0.00,-54.5,-0.02,-413,-0.17,0
8,Exit long,2020-01-10 09:30,NQ09B BUY NY STOP,9037,2,361530,-59,-0.02,9,135.5,0.04,-54.5,-0.02,-472,-0.19,0
8,Entry long,2020-01-10 09:30,[CC] BUY NY,9038.25,2,361530,-59,-0.02,9,135.5,0.04,-54.5,-0.02,-472,-0.19,0
9,Exit long,2020-01-12 18:00,NQ09B BUY WEEKLY W80,8987.25,2,359170,311,0.09,9,315.5,0.09,-14.5,0.00,-161,-0.06,0
9,Entry long,2020-01-12 18:00,[CC] BUY WEEKLY,8979.25,2,359170,311,0.09,9,315.5,0.09,-14.5,0.00,-161,-0.06,0
10,Exit long,2020-01-13 09:30,NQ09B BUY NY STOP,9016.5,2,360710,-59,-0.02,9,0,0.00,-54.5,-0.02,-220,-0.09,0
10,Entry long,2020-01-13 09:30,[CC] BUY NY,9017.75,2,360710,-59,-0.02,9,0,0.00,-54.5,-0.02,-220,-0.09,0
11,Exit long,2020-01-14 09:30,NQ09B BUY NY STOP,9075.5,2,363070,-59,-0.02,9,375.5,0.10,-54.5,-0.02,-279,-0.11,0
11,Entry long,2020-01-14 09:30,[CC] BUY NY,9076.75,2,363070,-59,-0.02,9,375.5,0.10,-54.5,-0.02,-279,-0.11,0
