Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2020-01-02 09:30,NQ09B SELL NY STOP,8822.25,2,352840,-59,-0.02,9,215.5,0.06,-54.5,-0.02,-59,-0.02,0
1,Entry short,2020-01-02 09:30,[CC] SELL NY,8821,2,352840,-59,-0.02,9,215.5,0.06,-54.5,-0.02,-59,-0.02,0
2,Exit short,2020-01-03 09:30,NQ09B SELL NY STOP,8773,2,350870,-59,-0.02,9,45.5,0.01,-54.5,-0.02,-118,-0.05,0
2,Entry short,2020-01-03 09:30,[CC] SELL NY,8771.75,2,350870,-59,-0.02,9,45.5,0.01,-54.5,-0.02,-118,-0.05,0
3,Exit short,2020-01-05 18:00,NQ09B SELL WEEKLY W80,8764,2,350880,311,0.09,9,315.5,0.09,-14.5,0.00,193,0.08,0
3,Entry short,2020-01-05 18:00,[CC] SELL WEEKLY,8772,2,350880,311,0.09,9,315.5,0.09,-14.5,0.00,193,0.08,0
4,Exit short,2020-01-06 09:30,NQ09B SELL NY STOP,8740,2,349550,-59,-0.02,9,385.5,0.11,-54.5,-0.02,134,0.05,0
4,Entry short,2020-01-06 09:30,[CC] SELL NY,8738.75,2,349550,-59,-0.02,9,385.5,0.11,-54.5,-0.02,134,0.05,0
5,Exit short,2020-01-07 09:30,NQ09B SELL NY STOP,8868,2,354670,-59,-0.02,9,0,0.00,-54.5,-0.02,75,0.03,0
5,Entry short,2020-01-07 09:30,[CC] SELL NY,8866.75,2,354670,-59,-0.02,9,0,0.00,-54.5,-0.02,75,0.03,0
6,Exit short,2020-01-08 09:30,NQ09B SELL NY N130 TP2,8848.25,2,354440,501,0.14,9,505.5,0.14,-14.5,0.00,576,0.23,0
6,Entry short,2020-01-08 09:30,[CC] SELL NY,8861,2,354440,501,0.14,9,505.5,0.14,-14.5,0.00,576,0.23,0
7,Exit short,2020-01-09 09:30,NQ09B SELL NY STOP,9002.75,2,360060,-59,-0.02,9,25.5,0.01,-54.5,-0.02,517,0.21,0
7,Entry short,2020-01-09 09:30,[CC] SELL NY,9001.5,2,360060,-59,-0.02,9,25.5,0.01,-54.5,-0.02,517,0.21,0
8,Exit short,2020-01-10 09:30,NQ09B SELL NY STOP,9039,2,361510,-59,-0.02,9,0,0.00,-54.5,-0.02,458,0.18,0
8,Entry short,2020-01-10 09:30,[CC] SELL NY,9037.75,2,361510,-59,-0.02,9,0,0.00,-54.5,-0.02,458,0.18,0
9,Exit short,2020-01-12 18:00,NQ09B SELL WEEKLY STOP,8980,2,359150,-59,-0.02,9,0,0.00,-54.5,-0.02,399,0.16,0
9,Entry short,2020-01-12 18:00,[CC] SELL WEEKLY,8978.75,2,359150,-59,-0.02,9,0,0.00,-54.5,-0.02,399,0.16,0
10,Exit short,2020-01-13 09:30,NQ09B SELL NY STOP,9018.5,2,360690,-59,-0.02,9,85.5,0.02,-54.5,-0.02,340,0.14,0
10,Entry short,2020-01-13 09:30,[CC] SELL NY,9017.25,2,360690,-59,-0.02,9,85.5,0.02,-54.5,-0.02,340,0.14,0
11,Exit short,2020-01-14 09:30,NQ09B SELL NY STOP,9077.5,2,363050,-59,-0.02,9,0,0.00,-54.5,-0.02,281,0.11,0
11,Entry short,2020-01-14 09:30,[CC] SELL NY,9076.25,2,363050,-59,-0.02,9,0,0.00,-54.5,-0.02,281,0.11,0
12,Exit short,2020-01-15 09:30,NQ09B SELL NY STOP,9055,2,362150,-59,-0.02,9,95.5,0.03,-54.5,-0.02,222,0.09,0
12,Entry short,2020-01-15 09:30,[CC] SELL NY,9053.75,2,362150,-59,-0.02,9,95.5,0.03,-54.5,-0.02,222,0.09,0
13,Exit short,2020-01-16 09:30,NQ09B SELL NY STOP,9096.75,2,363820,-59,-0.02,9,295.5,0.08,-54.5,-0.01,163,0.07,0
13,Entry short,2020-01-16 09:30,[CC] SELL NY,9095.5,2,363820,-59,-0.02,9,295.5,0.08,-54.5,-0.01,163,0.07,0
14,Exit short,2020-01-17 09:30,NQ09B SELL NY STOP,9176.5,2,367010,-59,-0.02,9,0,0.00,-54.5,-0.01,104,0.04,0
14,Entry short,2020-01-17 09:30,[CC] SELL NY,9175.25,2,367010,-59,-0.02,9,0,0.00,-54.5,-0.01,104,0.04,0
15,Exit short,2020-01-19 18:00,NQ09B SELL WEEKLY STOP,9175,2,366950,-59,-0.02,9,0,0.00,-54.5,-0.01,45,0.02,0
15,Entry short,2020-01-19 18:00,[CC] SELL WEEKLY,9173.75,2,366950,-59,-0.02,9,0,0.00,-54.5,-0.01,45,0.02,0
