trade_number,entry_time,buy_entry,quantity,route,buy_entry_signal,buy_exit,buy_net,buy_commission,buy_favorable_usd,buy_adverse_usd,buy_exit_signal,sell_entry,sell_entry_signal,sell_exit,sell_net,sell_commission,sell_favorable_usd,sell_adverse_usd,sell_exit_signal,buy_stop,sell_stop,outcome,pair_net,buy_mfe_points,sell_mfe_points,max_mfe_points,mfe_side,year,month
1,2020-01-02 09:30:00,8821.5,2,NY,NQ09B|clock20200102|trade20200102|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8821.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.111|al0|wc0.407|cpNaN|pdlNaN|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8820.25,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,8821.0,NQ09B|clock20200102|trade20200102|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8821.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.111|al0|wc0.407|cpNaN|pdlNaN|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8822.25,-59.0,9.0,215.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,5.5,5.5,SELL,2020,2020-01
2,2020-01-03 09:30:00,8772.25,2,NY,NQ09B|clock20200103|trade20200103|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8772.25|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.309|cpNaN|pdl0.021|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8771.0,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,8771.75,NQ09B|clock20200103|trade20200103|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8772.25|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.309|cpNaN|pdl0.021|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8773.0,-59.0,9.0,45.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,1.25,1.25,SELL,2020,2020-01
3,2020-01-05 18:00:00,8772.5,2,WEEKLY,NQ09B|clock20200105|trade20200106|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref8811.75|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al0|wc0.887|cpNaN|pdl0.32|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8771.25,-59.0,9.0,0.0,-54.5,NQ09B BUY WEEKLY STOP,8772.0,NQ09B|clock20200105|trade20200106|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref8811.75|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al0|wc0.887|cpNaN|pdl0.32|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8764.0,311.0,9.0,315.5,-14.5,NQ09B SELL WEEKLY W80,True,False,SELL_TARGET,252.0,0.0,8.0,8.0,SELL,2020,2020-01
4,2020-01-06 09:30:00,8739.25,2,NY,NQ09B|clock20200106|trade20200106|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8738.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.889|al0|wc0.573|cpNaN|pdl0.02|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8738.0,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,8738.75,NQ09B|clock20200106|trade20200106|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8738.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.889|al0|wc0.573|cpNaN|pdl0.02|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8740.0,-59.0,9.0,385.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,9.75,9.75,SELL,2020,2020-01
5,2020-01-07 09:30:00,8867.25,2,NY,NQ09B|clock20200107|trade20200107|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8867.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.212|al0|wc0.299|cpNaN|pdl0.96|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8866.0,-59.0,9.0,285.5,-54.5,NQ09B BUY NY STOP,8866.75,NQ09B|clock20200107|trade20200107|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8867.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.212|al0|wc0.299|cpNaN|pdl0.96|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8868.0,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,7.25,0.0,7.25,BUY,2020,2020-01
6,2020-01-08 09:30:00,8861.5,2,NY,NQ09B|clock20200108|trade20200108|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8861.00|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.497|cpNaN|pdl0.511|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8860.25,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,8861.0,NQ09B|clock20200108|trade20200108|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8861.00|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.497|cpNaN|pdl0.511|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8848.25,501.0,9.0,505.5,-14.5,NQ09B SELL NY N130 TP2,True,False,SELL_TARGET,442.0,0.0,12.75,12.75,SELL,2020,2020-01
7,2020-01-09 09:30:00,9002.0,2,NY,NQ09B|clock20200109|trade20200109|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9002.00|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.542|cpNaN|pdl1.101|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,9000.75,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,9001.5,NQ09B|clock20200109|trade20200109|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9002.00|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.542|cpNaN|pdl1.101|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,9002.75,-59.0,9.0,25.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,0.75,0.75,SELL,2020,2020-01
8,2020-01-10 09:30:00,9038.25,2,NY,NQ09B|clock20200110|trade20200110|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9038.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.865|cpNaN|pdl1.175|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,9037.0,-59.0,9.0,135.5,-54.5,NQ09B BUY NY STOP,9037.75,NQ09B|clock20200110|trade20200110|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9038.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.865|cpNaN|pdl1.175|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,9039.0,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,3.5,0.0,3.5,BUY,2020,2020-01
9,2020-01-12 18:00:00,8979.25,2,WEEKLY,NQ09B|clock20200112|trade20200113|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref8978.25|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.73|cpNaN|pdl0.51|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8987.25,311.0,9.0,315.5,-14.5,NQ09B BUY WEEKLY W80,8978.75,NQ09B|clock20200112|trade20200113|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref8978.25|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.73|cpNaN|pdl0.51|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,8980.0,-59.0,9.0,0.0,-54.5,NQ09B SELL WEEKLY STOP,False,True,BUY_TARGET,252.0,8.0,0.0,8.0,BUY,2020,2020-01
10,2020-01-13 09:30:00,9017.75,2,NY,NQ09B|clock20200113|trade20200113|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9017.50|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.588|al0|wc0.566|cpNaN|pdl0.574|pwl0.899|dhNaN|dlNaN|whNaN|wlNaN,9016.5,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,9017.25,NQ09B|clock20200113|trade20200113|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9017.50|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.588|al0|wc0.566|cpNaN|pdl0.574|pwl0.899|dhNaN|dlNaN|whNaN|wlNaN,9018.5,-59.0,9.0,85.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,2.25,2.25,SELL,2020,2020-01
