trade_number,entry_time,buy_entry,quantity,route,buy_entry_signal,buy_exit,buy_net,buy_commission,buy_favorable_usd,buy_adverse_usd,buy_exit_signal,sell_entry,sell_entry_signal,sell_exit,sell_net,sell_commission,sell_favorable_usd,sell_adverse_usd,sell_exit_signal,buy_stop,sell_stop,outcome,pair_net,buy_mfe_points,sell_mfe_points,max_mfe_points,mfe_side,year,month
2206,2025-08-29 09:30:00,23652.25,2,NY,NQ09B|clock20250829|trade20250829|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref23652.50|risk118.00|s60NORMAL|r1-0.043|r20.123|r600.077|rg600.184|ef600.454|al0|wc0.347|cp27.1|pdl0.522|pwl0.729|dh0.5|dl0.546|wh0.759|wl2.043,23651.0,-59.0,9.0,625.5,-54.5,NQ09B BUY NY STOP,23651.75,NQ09B|clock20250829|trade20250829|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref23652.50|risk118.00|s60NORMAL|r1-0.043|r20.123|r600.077|rg600.184|ef600.454|al0|wc0.347|cp27.1|pdl0.522|pwl0.729|dh0.5|dl0.546|wh0.759|wl2.043,23653.0,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,15.75,0.0,15.75,BUY,2025,2025-08
2180,2025-08-06 09:30:00,23169.5,2,NY,NQ09B|clock20250806|trade20250806|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref23168.75|risk118.00|s60NORMAL|r1-0.03|r20.092|r600.06|rg600.149|ef600.478|al0|wc0.414|cp40.1|pdl0.263|pwl0.368|dh0.748|dl0.268|wh2.148|wl1.251,23168.25,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,23169.0,NQ09B|clock20250806|trade20250806|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref23168.75|risk118.00|s60NORMAL|r1-0.03|r20.092|r600.06|rg600.149|ef600.478|al0|wc0.414|cp40.1|pdl0.263|pwl0.368|dh0.748|dl0.268|wh2.148|wl1.251,23170.25,-59.0,9.0,625.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,15.75,15.75,SELL,2025,2025-08
2188,2025-08-13 09:30:00,24044.75,2,NY,NQ09B|clock20250813|trade20250813|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref24044.50|risk118.00|s60EXPANSION|r10.079|r20.043|r600.124|rg600.137|ef601|al1|wc0.341|cp45.1|pdl1.255|pwl1.293|dh0.289|dl1.425|wh0.879|wl3.885,24043.5,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,24044.25,NQ09B|clock20250813|trade20250813|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref24044.50|risk118.00|s60EXPANSION|r10.079|r20.043|r600.124|rg600.137|ef601|al1|wc0.341|cp45.1|pdl1.255|pwl1.293|dh0.289|dl1.425|wh0.879|wl3.885,24045.5,-59.0,9.0,615.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,15.5,15.5,SELL,2025,2025-08
2229,2025-09-19 09:30:00,24768.0,2,NY,NQ09B|clock20250919|trade20250919|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref24768.50|risk118.00|s60CHOP|r10.102|r2-0.044|r600.058|rg600.172|ef600.399|al0|wc0.387|cp31.1|pdl0.852|pwl2.198|dh0.161|dl0.925|wh2.063|wl3.785,24766.75,-59.0,9.0,605.5,-54.5,NQ09B BUY NY STOP,24767.5,NQ09B|clock20250919|trade20250919|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref24768.50|risk118.00|s60CHOP|r10.102|r2-0.044|r600.058|rg600.172|ef600.399|al0|wc0.387|cp31.1|pdl0.852|pwl2.198|dh0.161|dl0.925|wh2.063|wl3.785,24768.75,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,15.25,0.0,15.25,BUY,2025,2025-09
2157,2025-07-16 09:30:00,23074.5,2,NY,NQ09B|clock20250716|trade20250716|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref23074.50|risk118.00|s60EXPANSION|r10.004|r20.153|r600.155|rg600.193|ef600.979|al1|wc0.393|cp23.1|pdl0.346|pwl0.887|dh0.503|dl0.267|wh0.127|wl1.001,23073.25,-59.0,9.0,595.5,-54.5,NQ09B BUY NY STOP,23074.0,NQ09B|clock20250716|trade20250716|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref23074.50|risk118.00|s60EXPANSION|r10.004|r20.153|r600.155|rg600.193|ef600.979|al1|wc0.393|cp23.1|pdl0.346|pwl0.887|dh0.503|dl0.267|wh0.127|wl1.001,23075.25,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,15.0,0.0,15.0,BUY,2025,2025-07
2475,2026-05-01 09:30:00,27633.0,2,NY,NQ09B|clock20260501|trade20260501|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref27632.50|risk118.00|s60CHOP|r10.122|r2-0.078|r600.043|rg600.158|ef600.214|al0|wc0.173|cp37.1|pdl1.021|pwl1.183|dh0.021|dl1.024|wh0.371|wl2.395,27631.75,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,27632.5,NQ09B|clock20260501|trade20260501|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref27632.50|risk118.00|s60CHOP|r10.122|r2-0.078|r600.043|rg600.158|ef600.214|al0|wc0.173|cp37.1|pdl1.021|pwl1.183|dh0.021|dl1.024|wh0.371|wl2.395,27633.75,-59.0,9.0,585.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,14.75,14.75,SELL,2026,2026-05
1990,2025-02-12 09:30:00,21551.25,2,NY,NQ09B|clock20250212|trade20250212|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp15.00|ref21551.00|risk118.00|s60SHOCK|r10.016|r2-0.7|r60-0.684|rg600.845|ef600.955|al0|wc0.264|cp0.1|pdl-0.587|pwl0.593|dh0.798|dl0.295|wh1.038|wl1.514,21550.0,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,21550.75,NQ09B|clock20250212|trade20250212|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp15.00|ref21551.00|risk118.00|s60SHOCK|r10.016|r2-0.7|r60-0.684|rg600.845|ef600.955|al0|wc0.264|cp0.1|pdl-0.587|pwl0.593|dh0.798|dl0.295|wh1.038|wl1.514,21552.0,-59.0,9.0,575.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,14.5,14.5,SELL,2025,2025-02
1911,2024-11-29 09:30:00,20830.75,2,NY,NQ09B|clock20241129|trade20241129|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp14.75|ref20830.50|risk118.00|s60CHOP|r10.006|r2-0.036|r60-0.029|rg600.195|ef600.698|al0|wc0.841|cp22.1|pdl0.452|pwl0.856|dh0.596|dl0.492|wh0.238|wl1.417,20829.5,-59.0,9.0,575.5,-54.5,NQ09B BUY NY STOP,20830.25,NQ09B|clock20241129|trade20241129|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp14.75|ref20830.50|risk118.00|s60CHOP|r10.006|r2-0.036|r60-0.029|rg600.195|ef600.698|al0|wc0.841|cp22.1|pdl0.452|pwl0.856|dh0.596|dl0.492|wh0.238|wl1.417,20831.5,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,14.5,0.0,14.5,BUY,2024,2024-11
2104,2025-05-28 09:30:00,21505.5,2,NY,NQ09B|clock20250528|trade20250528|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp15.00|ref21505.25|risk118.00|s60CHOP|r1-0.004|r2-0.013|r60-0.017|rg600.102|ef601|al1|wc0.877|cp59.1|pdl1.031|pwl0.932|dh0.034|dl1.134|wh0.117|wl1.601,21504.25,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,21505.0,NQ09B|clock20250528|trade20250528|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp15.00|ref21505.25|risk118.00|s60CHOP|r1-0.004|r2-0.013|r60-0.017|rg600.102|ef601|al1|wc0.877|cp59.1|pdl1.031|pwl0.932|dh0.034|dl1.134|wh0.117|wl1.601,21506.25,-59.0,9.0,575.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,14.5,14.5,SELL,2025,2025-05
2576,2026-07-30 09:30:00,27877.5,2,NY,NQ09B|clock20260730|trade20260730|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref27876.25|risk118.00|s60EXPANSION|r10.099|r20.093|r600.194|rg600.24|ef601|al1|wc0.316|cp4.1|pdl0.691|pwl-0.292|dh0.431|dl0.964|wh2.126|wl0.48,27876.25,-59.0,9.0,575.5,-54.5,NQ09B BUY NY STOP,27877.0,NQ09B|clock20260730|trade20260730|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp16.00|ref27876.25|risk118.00|s60EXPANSION|r10.099|r20.093|r600.194|rg600.24|ef601|al1|wc0.316|cp4.1|pdl0.691|pwl-0.292|dh0.431|dl0.964|wh2.126|wl0.48,27878.25,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,14.5,0.0,14.5,BUY,2026,2026-07
