trade_number,entry_time,source_status,route,tv_outcome,raw_outcome_clean,parity_class,tv_pair_net_y,baseline_pair_net,raw_minus_tv_net,tv_max_mfe_points,buy_mfe_points,sell_mfe_points,entry_time_match,status,first_exit_direction,first_exit_reason,buy_exit_reason,sell_exit_reason,active_symbol
2175,2025-08-03 18:00:00,VALIDATED_SOURCE,WEEKLY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-228.0,-110.0,9.25,0.0,9.25,True,RESOLVED,SELL,STOP,STOP,STOP,NQU5
2176,2025-08-04 09:30:00,VALIDATED_SOURCE,NY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-118.0,0.0,5.0,0.0,5.0,True,RESOLVED,SELL,STOP,STOP,STOP,NQU5
2177,2025-08-04 18:00:00,VALIDATED_SOURCE,WEEKDAY_PREMIUM,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-148.0,-30.0,5.75,5.75,0.0,True,RESOLVED,SELL,STOP,STOP,STOP,NQU5
2178,2025-08-05 09:30:00,VALIDATED_SOURCE,NY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-118.0,0.0,9.0,9.0,0.0,True,RESOLVED,SELL,STOP,STOP,STOP,NQU5
2179,2025-08-05 18:00:00,VALIDATED_SOURCE,WEEKDAY_PREMIUM,SELL_TARGET,DOUBLE_STOP,TV_TARGET_TO_RAW_DOUBLE_STOP,332.0,-418.0,-750.0,10.0,0.0,10.0,True,RESOLVED,BUY,STOP,STOP,STOP,NQU5
2180,2025-08-06 09:30:00,VALIDATED_SOURCE,NY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-118.0,0.0,15.75,0.0,15.75,True,RESOLVED,BUY,STOP,STOP,STOP,NQU5
2181,2025-08-07 09:30:00,VALIDATED_SOURCE,NY,SELL_TARGET,DOUBLE_STOP,TV_TARGET_TO_RAW_DOUBLE_STOP,572.0,-118.0,-690.0,16.0,0.0,16.0,True,RESOLVED,BUY,STOP,STOP,STOP,NQU5
2182,2025-08-07 18:00:00,VALIDATED_SOURCE,WEEKDAY_WEAK,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-59.0,-109.0,-50.0,2.0,0.0,2.0,True,RESOLVED,BUY,STOP,STOP,STOP,NQU5
2183,2025-08-08 09:30:00,VALIDATED_SOURCE,NY,DOUBLE_STOP,BUY_TARGET,TV_DOUBLE_STOP_TO_RAW_TARGET,-118.0,572.0,690.0,11.5,0.0,11.5,True,RESOLVED,SELL,STOP,TARGET,STOP,NQU5
2184,2025-08-10 18:00:00,VALIDATED_SOURCE,WEEKLY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-178.0,-60.0,6.5,6.5,0.0,True,RESOLVED,BUY,STOP,STOP,STOP,NQU5
2185,2025-08-11 09:30:00,VALIDATED_SOURCE,NY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-118.0,0.0,14.25,14.25,0.0,True,RESOLVED,SELL,STOP,STOP,STOP,NQU5
2186,2025-08-12 09:30:00,VALIDATED_SOURCE,NY,SELL_TARGET,DOUBLE_STOP,TV_TARGET_TO_RAW_DOUBLE_STOP,572.0,-118.0,-690.0,16.0,0.0,16.0,True,RESOLVED,BUY,STOP,STOP,STOP,NQU5
2187,2025-08-12 18:00:00,VALIDATED_SOURCE,WEEKDAY_WEAK,SELL_TARGET,UNRESOLVED,RAW_UNRESOLVED,166.0,,,10.0,0.0,10.0,True,UNRESOLVED_BOTH_WORKERS_EXIT_SAME_EVENT,,,,,NQU5
2188,2025-08-13 09:30:00,VALIDATED_SOURCE,NY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-118.0,0.0,15.5,0.0,15.5,True,RESOLVED,BUY,STOP,STOP,STOP,NQU5
2189,2025-08-14 09:30:00,VALIDATED_SOURCE,NY,SELL_TARGET,DOUBLE_STOP,TV_TARGET_TO_RAW_DOUBLE_STOP,572.0,-118.0,-690.0,16.0,0.0,16.0,True,RESOLVED,SELL,STOP,STOP,STOP,NQU5
2190,2025-08-14 18:00:00,VALIDATED_SOURCE,WEEKDAY_WEAK,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-59.0,-114.0,-55.0,0.5,0.5,0.0,True,RESOLVED,SELL,STOP,STOP,STOP,NQU5
2191,2025-08-15 09:30:00,VALIDATED_SOURCE,NY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-128.0,-10.0,1.5,1.5,0.0,True,RESOLVED,SELL,STOP,STOP,STOP,NQU5
2223,2025-09-14 18:00:00,VALIDATED_SOURCE,WEEKLY,DOUBLE_STOP,UNRESOLVED,RAW_UNRESOLVED,-118.0,,,7.0,7.0,0.0,True,UNRESOLVED_BOTH_WORKERS_EXIT_SAME_EVENT,,,,,NQU5
2224,2025-09-15 09:30:00,VALIDATED_SOURCE,NY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-118.0,0.0,4.75,0.0,4.75,True,RESOLVED,BUY,STOP,STOP,STOP,NQZ5
2225,2025-09-16 09:30:00,VALIDATED_SOURCE,NY,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-118.0,-128.0,-10.0,12.0,12.0,0.0,True,RESOLVED,SELL,STOP,STOP,STOP,NQZ5
2226,2025-09-17 09:30:00,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,BUY_TARGET,BUY_TARGET,OUTCOME_MATCH,572.0,572.0,0.0,16.0,16.0,0.0,True,RESOLVED,SELL,STOP,TARGET,STOP,NQZ5
2227,2025-09-17 18:00:00,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,WEEKDAY_WEAK,DOUBLE_STOP,DOUBLE_STOP,OUTCOME_MATCH,-59.0,-169.0,-110.0,3.0,0.0,3.0,True,RESOLVED,SELL,STOP,STOP,STOP,NQZ5
