geometry_mode,trigger_mode,start_offset_ms,clean_sessions,resolved_sessions,unresolved_sessions,outcome_matches,outcome_match_rate,tv_target_sessions,target_matches,target_preservation_rate,tv_double_stops,raw_double_stops,raw_targets,default_net,raw_net_resolved_only,net_difference,absolute_net_difference,pass_outcome_rate,pass_target_rate,pass_zero_unresolved,all_parity_gates_pass
DNA_TP_DNA_SP,TRADE_TOUCH,0,22,22,0,16,0.7272727272727273,6,1,0.16666666666666666,16,20,2,1016.0,-1109.0,-2125.0,2125.0,False,False,True,False
DNA_TP_DNA_SP,TRADE_TOUCH,1,22,22,0,16,0.7272727272727273,6,1,0.16666666666666666,16,20,2,1016.0,-1109.0,-2125.0,2125.0,False,False,True,False
DNA_TP_REGISTRY_STOP,TRADE_TOUCH,0,22,22,0,16,0.7272727272727273,6,1,0.16666666666666666,16,20,2,1016.0,-1109.0,-2125.0,2125.0,False,False,True,False
DNA_TP_REGISTRY_STOP,TRADE_TOUCH,1,22,22,0,16,0.7272727272727273,6,1,0.16666666666666666,16,20,2,1016.0,-1109.0,-2125.0,2125.0,False,False,True,False
FORMULA_TP_REGISTRY_STOP,TRADE_TOUCH,0,22,22,0,16,0.7272727272727273,6,1,0.16666666666666666,16,20,2,1016.0,-1109.0,-2125.0,2125.0,False,False,True,False
FORMULA_TP_REGISTRY_STOP,TRADE_TOUCH,1,22,22,0,16,0.7272727272727273,6,1,0.16666666666666666,16,20,2,1016.0,-1109.0,-2125.0,2125.0,False,False,True,False
DNA_TP_DNA_SP,TRADE_TOUCH,100,22,22,0,15,0.6818181818181818,6,1,0.16666666666666666,16,18,4,1016.0,-449.0,-1465.0,1465.0,False,False,True,False
DNA_TP_REGISTRY_STOP,TRADE_TOUCH,100,22,22,0,15,0.6818181818181818,6,1,0.16666666666666666,16,18,4,1016.0,-449.0,-1465.0,1465.0,False,False,True,False
FORMULA_TP_REGISTRY_STOP,TRADE_TOUCH,100,22,22,0,15,0.6818181818181818,6,1,0.16666666666666666,16,18,4,1016.0,-449.0,-1465.0,1465.0,False,False,True,False
DNA_TP_DNA_SP,LEGACY_STAGE3F,100,22,21,1,15,0.6818181818181818,6,1,0.16666666666666666,16,18,3,1016.0,-1961.0,-2977.0,2977.0,False,False,False,False
DNA_TP_REGISTRY_STOP,LEGACY_STAGE3F,100,22,21,1,15,0.6818181818181818,6,1,0.16666666666666666,16,18,3,1016.0,-1961.0,-2977.0,2977.0,False,False,False,False
FORMULA_TP_REGISTRY_STOP,LEGACY_STAGE3F,100,22,21,1,15,0.6818181818181818,6,1,0.16666666666666666,16,18,3,1016.0,-1961.0,-2977.0,2977.0,False,False,False,False
DNA_TP_DNA_SP,MID_TOUCH,100,22,22,0,14,0.6363636363636364,6,1,0.16666666666666666,16,17,5,1016.0,-9.0,-1025.0,1025.0,False,False,True,False
DNA_TP_REGISTRY_STOP,MID_TOUCH,100,22,22,0,14,0.6363636363636364,6,1,0.16666666666666666,16,17,5,1016.0,-9.0,-1025.0,1025.0,False,False,True,False
FORMULA_TP_REGISTRY_STOP,MID_TOUCH,100,22,22,0,14,0.6363636363636364,6,1,0.16666666666666666,16,17,5,1016.0,-9.0,-1025.0,1025.0,False,False,True,False
DNA_TP_DNA_SP,MID_TOUCH,0,22,22,0,14,0.6363636363636364,6,1,0.16666666666666666,16,18,4,1016.0,-449.0,-1465.0,1465.0,False,False,True,False
DNA_TP_DNA_SP,MID_TOUCH,1,22,22,0,14,0.6363636363636364,6,1,0.16666666666666666,16,18,4,1016.0,-449.0,-1465.0,1465.0,False,False,True,False
DNA_TP_REGISTRY_STOP,MID_TOUCH,0,22,22,0,14,0.6363636363636364,6,1,0.16666666666666666,16,18,4,1016.0,-449.0,-1465.0,1465.0,False,False,True,False
DNA_TP_REGISTRY_STOP,MID_TOUCH,1,22,22,0,14,0.6363636363636364,6,1,0.16666666666666666,16,18,4,1016.0,-449.0,-1465.0,1465.0,False,False,True,False
FORMULA_TP_REGISTRY_STOP,MID_TOUCH,0,22,22,0,14,0.6363636363636364,6,1,0.16666666666666666,16,18,4,1016.0,-449.0,-1465.0,1465.0,False,False,True,False
FORMULA_TP_REGISTRY_STOP,MID_TOUCH,1,22,22,0,14,0.6363636363636364,6,1,0.16666666666666666,16,18,4,1016.0,-449.0,-1465.0,1465.0,False,False,True,False
DNA_TP_DNA_SP,BBO_EXECUTABLE,100,22,21,1,14,0.6363636363636364,6,1,0.16666666666666666,16,17,4,1016.0,-1851.0,-2867.0,2867.0,False,False,False,False
