trade_number,entry_time,source_status,route,tp,sp,formula_tp,raw_buy_entry,raw_sell_entry,raw_buy_stop,raw_sell_stop,buy_entry_price,sell_entry_price,buy_entry_offset,sell_entry_offset,entry_offset_difference
2175,2025-08-03 18:00:00,VALIDATED_SOURCE,WEEKLY,9.75,1.0,9.75,22850.25,22849.75,22849.25,22850.75,22850.25,22849.75,0.0,0.0,0.0
2176,2025-08-04 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,23094.25,23093.75,23093.25,23094.75,23094.25,23093.75,0.0,0.0,0.0
2177,2025-08-04 18:00:00,VALIDATED_SOURCE,WEEKDAY_PREMIUM,10.0,1.0,10.0,23354.25,23353.75,23353.25,23354.75,23354.25,23353.75,0.0,0.0,0.0
2178,2025-08-05 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,23348.5,23348.0,23347.5,23349.0,23348.5,23348.0,0.0,0.0,0.0
2179,2025-08-05 18:00:00,VALIDATED_SOURCE,WEEKDAY_PREMIUM,10.0,1.0,10.0,23092.0,23091.5,23091.0,23092.5,23092.0,23091.5,0.0,0.0,0.0
2180,2025-08-06 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,23169.5,23169.0,23168.5,23170.0,23169.5,23169.0,0.0,0.0,0.0
2181,2025-08-07 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,23601.25,23600.75,23600.25,23601.75,23601.25,23600.75,0.0,0.0,0.0
2182,2025-08-07 18:00:00,VALIDATED_SOURCE,WEEKDAY_WEAK,10.0,1.0,10.0,23518.5,23518.0,23517.5,23519.0,23518.5,23518.0,0.0,0.0,0.0
2183,2025-08-08 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,23542.0,23541.5,23541.0,23542.5,23542.0,23541.5,0.0,0.0,0.0
2184,2025-08-10 18:00:00,VALIDATED_SOURCE,WEEKLY,10.0,1.0,10.0,23764.25,23763.75,23763.25,23764.75,23764.25,23763.75,0.0,0.0,0.0
2185,2025-08-11 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,23716.0,23715.5,23715.0,23716.5,23716.0,23715.5,0.0,0.0,0.0
2186,2025-08-12 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,23733.25,23732.75,23732.25,23733.75,23733.25,23732.75,0.0,0.0,0.0
2187,2025-08-12 18:00:00,VALIDATED_SOURCE,WEEKDAY_WEAK,10.0,1.0,10.0,23945.25,23944.75,23944.25,23945.75,23945.25,23944.75,0.0,0.0,0.0
2188,2025-08-13 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,24044.75,24044.25,24043.75,24045.25,24044.75,24044.25,0.0,0.0,0.0
2189,2025-08-14 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,23858.0,23857.5,23857.0,23858.5,23858.0,23857.5,0.0,0.0,0.0
2190,2025-08-14 18:00:00,VALIDATED_SOURCE,WEEKDAY_WEAK,10.0,1.0,10.0,23889.0,23888.5,23888.0,23889.5,23889.0,23888.5,0.0,0.0,0.0
2191,2025-08-15 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,23909.5,23909.0,23908.5,23910.0,23909.5,23909.0,0.0,0.0,0.0
2223,2025-09-14 18:00:00,VALIDATED_SOURCE,WEEKLY,10.0,1.0,10.0,24115.5,24115.0,24114.5,24116.0,24115.5,24115.0,0.0,0.0,0.0
2224,2025-09-15 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,24418.75,24418.25,24417.75,24419.25,24178.0,24177.5,-240.75,-240.75,0.0
2225,2025-09-16 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,24588.5,24588.0,24587.5,24589.0,24588.5,24588.0,0.0,0.0,0.0
2226,2025-09-17 09:30:00,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,16.0,1.0,16.0,24521.25,24520.75,24520.25,24521.75,24521.25,24520.75,0.0,0.0,0.0
2227,2025-09-17 18:00:00,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,WEEKDAY_WEAK,10.0,1.0,10.0,24498.75,24498.25,24497.75,24499.25,24498.75,24498.25,0.0,0.0,0.0
2228,2025-09-18 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,24679.75,24679.25,24678.75,24680.25,24679.75,24679.25,0.0,0.0,0.0
2229,2025-09-19 09:30:00,VALIDATED_SOURCE,NY,16.0,1.0,16.0,24768.0,24767.5,24767.0,24768.5,24768.0,24767.5,0.0,0.0,0.0
