trade_number,entry_time_et,entry_time_utc,source_status,route,active_symbol,quantity,tv_outcome,tv_pair_net,dna_tp,dna_sp,formula_tp,buy_entry_offset,sell_entry_offset,entry_offset_difference,geometry_mode,trigger_mode,start_offset_ms,status,raw_outcome,first_exit_direction,first_exit_reason,first_exit_time,buy_exit_reason,sell_exit_reason,buy_exit_price,sell_exit_price,raw_buy_net,raw_sell_net,raw_pair_net,buy_target,sell_target,buy_stop,sell_stop,legacy_outcome,dna_trade_outcome,formula_trade_outcome,dna_bbo_outcome,diagnostic_cause
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-03 22:00:00.090916277+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,BEST_PROFILE_MATCH
2176,2025-08-04 09:30:00,2025-08-04T13:30:00+00:00,VALIDATED_SOURCE,NY,NQU5,2,DOUBLE_STOP,-118.0,16.0,1.0,16.0,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-04 13:30:00.001358323+00:00,STOP,STOP,23093.25,23094.75,-49.0,-49.0,-98.0,23110.25,23077.75,23093.25,23094.75,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,BEST_PROFILE_MATCH
2177,2025-08-04 18:00:00,2025-08-04T22:00:00+00:00,VALIDATED_SOURCE,WEEKDAY_PREMIUM,NQU5,2,DOUBLE_STOP,-118.0,10.0,1.0,10.0,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-04 22:00:00.014832971+00:00,STOP,STOP,23353.25,23354.75,-49.0,-49.0,-98.0,23364.25,23343.75,23353.25,23354.75,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,BEST_PROFILE_MATCH
2178,2025-08-05 09:30:00,2025-08-05T13:30:00+00:00,VALIDATED_SOURCE,NY,NQU5,2,DOUBLE_STOP,-118.0,16.0,1.0,16.0,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-05 13:30:00.002312089+00:00,STOP,STOP,23347.5,23349.0,-49.0,-49.0,-98.0,23364.5,23332.0,23347.5,23349.0,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,BEST_PROFILE_MATCH
2179,2025-08-05 18:00:00,2025-08-05T22:00:00+00:00,VALIDATED_SOURCE,WEEKDAY_PREMIUM,NQU5,2,SELL_TARGET,332.0,10.0,1.0,10.0,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-05 22:00:00.021693303+00:00,STOP,STOP,23091.0,23092.5,-49.0,-49.0,-98.0,23102.0,23081.5,23091.0,23092.5,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,ACTUAL_PATH_DIFFERS_OR_ADDITIONAL_REPAIR_REQUIRED
2180,2025-08-06 09:30:00,2025-08-06T13:30:00+00:00,VALIDATED_SOURCE,NY,NQU5,2,DOUBLE_STOP,-118.0,16.0,1.0,16.0,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-06 13:30:00.001585691+00:00,STOP,STOP,23168.5,23170.0,-49.0,-49.0,-98.0,23185.5,23153.0,23168.5,23170.0,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,BEST_PROFILE_MATCH
2181,2025-08-07 09:30:00,2025-08-07T13:30:00+00:00,VALIDATED_SOURCE,NY,NQU5,2,SELL_TARGET,572.0,16.0,1.0,16.0,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-07 13:30:00.015403787+00:00,STOP,STOP,23600.25,23601.75,-49.0,-49.0,-98.0,23617.25,23584.75,23600.25,23601.75,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,ACTUAL_PATH_DIFFERS_OR_ADDITIONAL_REPAIR_REQUIRED
2182,2025-08-07 18:00:00,2025-08-07T22:00:00+00:00,VALIDATED_SOURCE,WEEKDAY_WEAK,NQU5,1,DOUBLE_STOP,-59.0,10.0,1.0,10.0,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-07 22:00:00.027019439+00:00,STOP,STOP,23517.5,23519.0,-24.5,-24.5,-49.0,23528.5,23508.0,23517.5,23519.0,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,BEST_PROFILE_MATCH
2183,2025-08-08 09:30:00,2025-08-08T13:30:00+00:00,VALIDATED_SOURCE,NY,NQU5,2,DOUBLE_STOP,-118.0,16.0,1.0,16.0,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,BUY_TARGET,SELL,STOP,2025-08-08 13:30:00.010224383+00:00,TARGET,STOP,23558.0,23542.5,631.0,-49.0,582.0,23558.0,23525.5,23541.0,23542.5,BUY_TARGET,BUY_TARGET,BUY_TARGET,BUY_TARGET,ACTUAL_PATH_DIFFERS_OR_ADDITIONAL_REPAIR_REQUIRED
2184,2025-08-10 18:00:00,2025-08-10T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,10.0,1.0,10.0,0.0,0.0,0.0,DNA_TP_DNA_SP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-10 22:00:00.069726097+00:00,STOP,STOP,23763.25,23764.75,-49.0,-49.0,-98.0,23774.25,23753.75,23763.25,23764.75,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,DOUBLE_STOP,BEST_PROFILE_MATCH
