trade_number,entry_time,tv_outcome,route,active_symbol,buy_entry_offset,sell_entry_offset,offset_difference,offset_consistent_within_tick,window_minutes,max_event_gap_seconds,median_spread,p95_spread
2175,2025-08-03 18:00:00,DOUBLE_STOP,WEEKLY,NQU5,0.0,0.0,0.0,True,34.95407003333333,24.454251356,1.0,2.0
2176,2025-08-04 09:30:00,DOUBLE_STOP,NY,NQU5,0.0,0.0,0.0,True,34.99483848333333,1.413416008,0.5,0.75
2177,2025-08-04 18:00:00,DOUBLE_STOP,WEEKDAY_PREMIUM,NQU5,0.0,0.0,0.0,True,34.99332328333333,31.172591656,0.75,2.0
2178,2025-08-05 09:30:00,DOUBLE_STOP,NY,NQU5,0.0,0.0,0.0,True,34.99741721666667,5.010884616,0.5,1.25
2179,2025-08-05 18:00:00,SELL_TARGET,WEEKDAY_PREMIUM,NQU5,0.0,0.0,0.0,True,34.83173645,16.745725218,0.75,1.5
2180,2025-08-06 09:30:00,DOUBLE_STOP,NY,NQU5,0.0,0.0,0.0,True,34.99879815,1.307668568,0.5,0.75
2181,2025-08-07 09:30:00,SELL_TARGET,NY,NQU5,0.0,0.0,0.0,True,34.99937753333334,1.25898661,0.5,0.75
2182,2025-08-07 18:00:00,DOUBLE_STOP,WEEKDAY_WEAK,NQU5,0.0,0.0,0.0,True,34.924317816666665,14.081672042,0.75,2.0
2183,2025-08-08 09:30:00,DOUBLE_STOP,NY,NQU5,0.0,0.0,0.0,True,34.998780016666664,1.414063066,0.5,0.75
2184,2025-08-10 18:00:00,DOUBLE_STOP,WEEKLY,NQU5,0.0,0.0,0.0,True,34.930784366666664,17.74913923,0.75,2.5
2185,2025-08-11 09:30:00,DOUBLE_STOP,NY,NQU5,0.0,0.0,0.0,True,34.999666850000004,1.75653548,0.5,0.75
2186,2025-08-12 09:30:00,SELL_TARGET,NY,NQU5,0.0,0.0,0.0,True,34.998847166666664,1.02172549,0.5,1.0
2187,2025-08-12 18:00:00,SELL_TARGET,WEEKDAY_WEAK,NQU5,0.0,0.0,0.0,True,34.99843516666667,24.653269748,0.75,2.5
2188,2025-08-13 09:30:00,DOUBLE_STOP,NY,NQU5,0.0,0.0,0.0,True,34.997476516666666,1.324847982,0.5,0.75
2189,2025-08-14 09:30:00,SELL_TARGET,NY,NQU5,0.0,0.0,0.0,True,34.994917916666665,1.596617536,0.5,0.75
2190,2025-08-14 18:00:00,DOUBLE_STOP,WEEKDAY_WEAK,NQU5,0.0,0.0,0.0,True,34.99593386666666,32.838513302,0.75,1.75
2191,2025-08-15 09:30:00,DOUBLE_STOP,NY,NQU5,0.0,0.0,0.0,True,34.99893861666667,1.607335678,0.5,1.0
2223,2025-09-14 18:00:00,DOUBLE_STOP,WEEKLY,NQU5,0.0,0.0,0.0,True,34.97592191666667,19.683060504,0.75,3.5
2224,2025-09-15 09:30:00,DOUBLE_STOP,NY,NQZ5,-240.75,-240.75,0.0,True,34.99245515,2.406771876,0.5,0.75
2225,2025-09-16 09:30:00,DOUBLE_STOP,NY,NQZ5,0.0,0.0,0.0,True,34.99575813333333,1.38594824,0.5,0.75
2228,2025-09-18 09:30:00,SELL_TARGET,NY,NQZ5,0.0,0.0,0.0,True,34.99772898333333,1.174422076,0.5,0.75
2229,2025-09-19 09:30:00,DOUBLE_STOP,NY,NQZ5,0.0,0.0,0.0,True,34.9988758,1.48816354,0.5,0.75
