arm_points,be_mode,extra_ticks,clean_sessions,resolved_sessions,unresolved_sessions,baseline_double_stops,baseline_targets,baseline_net,candidate_net,delta_vs_baseline,profit_factor,max_drawdown,worst_session,double_stops_rescued,double_stops_not_rescued,target_winners_scratched,target_winners_preserved,august_candidate_net,september_candidate_net,august_delta,september_delta
8.0,PRICE_BE,0,22,22,0,20,2,-1539.0,-1539.0,0.0,0.3241106719367589,-1539.0,-308.0,1,19,0,2,-899.0,-640.0,0.0,0.0
8.0,COST_COVER_BE,0,22,22,0,20,2,-1539.0,-1539.0,0.0,0.3241106719367589,-1539.0,-308.0,1,19,0,2,-899.0,-640.0,0.0,0.0
0.5,COST_COVER_BE,0,22,22,0,20,2,-1539.0,-1599.0,-60.0,0.08888888888888889,-1599.0,-308.0,17,3,1,1,-1089.0,-510.0,-190.0,130.0
0.5,PRICE_BE,0,22,22,0,20,2,-1539.0,-1609.0,-70.0,0.08838526912181303,-1609.0,-308.0,17,3,1,1,-1079.0,-530.0,-180.0,110.0
1.0,COST_COVER_BE,0,22,22,0,20,2,-1539.0,-1629.0,-90.0,0.08739495798319327,-1629.0,-308.0,15,5,1,1,-1099.0,-530.0,-200.0,110.0
1.0,PRICE_BE,0,22,22,0,20,2,-1539.0,-1709.0,-170.0,0.0836461126005362,-1709.0,-308.0,15,5,1,1,-1159.0,-550.0,-260.0,90.0
2.0,COST_COVER_BE,0,22,22,0,20,2,-1539.0,-1769.0,-230.0,0.08103896103896104,-1769.0,-308.0,10,10,1,1,-1189.0,-580.0,-290.0,60.0
3.0,COST_COVER_BE,0,22,22,0,20,2,-1539.0,-1889.0,-350.0,0.07628361858190709,-1889.0,-308.0,8,12,1,1,-1249.0,-640.0,-350.0,0.0
2.0,PRICE_BE,0,22,22,0,20,2,-1539.0,-1899.0,-360.0,0.07591240875912408,-1899.0,-308.0,10,10,1,1,-1299.0,-600.0,-400.0,40.0
3.0,PRICE_BE,0,22,22,0,20,2,-1539.0,-1989.0,-450.0,0.07272727272727272,-1989.0,-308.0,8,12,1,1,-1349.0,-640.0,-450.0,0.0
4.0,COST_COVER_BE,0,22,22,0,20,2,-1539.0,-2019.0,-480.0,0.07172413793103448,-2019.0,-308.0,4,16,1,1,-1379.0,-640.0,-480.0,0.0
4.0,PRICE_BE,0,22,22,0,20,2,-1539.0,-2089.0,-550.0,0.06948775055679288,-2089.0,-308.0,4,16,1,1,-1449.0,-640.0,-550.0,0.0
5.0,COST_COVER_BE,0,22,22,0,20,2,-1539.0,-2099.0,-560.0,0.06917960088691796,-2099.0,-308.0,2,18,1,1,-1459.0,-640.0,-560.0,0.0
5.0,PRICE_BE,0,22,22,0,20,2,-1539.0,-2149.0,-610.0,0.06767895878524946,-2149.0,-308.0,2,18,1,1,-1509.0,-640.0,-610.0,0.0
8.0,PRICE_BE,1,22,22,0,20,2,-1934.0,-1934.0,0.0,0.2721114038389161,-1934.0,-328.0,1,19,0,2,-1194.0,-740.0,0.0,0.0
8.0,COST_COVER_BE,1,22,22,0,20,2,-1934.0,-1934.0,0.0,0.2721114038389161,-1934.0,-328.0,1,19,0,2,-1194.0,-740.0,0.0,0.0
0.5,COST_COVER_BE,1,22,22,0,20,2,-1934.0,-2004.0,-70.0,0.07006960556844548,-2004.0,-328.0,17,3,1,1,-1394.0,-610.0,-200.0,130.0
0.5,PRICE_BE,1,22,22,0,20,2,-1934.0,-2014.0,-80.0,0.0697459584295612,-2014.0,-328.0,17,3,1,1,-1384.0,-630.0,-190.0,110.0
1.0,COST_COVER_BE,1,22,22,0,20,2,-1934.0,-2034.0,-100.0,0.06910755148741418,-2034.0,-328.0,15,5,1,1,-1404.0,-630.0,-210.0,110.0
1.0,PRICE_BE,1,22,22,0,20,2,-1934.0,-2114.0,-180.0,0.06666666666666667,-2114.0,-328.0,15,5,1,1,-1464.0,-650.0,-270.0,90.0
2.0,COST_COVER_BE,1,22,22,0,20,2,-1934.0,-2174.0,-240.0,0.06494623655913978,-2174.0,-328.0,10,10,1,1,-1494.0,-680.0,-300.0,60.0
3.0,COST_COVER_BE,1,22,22,0,20,2,-1934.0,-2294.0,-360.0,0.06175869120654397,-2294.0,-328.0,8,12,1,1,-1554.0,-740.0,-360.0,0.0
2.0,PRICE_BE,1,22,22,0,20,2,-1934.0,-2304.0,-370.0,0.0615071283095723,-2304.0,-328.0,10,10,1,1,-1604.0,-700.0,-410.0,40.0
3.0,PRICE_BE,1,22,22,0,20,2,-1934.0,-2394.0,-460.0,0.05933202357563851,-2394.0,-328.0,8,12,1,1,-1654.0,-740.0,-460.0,0.0
4.0,COST_COVER_BE,1,22,22,0,20,2,-1934.0,-2424.0,-490.0,0.058640776699029125,-2424.0,-328.0,4,16,1,1,-1684.0,-740.0,-490.0,0.0
4.0,PRICE_BE,1,22,22,0,20,2,-1934.0,-2494.0,-560.0,0.057088846880907373,-2494.0,-328.0,4,16,1,1,-1754.0,-740.0,-560.0,0.0
5.0,COST_COVER_BE,1,22,22,0,20,2,-1934.0,-2504.0,-570.0,0.05687382297551789,-2504.0,-328.0,2,18,1,1,-1764.0,-740.0,-570.0,0.0
5.0,PRICE_BE,1,22,22,0,20,2,-1934.0,-2554.0,-620.0,0.05582255083179297,-2554.0,-328.0,2,18,1,1,-1814.0,-740.0,-620.0,0.0
8.0,PRICE_BE,2,22,22,0,20,2,-2329.0,-2329.0,0.0,0.2331247942048074,-2329.0,-348.0,1,19,0,2,-1489.0,-840.0,0.0,0.0
8.0,COST_COVER_BE,2,22,22,0,20,2,-2329.0,-2329.0,0.0,0.2331247942048074,-2329.0,-348.0,1,19,0,2,-1489.0,-840.0,0.0,0.0
0.5,COST_COVER_BE,2,22,22,0,20,2,-2329.0,-2409.0,-80.0,0.05714285714285714,-2409.0,-348.0,17,3,1,1,-1699.0,-710.0,-210.0,130.0
0.5,PRICE_BE,2,22,22,0,20,2,-2329.0,-2419.0,-90.0,0.05692007797270955,-2419.0,-348.0,17,3,1,1,-1689.0,-730.0,-200.0,110.0
1.0,COST_COVER_BE,2,22,22,0,20,2,-2329.0,-2439.0,-110.0,0.05647969052224371,-2439.0,-348.0,15,5,1,1,-1709.0,-730.0,-220.0,110.0
1.0,PRICE_BE,2,22,22,0,20,2,-2329.0,-2519.0,-190.0,0.05478424015009381,-2519.0,-348.0,15,5,1,1,-1769.0,-750.0,-280.0,90.0
2.0,COST_COVER_BE,2,22,22,0,20,2,-2329.0,-2579.0,-250.0,0.053577981651376144,-2579.0,-348.0,10,10,1,1,-1799.0,-780.0,-310.0,60.0
3.0,COST_COVER_BE,2,22,22,0,20,2,-2329.0,-2699.0,-370.0,0.05131810193321617,-2699.0,-348.0,8,12,1,1,-1859.0,-840.0,-370.0,0.0
2.0,PRICE_BE,2,22,22,0,20,2,-2329.0,-2709.0,-380.0,0.051138353765323996,-2709.0,-348.0,10,10,1,1,-1909.0,-800.0,-420.0,40.0
3.0,PRICE_BE,2,22,22,0,20,2,-2329.0,-2799.0,-470.0,0.04957555178268251,-2799.0,-348.0,8,12,1,1,-1959.0,-840.0,-470.0,0.0
4.0,COST_COVER_BE,2,22,22,0,20,2,-2329.0,-2829.0,-500.0,0.04907563025210084,-2829.0,-348.0,4,16,1,1,-1989.0,-840.0,-500.0,0.0
4.0,PRICE_BE,2,22,22,0,20,2,-2329.0,-2899.0,-570.0,0.047947454844006566,-2899.0,-348.0,4,16,1,1,-2059.0,-840.0,-570.0,0.0
5.0,COST_COVER_BE,2,22,22,0,20,2,-2329.0,-2909.0,-580.0,0.04779050736497545,-2909.0,-348.0,2,18,1,1,-2069.0,-840.0,-580.0,0.0
5.0,PRICE_BE,2,22,22,0,20,2,-2329.0,-2959.0,-630.0,0.047020933977455714,-2959.0,-348.0,2,18,1,1,-2119.0,-840.0,-630.0,0.0
8.0,PRICE_BE,4,22,22,0,20,2,-3119.0,-3119.0,0.0,0.1785620226494601,-3119.0,-388.0,1,19,0,2,-2079.0,-1040.0,0.0,0.0
8.0,COST_COVER_BE,4,22,22,0,20,2,-3119.0,-3119.0,0.0,0.1785620226494601,-3119.0,-388.0,1,19,0,2,-2079.0,-1040.0,0.0,0.0
0.5,COST_COVER_BE,4,22,22,0,20,2,-3119.0,-3219.0,-100.0,0.04053651266766021,-3219.0,-388.0,17,3,1,1,-2309.0,-910.0,-230.0,130.0
0.5,PRICE_BE,4,22,22,0,20,2,-3119.0,-3229.0,-110.0,0.040416047548291235,-3229.0,-388.0,17,3,1,1,-2299.0,-930.0,-220.0,110.0
1.0,COST_COVER_BE,4,22,22,0,20,2,-3119.0,-3249.0,-130.0,0.04017725258493353,-3249.0,-388.0,15,5,1,1,-2319.0,-930.0,-240.0,110.0
1.0,PRICE_BE,4,22,22,0,20,2,-3119.0,-3329.0,-210.0,0.03924963924963925,-3329.0,-388.0,15,5,1,1,-2379.0,-950.0,-300.0,90.0
2.0,COST_COVER_BE,4,22,22,0,20,2,-3119.0,-3389.0,-270.0,0.03858156028368794,-3389.0,-388.0,10,10,1,1,-2409.0,-980.0,-330.0,60.0
3.0,COST_COVER_BE,4,22,22,0,20,2,-3119.0,-3509.0,-390.0,0.03731138545953361,-3509.0,-388.0,8,12,1,1,-2469.0,-1040.0,-390.0,0.0
2.0,PRICE_BE,4,22,22,0,20,2,-3119.0,-3519.0,-400.0,0.037209302325581395,-3519.0,-388.0,10,10,1,1,-2519.0,-1000.0,-440.0,40.0
3.0,PRICE_BE,4,22,22,0,20,2,-3119.0,-3609.0,-490.0,0.0363150867823765,-3609.0,-388.0,8,12,1,1,-2569.0,-1040.0,-490.0,0.0
4.0,COST_COVER_BE,4,22,22,0,20,2,-3119.0,-3639.0,-520.0,0.036026490066225166,-3639.0,-388.0,4,16,1,1,-2599.0,-1040.0,-520.0,0.0
4.0,PRICE_BE,4,22,22,0,20,2,-3119.0,-3709.0,-590.0,0.03537061118335501,-3709.0,-388.0,4,16,1,1,-2669.0,-1040.0,-590.0,0.0
5.0,COST_COVER_BE,4,22,22,0,20,2,-3119.0,-3719.0,-600.0,0.03527885862516213,-3719.0,-388.0,2,18,1,1,-2679.0,-1040.0,-600.0,0.0
5.0,PRICE_BE,4,22,22,0,20,2,-3119.0,-3769.0,-650.0,0.03482714468629962,-3769.0,-388.0,2,18,1,1,-2729.0,-1040.0,-650.0,0.0
