arm_points,be_mode,delta_0t,delta_1t,delta_2t,delta_4t,candidate_net_1t,profit_factor_1t,max_drawdown_1t,rescues_1t,scratched_targets_1t,preserved_targets_1t,august_candidate_net_1t,september_candidate_net_1t,all_gates_pass,gate_detail
0.5,PRICE_BE,-70.0,-80.0,-90.0,-110.0,-2014.0,0.0697459584295612,-2014.0,17,1,1,-1384.0,-630.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
0.5,COST_COVER_BE,-60.0,-70.0,-80.0,-100.0,-2004.0,0.07006960556844548,-2004.0,17,1,1,-1394.0,-610.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
1.0,PRICE_BE,-170.0,-180.0,-190.0,-210.0,-2114.0,0.06666666666666667,-2114.0,15,1,1,-1464.0,-650.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
1.0,COST_COVER_BE,-90.0,-100.0,-110.0,-130.0,-2034.0,0.06910755148741418,-2034.0,15,1,1,-1404.0,-630.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
2.0,PRICE_BE,-360.0,-370.0,-380.0,-400.0,-2304.0,0.0615071283095723,-2304.0,10,1,1,-1604.0,-700.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
2.0,COST_COVER_BE,-230.0,-240.0,-250.0,-270.0,-2174.0,0.06494623655913978,-2174.0,10,1,1,-1494.0,-680.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
3.0,PRICE_BE,-450.0,-460.0,-470.0,-490.0,-2394.0,0.05933202357563851,-2394.0,8,1,1,-1654.0,-740.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
3.0,COST_COVER_BE,-350.0,-360.0,-370.0,-390.0,-2294.0,0.06175869120654397,-2294.0,8,1,1,-1554.0,-740.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
4.0,PRICE_BE,-550.0,-560.0,-570.0,-590.0,-2494.0,0.057088846880907373,-2494.0,4,1,1,-1754.0,-740.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
4.0,COST_COVER_BE,-480.0,-490.0,-500.0,-520.0,-2424.0,0.058640776699029125,-2424.0,4,1,1,-1684.0,-740.0,False,"{""actual_rescue_exists_1t"": true, ""august_candidate_nonnegative_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_candidate_net_1t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""september_candidate_nonnegative_1t"": false, ""zero_raw_target_winners_scratched_1t"": false, ""zero_unresolved_all_stress"": true}"
