arm_points,be_mode,delta_0t,delta_1t,delta_2t,delta_4t,rescues_1t,scratched_targets_1t,august_delta_1t,september_delta_1t,all_gates_pass,gate_detail
0.5,PRICE_BE,-300.0,-310.0,-320.0,-340.0,8,1,-400.0,90.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
0.5,COST_COVER_BE,-200.0,-210.0,-220.0,-240.0,8,1,-340.0,130.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
1.0,PRICE_BE,-350.0,-360.0,-370.0,-390.0,6,1,-420.0,60.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
1.0,COST_COVER_BE,-230.0,-240.0,-250.0,-270.0,6,1,-320.0,80.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
2.0,PRICE_BE,-480.0,-490.0,-500.0,-520.0,4,1,-490.0,0.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
2.0,COST_COVER_BE,-380.0,-390.0,-400.0,-420.0,4,1,-390.0,0.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
3.0,PRICE_BE,-520.0,-530.0,-540.0,-560.0,3,1,-530.0,0.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
3.0,COST_COVER_BE,-440.0,-450.0,-460.0,-480.0,3,1,-450.0,0.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
4.0,PRICE_BE,-610.0,-620.0,-630.0,-650.0,1,1,-620.0,0.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
4.0,COST_COVER_BE,-560.0,-570.0,-580.0,-600.0,1,1,-570.0,0.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": true, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
5.0,PRICE_BE,-650.0,-660.0,-670.0,-690.0,0,1,-660.0,0.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": false, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
5.0,COST_COVER_BE,-620.0,-630.0,-640.0,-660.0,0,1,-630.0,0.0,False,"{""august_nonnegative_1t"": false, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": false, ""nonnegative_delta_4t"": false, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": false, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
8.0,PRICE_BE,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,"{""august_nonnegative_1t"": true, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": true, ""nonnegative_delta_4t"": true, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": false, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
8.0,COST_COVER_BE,0.0,0.0,0.0,0.0,0,0,0.0,0.0,False,"{""august_nonnegative_1t"": true, ""net_rescue_exceeds_target_damage_1t"": false, ""nonnegative_delta_2t"": true, ""nonnegative_delta_4t"": true, ""positive_delta_0t"": false, ""positive_delta_1t"": false, ""rescues_exist_1t"": false, ""september_nonnegative_1t"": true, ""zero_unresolved_all_stress"": false}"
