arm_points,be_mode,extra_ticks,clean_sessions,resolved_sessions,unresolved_sessions,baseline_net,candidate_net,delta_vs_baseline,profit_factor,max_drawdown,worst_session,double_stop_rescued,double_stop_not_rescued,target_winner_scratched,target_winner_preserved,august_delta,september_delta
8.0,PRICE_BE,0,22,20,2,-1757.0,-1757.0,0.0,0.24882428388200087,-1757.0,-398.0,0,19,0,1,0.0,0.0
8.0,COST_COVER_BE,0,22,20,2,-1757.0,-1757.0,0.0,0.24882428388200087,-1757.0,-398.0,0,19,0,1,0.0,0.0
0.5,COST_COVER_BE,0,22,20,2,-1757.0,-1957.0,-200.0,0.0,-1957.0,-398.0,8,11,1,0,-330.0,130.0
1.0,COST_COVER_BE,0,22,20,2,-1757.0,-1987.0,-230.0,0.0,-1987.0,-398.0,6,13,1,0,-310.0,80.0
0.5,PRICE_BE,0,22,20,2,-1757.0,-2057.0,-300.0,0.0,-2057.0,-398.0,8,11,1,0,-390.0,90.0
1.0,PRICE_BE,0,22,20,2,-1757.0,-2107.0,-350.0,0.0,-2107.0,-398.0,6,13,1,0,-410.0,60.0
2.0,COST_COVER_BE,0,22,20,2,-1757.0,-2137.0,-380.0,0.0,-2137.0,-398.0,4,15,1,0,-380.0,0.0
3.0,COST_COVER_BE,0,22,20,2,-1757.0,-2197.0,-440.0,0.0,-2197.0,-398.0,3,16,1,0,-440.0,0.0
2.0,PRICE_BE,0,22,20,2,-1757.0,-2237.0,-480.0,0.0,-2237.0,-398.0,4,15,1,0,-480.0,0.0
3.0,PRICE_BE,0,22,20,2,-1757.0,-2277.0,-520.0,0.0,-2277.0,-398.0,3,16,1,0,-520.0,0.0
4.0,COST_COVER_BE,0,22,20,2,-1757.0,-2317.0,-560.0,0.0,-2317.0,-398.0,1,18,1,0,-560.0,0.0
4.0,PRICE_BE,0,22,20,2,-1757.0,-2367.0,-610.0,0.0,-2367.0,-398.0,1,18,1,0,-610.0,0.0
5.0,COST_COVER_BE,0,22,20,2,-1757.0,-2377.0,-620.0,0.0,-2377.0,-398.0,0,19,1,0,-620.0,0.0
5.0,PRICE_BE,0,22,20,2,-1757.0,-2407.0,-650.0,0.0,-2407.0,-398.0,0,19,1,0,-650.0,0.0
8.0,PRICE_BE,1,22,20,2,-2127.0,-2127.0,0.0,0.21193034457206372,-2127.0,-418.0,0,19,0,1,0.0,0.0
8.0,COST_COVER_BE,1,22,20,2,-2127.0,-2127.0,0.0,0.21193034457206372,-2127.0,-418.0,0,19,0,1,0.0,0.0
0.5,COST_COVER_BE,1,22,20,2,-2127.0,-2337.0,-210.0,0.0,-2337.0,-418.0,8,11,1,0,-340.0,130.0
