path,size_bytes,mtime_ns,min_utc,max_utc,rows,read_ok
C:\FLIP_FLOP_HQ\02_VALIDATED\buy_trades.parquet,75213,1785981825380986700,,,0,False
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\COVID_2020_03_16\NQH0_TBBO.parquet,4185530,1785992444959228400,,,0,False
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\COVID_2020_03_16\NQM0_TBBO.parquet,6882376,1785992445360750100,,,0,False
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\COVID_2020_03_16\NQU0_TBBO.parquet,11700,1785992445367400100,,,0,False
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\COVID_2020_03_16\surgical\NQM0_1320_TO_1400_TBBO.parquet,391955,1785994302995976300,2020-03-16T13:21:28.589269347+00:00,2020-03-16T13:59:59.657695829+00:00,14686,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250803_1800_WEEKLY_NQU5.parquet,158055,1785997461296831700,2025-08-03T22:00:00+00:00,2025-08-03T22:34:57.255637287+00:00,5919,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250804_0930_NY_NQU5.parquet,1440863,1785997462138127900,2025-08-04T13:20:00.016924433+00:00,2025-08-04T14:04:59.690836703+00:00,53489,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250804_1800_WEEKDAY_PREMIUM_NQU5.parquet,59073,1785997462158482800,2025-08-04T22:00:00+00:00,2025-08-04T22:34:59.604664093+00:00,1976,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250805_0930_NY_NQU5.parquet,1256143,1785997463150185000,2025-08-05T13:20:00.008341693+00:00,2025-08-05T14:04:59.845128845+00:00,47553,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250805_1800_WEEKDAY_PREMIUM_NQU5.parquet,117966,1785997463172111600,2025-08-05T22:00:00+00:00,2025-08-05T22:34:49.921894903+00:00,4399,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250806_0930_NY_NQU5.parquet,1525594,1785997464152972300,2025-08-06T13:20:00.256909127+00:00,2025-08-06T14:04:59.927992747+00:00,57238,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250807_0930_NY_NQU5.parquet,1408108,1785997465216229200,2025-08-07T13:20:00.021075579+00:00,2025-08-07T14:04:59.962744653+00:00,53165,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250807_1800_WEEKDAY_WEAK_NQU5.parquet,79500,1785997465238696800,2025-08-07T22:00:00+00:00,2025-08-07T22:34:55.469645711+00:00,2776,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250808_0930_NY_NQU5.parquet,1150138,1785997466001759600,2025-08-08T13:20:01.028992017+00:00,2025-08-08T14:04:59.927958981+00:00,42385,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250810_1800_WEEKLY_NQU5.parquet,93694,1785997466057252000,2025-08-10T22:00:00+00:00,2025-08-10T22:34:55.916788493+00:00,3478,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250811_0930_NY_NQU5.parquet,1097999,1785997466803432400,2025-08-11T13:20:00.164284327+00:00,2025-08-11T14:04:59.980100719+00:00,40965,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250812_0930_NY_NQU5.parquet,1715095,1785997467685878300,2025-08-12T13:20:00.042900887+00:00,2025-08-12T14:04:59.932259055+00:00,64094,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250812_1800_WEEKDAY_WEAK_NQU5.parquet,47010,1785997467705703000,2025-08-12T22:00:00+00:00,2025-08-12T22:34:59.910208719+00:00,1518,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250813_0930_NY_NQU5.parquet,1167717,1785997468508380000,2025-08-13T13:20:00.315210129+00:00,2025-08-13T14:04:59.848597673+00:00,44346,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250814_0930_NY_NQU5.parquet,1312541,1785997469379544900,2025-08-14T13:20:00.438460089+00:00,2025-08-14T14:04:59.696637239+00:00,49043,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250814_1800_WEEKDAY_WEAK_NQU5.parquet,49421,1785997469404887600,2025-08-14T22:00:00+00:00,2025-08-14T22:34:59.767828061+00:00,1687,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250815_0930_NY_NQU5.parquet,1453281,1785997470171355200,2025-08-15T13:20:00.024687827+00:00,2025-08-15T14:04:59.937517117+00:00,54682,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250914_1800_WEEKLY_NQU5.parquet,49716,1785997470267965400,2025-09-14T22:00:00+00:00,2025-09-14T22:34:58.646020379+00:00,1679,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250915_0930_NY_NQZ5.parquet,757092,1785997471189071100,2025-09-15T13:20:02.814730743+00:00,2025-09-15T14:04:59.547814397+00:00,27289,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250916_0930_NY_NQZ5.parquet,1013346,1785997472038676500,2025-09-16T13:20:00.185320751+00:00,2025-09-16T14:04:59.746007407+00:00,37721,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250917_0930_NY_NQZ5.parquet,1203271,1785997473336118900,2025-09-17T13:20:00.233307751+00:00,2025-09-17T14:04:59.929335823+00:00,44113,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250917_1800_WEEKDAY_WEAK_NQZ5.parquet,54755,1785997473358317400,2025-09-17T22:00:00+00:00,2025-09-17T22:34:59.166628661+00:00,1797,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250918_0930_NY_NQZ5.parquet,1612417,1785997474507911100,2025-09-18T13:20:00.010097477+00:00,2025-09-18T14:04:59.864875341+00:00,59997,True
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250919_0930_NY_NQZ5.parquet,1511809,1785997475434299000,2025-09-19T13:20:00.751389251+00:00,2025-09-19T14:04:59.934059981+00:00,56745,True
C:\FLIP_FLOP_HQ\02_VALIDATED\paired_sessions.parquet,45407,1785981825383986600,,,0,False
C:\FLIP_FLOP_HQ\02_VALIDATED\sell_trades.parquet,75360,1785981825381988200,,,0,False
