winner_value_retained_pct,toxic_loss_avoided_pct,algebraic_net_pc,positive
0,0,-565.5,False
0,5,-537.225,False
0,10,-508.95,False
0,15,-480.675,False
0,20,-452.40000000000003,False
0,25,-424.125,False
0,30,-395.84999999999997,False
0,35,-367.575,False
0,40,-339.3,False
0,45,-311.02500000000003,False
0,50,-282.75,False
0,55,-254.47499999999997,False
0,60,-226.20000000000002,False
0,65,-197.92499999999998,False
0,70,-169.65000000000003,False
0,75,-141.375,False
0,80,-113.09999999999998,False
0,85,-84.82500000000002,False
0,90,-56.54999999999999,False
0,95,-28.275000000000023,False
0,100,0.0,False
5,0,-538.425,False
5,5,-510.15000000000003,False
5,10,-481.875,False
5,15,-453.6,False
5,20,-425.32500000000005,False
5,25,-397.05,False
5,30,-368.775,False
5,35,-340.5,False
5,40,-312.225,False
5,45,-283.95000000000005,False
5,50,-255.675,False
5,55,-227.39999999999998,False
5,60,-199.125,False
5,65,-170.84999999999997,False
5,70,-142.57500000000005,False
5,75,-114.3,False
5,80,-86.02499999999998,False
5,85,-57.750000000000014,False
5,90,-29.474999999999987,False
5,95,-1.2000000000000206,False
5,100,27.075000000000003,True
10,0,-511.35,False
10,5,-483.07500000000005,False
10,10,-454.79999999999995,False
10,15,-426.525,False
10,20,-398.25,False
10,25,-369.975,False
10,30,-341.69999999999993,False
10,35,-313.42499999999995,False
10,40,-285.15,False
10,45,-256.875,False
10,50,-228.6,False
10,55,-200.32499999999996,False
10,60,-172.05,False
10,65,-143.77499999999998,False
10,70,-115.50000000000003,False
10,75,-87.225,False
10,80,-58.949999999999974,False
10,85,-30.67500000000001,False
10,90,-2.3999999999999844,False
10,95,25.874999999999982,True
10,100,54.150000000000006,True
15,0,-484.275,False
15,5,-456.0,False
15,10,-427.725,False
15,15,-399.45000000000005,False
15,20,-371.17500000000007,False
15,25,-342.9,False
15,30,-314.625,False
15,35,-286.35,False
15,40,-258.07500000000005,False
15,45,-229.80000000000004,False
15,50,-201.525,False
15,55,-173.24999999999997,False
15,60,-144.97500000000002,False
15,65,-116.69999999999999,False
15,70,-88.42500000000004,False
15,75,-60.150000000000006,False
15,80,-31.874999999999986,False
15,85,-3.6000000000000227,False
15,90,24.675000000000004,True
15,95,52.949999999999974,True
15,100,81.225,True
20,0,-457.2,False
20,5,-428.925,False
20,10,-400.65,False
20,15,-372.375,False
20,20,-344.1,False
20,25,-315.825,False
20,30,-287.54999999999995,False
20,35,-259.275,False
20,40,-231.0,False
20,45,-202.72500000000002,False
20,50,-174.45,False
20,55,-146.17499999999995,False
20,60,-117.9,False
20,65,-89.62499999999997,False
20,70,-61.35000000000002,False
20,75,-33.07499999999999,False
20,80,-4.799999999999969,False
20,85,23.474999999999994,True
20,90,51.75000000000002,True
20,95,80.02499999999999,True
20,100,108.30000000000001,True
25,0,-430.125,False
25,5,-401.85,False
25,10,-373.575,False
25,15,-345.3,False
25,20,-317.02500000000003,False
25,25,-288.75,False
25,30,-260.47499999999997,False
25,35,-232.2,False
25,40,-203.925,False
25,45,-175.65000000000003,False
25,50,-147.375,False
25,55,-119.09999999999997,False
25,60,-90.82500000000002,False
25,65,-62.54999999999998,False
25,70,-34.275000000000034,False
25,75,-6.0,False
25,80,22.27500000000002,True
25,85,50.54999999999998,True
25,90,78.82500000000002,True
25,95,107.09999999999998,True
25,100,135.375,True
30,0,-403.05,False
30,5,-374.77500000000003,False
30,10,-346.5,False
30,15,-318.225,False
30,20,-289.95000000000005,False
30,25,-261.675,False
30,30,-233.39999999999998,False
30,35,-205.125,False
30,40,-176.85000000000002,False
30,45,-148.57500000000005,False
30,50,-120.30000000000001,False
30,55,-92.02499999999998,False
30,60,-63.75000000000003,False
30,65,-35.474999999999994,False
30,70,-7.2000000000000455,False
30,75,21.07499999999999,True
30,80,49.35000000000001,True
30,85,77.62499999999997,True
30,90,105.9,True
30,95,134.17499999999995,True
30,100,162.45,True
35,0,-375.975,False
35,5,-347.70000000000005,False
35,10,-319.425,False
35,15,-291.15000000000003,False
35,20,-262.87500000000006,False
35,25,-234.60000000000002,False
35,30,-206.325,False
35,35,-178.05,False
35,40,-149.77500000000003,False
35,45,-121.50000000000006,False
35,50,-93.22500000000002,False
35,55,-64.94999999999999,False
35,60,-36.67500000000004,False
35,65,-8.400000000000006,False
35,70,19.874999999999943,True
35,75,48.14999999999998,True
35,80,76.425,True
35,85,104.69999999999996,True
35,90,132.975,True
35,95,161.24999999999994,True
35,100,189.52499999999998,True
40,0,-348.9,False
40,5,-320.625,False
40,10,-292.34999999999997,False
40,15,-264.075,False
40,20,-235.8,False
40,25,-207.52499999999998,False
40,30,-179.24999999999994,False
40,35,-150.97499999999997,False
40,40,-122.69999999999999,False
40,45,-94.42500000000001,False
40,50,-66.14999999999998,False
40,55,-37.87499999999994,False
40,60,-9.599999999999994,False
40,65,18.67500000000004,True
40,70,46.94999999999999,True
40,75,75.22500000000002,True
40,80,103.50000000000004,True
40,85,131.775,True
40,90,160.05000000000004,True
40,95,188.325,True
40,100,216.60000000000002,True
45,0,-321.825,False
45,5,-293.55,False
45,10,-265.275,False
45,15,-237.0,False
45,20,-208.72500000000002,False
45,25,-180.45,False
45,30,-152.17499999999995,False
45,35,-123.89999999999998,False
45,40,-95.625,False
45,45,-67.35000000000002,False
45,50,-39.07499999999999,False
45,55,-10.799999999999955,False
45,60,17.474999999999994,True
45,65,45.75000000000003,True
45,70,74.02499999999998,True
45,75,102.30000000000001,True
45,80,130.57500000000005,True
45,85,158.85,True
45,90,187.12500000000003,True
45,95,215.39999999999998,True
45,100,243.675,True
50,0,-294.75,False
50,5,-266.475,False
50,10,-238.2,False
50,15,-209.925,False
50,20,-181.65000000000003,False
50,25,-153.375,False
50,30,-125.09999999999997,False
50,35,-96.82499999999999,False
50,40,-68.55000000000001,False
50,45,-40.275000000000034,False
50,50,-12.0,False
50,55,16.275000000000034,True
50,60,44.54999999999998,True
50,65,72.82500000000002,True
50,70,101.09999999999997,True
50,75,129.375,True
50,80,157.65000000000003,True
50,85,185.92499999999998,True
50,90,214.20000000000002,True
50,95,242.47499999999997,True
50,100,270.75,True
55,0,-267.67499999999995,False
55,5,-239.39999999999998,False
55,10,-211.12499999999994,False
55,15,-182.84999999999997,False
55,20,-154.575,False
55,25,-126.29999999999995,False
55,30,-98.02499999999992,False
55,35,-69.74999999999994,False
55,40,-41.474999999999966,False
55,45,-13.199999999999989,False
