quantity,paired_net_linear,route_static_net_linear,oracle_direction_net_linear,oracle_skip_net_linear,total_oracle_uplift_vs_paired_linear,route_static_gap_to_oracle_skip_linear,break_even_avoidable_dollars_linear
1,-973.0,-484.0,-24.0,541.5,1514.5,1025.5,24.0
2,-1946.0,-968.0,-48.0,1083.0,3029.0,2051.0,48.0
3,-2919.0,-1452.0,-72.0,1624.5,4543.5,3076.5,72.0
4,-3892.0,-1936.0,-96.0,2166.0,6058.0,4102.0,96.0
5,-4865.0,-2420.0,-120.0,2707.5,7572.5,5127.5,120.0
6,-5838.0,-2904.0,-144.0,3249.0,9087.0,6153.0,144.0
7,-6811.0,-3388.0,-168.0,3790.5,10601.5,7178.5,168.0
8,-7784.0,-3872.0,-192.0,4332.0,12116.0,8204.0,192.0
9,-8757.0,-4356.0,-216.0,4873.5,13630.5,9229.5,216.0
10,-9730.0,-4840.0,-240.0,5415.0,15145.0,10255.0,240.0
