trade_number,entry_time,route,quantity,baseline_outcome,buy_per_contract,sell_per_contract,paired_pc,route_static_action,route_static_pc,oracle_direction_action,oracle_direction_pc,oracle_skip_action,oracle_skip_pc,direction_oracle_gain_vs_paired_pc,skip_oracle_gain_vs_direction_pc,route_static_regret_vs_oracle_pc,is_oracle_winner,is_toxic_even_with_best_direction,toxic_loss_pc,winner_value_pc,rank_by_avoidable_loss,cumulative_avoidable_loss_pc,direction_net_after_perfectly_skipping_top_k,break_even_reached
2223,2025-09-14 18:00:00,WEEKLY,2,DOUBLE_STOP,-54.5,-109.5,-164.0,BUY,-54.5,BUY,-54.5,SKIP,0.0,109.5,54.5,54.5,False,True,54.5,0.0,1,54.5,30.5,True
2175,2025-08-03 18:00:00,WEEKLY,2,DOUBLE_STOP,-59.5,-34.5,-94.0,BUY,-59.5,SELL,-34.5,SKIP,0.0,59.5,34.5,59.5,False,True,34.5,0.0,2,89.0,65.0,True
2177,2025-08-04 18:00:00,WEEKDAY_PREMIUM,2,DOUBLE_STOP,-34.5,-39.5,-74.0,BUY,-34.5,BUY,-34.5,SKIP,0.0,39.5,34.5,34.5,False,True,34.5,0.0,3,123.5,99.5,True
2184,2025-08-10 18:00:00,WEEKLY,2,DOUBLE_STOP,-34.5,-54.5,-89.0,BUY,-34.5,BUY,-34.5,SKIP,0.0,54.5,34.5,34.5,False,True,34.5,0.0,4,158.0,134.0,True
2176,2025-08-04 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5,False,True,29.5,0.0,5,187.5,163.5,True
2178,2025-08-05 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5,False,True,29.5,0.0,6,217.0,193.0,True
2179,2025-08-05 18:00:00,WEEKDAY_PREMIUM,2,DOUBLE_STOP,-29.5,-49.5,-79.0,BUY,-29.5,BUY,-29.5,SKIP,0.0,49.5,29.5,29.5,False,True,29.5,0.0,7,246.5,222.5,True
2180,2025-08-06 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5,False,True,29.5,0.0,8,276.0,252.0,True
2181,2025-08-07 09:30:00,NY,2,DOUBLE_STOP,-34.5,-29.5,-64.0,SELL,-29.5,SELL,-29.5,SKIP,0.0,34.5,29.5,29.5,False,True,29.5,0.0,9,305.5,281.5,True
2182,2025-08-07 18:00:00,WEEKDAY_WEAK,1,DOUBLE_STOP,-29.5,-79.5,-109.0,SELL,-79.5,BUY,-29.5,SKIP,0.0,79.5,29.5,79.5,False,True,29.5,0.0,10,335.0,311.0,True
2185,2025-08-11 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5,False,True,29.5,0.0,11,364.5,340.5,True
2186,2025-08-12 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5,False,True,29.5,0.0,12,394.0,370.0,True
2188,2025-08-13 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5,False,True,29.5,0.0,13,423.5,399.5,True
2189,2025-08-14 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5,False,True,29.5,0.0,14,453.0,429.0,True
2191,2025-08-15 09:30:00,NY,2,DOUBLE_STOP,-29.5,-34.5,-64.0,SELL,-34.5,BUY,-29.5,SKIP,0.0,34.5,29.5,34.5,False,True,29.5,0.0,15,482.5,458.5,True
2224,2025-09-15 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5,False,True,29.5,0.0,16,512.0,488.0,True
2225,2025-09-16 09:30:00,NY,2,DOUBLE_STOP,-29.5,-24.5,-54.0,SELL,-24.5,SELL,-24.5,SKIP,0.0,29.5,24.5,24.5,False,True,24.5,0.0,17,536.5,512.5,True
2228,2025-09-18 09:30:00,NY,2,DOUBLE_STOP,-14.5,-34.5,-49.0,SELL,-34.5,BUY,-14.5,SKIP,0.0,34.5,14.5,34.5,False,True,14.5,0.0,18,551.0,527.0,True
2229,2025-09-19 09:30:00,NY,2,DOUBLE_STOP,-14.5,-29.5,-44.0,SELL,-29.5,BUY,-14.5,SKIP,0.0,29.5,14.5,29.5,False,True,14.5,0.0,19,565.5,541.5,True
