winner_value_retained_pct,winner_dollars_retained_pc,toxic_loss_avoidance_needed_pct_for_breakeven,toxic_dollars_avoidance_needed_pc
50,270.75,52.122015915119356,294.74999999999994
55,297.82500000000005,47.33421750663129,267.67499999999995
60,324.9,42.54641909814324,240.60000000000002
65,351.975,37.75862068965517,213.52499999999995
70,379.04999999999995,32.97082228116711,186.45000000000002
75,406.125,28.183023872679048,159.375
80,433.20000000000005,23.395225464190972,132.29999999999995
85,460.275,18.607427055702917,105.22500000000001
90,487.35,13.819628647214854,78.15
95,514.425,9.031830238726801,51.07500000000006
100,541.5,4.244031830238725,23.999999999999996
