trade_number,entry_time,route,quantity,baseline_outcome,buy_per_contract,sell_per_contract,paired_pc,route_static_action,route_static_pc,oracle_direction_action,oracle_direction_pc,oracle_skip_action,oracle_skip_pc,direction_oracle_gain_vs_paired_pc,skip_oracle_gain_vs_direction_pc,route_static_regret_vs_oracle_pc
2175,2025-08-03 18:00:00,WEEKLY,2,DOUBLE_STOP,-59.5,-34.5,-94.0,BUY,-59.5,SELL,-34.5,SKIP,0.0,59.5,34.5,59.5
2176,2025-08-04 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5
2177,2025-08-04 18:00:00,WEEKDAY_PREMIUM,2,DOUBLE_STOP,-34.5,-39.5,-74.0,BUY,-34.5,BUY,-34.5,SKIP,0.0,39.5,34.5,34.5
2178,2025-08-05 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5
2179,2025-08-05 18:00:00,WEEKDAY_PREMIUM,2,DOUBLE_STOP,-29.5,-49.5,-79.0,BUY,-29.5,BUY,-29.5,SKIP,0.0,49.5,29.5,29.5
2180,2025-08-06 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5
2181,2025-08-07 09:30:00,NY,2,DOUBLE_STOP,-34.5,-29.5,-64.0,SELL,-29.5,SELL,-29.5,SKIP,0.0,34.5,29.5,29.5
2182,2025-08-07 18:00:00,WEEKDAY_WEAK,1,DOUBLE_STOP,-29.5,-79.5,-109.0,SELL,-79.5,BUY,-29.5,SKIP,0.0,79.5,29.5,79.5
2183,2025-08-08 09:30:00,NY,2,BUY_TARGET,315.5,-29.5,286.0,SELL,-29.5,BUY,315.5,BUY,315.5,29.5,0.0,345.0
2184,2025-08-10 18:00:00,WEEKLY,2,DOUBLE_STOP,-34.5,-54.5,-89.0,BUY,-34.5,BUY,-34.5,SKIP,0.0,54.5,34.5,34.5
2185,2025-08-11 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5
2186,2025-08-12 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5
2187,2025-08-12 18:00:00,WEEKDAY_WEAK,1,SELL_TARGET,-44.5,195.5,151.0,SELL,195.5,SELL,195.5,SELL,195.5,44.5,0.0,0.0
2188,2025-08-13 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5
2189,2025-08-14 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5
2190,2025-08-14 18:00:00,WEEKDAY_WEAK,1,DOUBLE_STOP,-84.5,30.5,-54.0,SELL,30.5,SELL,30.5,SELL,30.5,84.5,0.0,0.0
2191,2025-08-15 09:30:00,NY,2,DOUBLE_STOP,-29.5,-34.5,-64.0,SELL,-34.5,BUY,-29.5,SKIP,0.0,34.5,29.5,34.5
2223,2025-09-14 18:00:00,WEEKLY,2,DOUBLE_STOP,-54.5,-109.5,-164.0,BUY,-54.5,BUY,-54.5,SKIP,0.0,109.5,54.5,54.5
2224,2025-09-15 09:30:00,NY,2,DOUBLE_STOP,-29.5,-29.5,-59.0,SELL,-29.5,BUY,-29.5,SKIP,0.0,29.5,29.5,29.5
2225,2025-09-16 09:30:00,NY,2,DOUBLE_STOP,-29.5,-24.5,-54.0,SELL,-24.5,SELL,-24.5,SKIP,0.0,29.5,24.5,24.5
2228,2025-09-18 09:30:00,NY,2,DOUBLE_STOP,-14.5,-34.5,-49.0,SELL,-34.5,BUY,-14.5,SKIP,0.0,34.5,14.5,34.5
2229,2025-09-19 09:30:00,NY,2,DOUBLE_STOP,-14.5,-29.5,-44.0,SELL,-29.5,BUY,-14.5,SKIP,0.0,29.5,14.5,29.5
