extra_ticks,quantity_per_active_side,candidate,max_simultaneous_contracts,n,net,pf,expectancy,hit_rate,max_drawdown,worst_session,cvar_05
0,1,PAIRED_Q_EACH,2,22,-763.0,0.3694214876033058,-34.68181818181818,0.09090909090909091,-763.0,-154.0,-126.5
0,1,ALWAYS_BUY,1,22,-309.0,0.5052041633306645,-14.045454545454545,0.045454545454545456,-388.5,-79.5,-67.0
0,1,ALWAYS_SELL,1,22,-454.0,0.3372262773722628,-20.636363636363637,0.09090909090909091,-454.0,-104.5,-89.5
0,1,ROUTE_STATIC,1,22,-379.0,0.37868852459016394,-17.227272727272727,0.09090909090909091,-384.0,-74.5,-64.5
0,1,ORACLE_DIRECTION,1,22,76.0,1.1615302869287991,3.4545454545454546,0.13636363636363635,-206.0,-49.5,-39.5
0,1,ORACLE_SKIP,1,22,546.5,,24.84090909090909,0.13636363636363635,0.0,0.0,0.0
0,2,PAIRED_Q_EACH,4,22,-1526.0,0.3694214876033058,-69.36363636363636,0.09090909090909091,-1526.0,-308.0,-253.0
0,2,ALWAYS_BUY,2,22,-618.0,0.5052041633306645,-28.09090909090909,0.045454545454545456,-777.0,-159.0,-134.0
0,2,ALWAYS_SELL,2,22,-908.0,0.3372262773722628,-41.27272727272727,0.09090909090909091,-908.0,-209.0,-179.0
0,2,ROUTE_STATIC,2,22,-758.0,0.37868852459016394,-34.45454545454545,0.09090909090909091,-768.0,-149.0,-129.0
0,2,ORACLE_DIRECTION,2,22,152.0,1.1615302869287991,6.909090909090909,0.13636363636363635,-412.0,-99.0,-79.0
0,2,ORACLE_SKIP,2,22,1093.0,,49.68181818181818,0.13636363636363635,0.0,0.0,0.0
0,3,PAIRED_Q_EACH,6,22,-2289.0,0.3694214876033058,-104.04545454545455,0.09090909090909091,-2289.0,-462.0,-379.5
0,3,ALWAYS_BUY,3,22,-927.0,0.5052041633306645,-42.13636363636363,0.045454545454545456,-1165.5,-238.5,-201.0
0,3,ALWAYS_SELL,3,22,-1362.0,0.3372262773722628,-61.90909090909091,0.09090909090909091,-1362.0,-313.5,-268.5
0,3,ROUTE_STATIC,3,22,-1137.0,0.37868852459016394,-51.68181818181818,0.09090909090909091,-1152.0,-223.5,-193.5
0,3,ORACLE_DIRECTION,3,22,228.0,1.1615302869287991,10.363636363636363,0.13636363636363635,-618.0,-148.5,-118.5
0,3,ORACLE_SKIP,3,22,1639.5,,74.52272727272727,0.13636363636363635,0.0,0.0,0.0
0,4,PAIRED_Q_EACH,8,22,-3052.0,0.3694214876033058,-138.72727272727272,0.09090909090909091,-3052.0,-616.0,-506.0
0,4,ALWAYS_BUY,4,22,-1236.0,0.5052041633306645,-56.18181818181818,0.045454545454545456,-1554.0,-318.0,-268.0
0,4,ALWAYS_SELL,4,22,-1816.0,0.3372262773722628,-82.54545454545455,0.09090909090909091,-1816.0,-418.0,-358.0
0,4,ROUTE_STATIC,4,22,-1516.0,0.37868852459016394,-68.9090909090909,0.09090909090909091,-1536.0,-298.0,-258.0
0,4,ORACLE_DIRECTION,4,22,304.0,1.1615302869287991,13.818181818181818,0.13636363636363635,-824.0,-198.0,-158.0
0,4,ORACLE_SKIP,4,22,2186.0,,99.36363636363636,0.13636363636363635,0.0,0.0,0.0
0,5,PAIRED_Q_EACH,10,22,-3815.0,0.3694214876033058,-173.4090909090909,0.09090909090909091,-3815.0,-770.0,-632.5
0,5,ALWAYS_BUY,5,22,-1545.0,0.5052041633306645,-70.22727272727273,0.045454545454545456,-1942.5,-397.5,-335.0
0,5,ALWAYS_SELL,5,22,-2270.0,0.3372262773722628,-103.18181818181819,0.09090909090909091,-2270.0,-522.5,-447.5
0,5,ROUTE_STATIC,5,22,-1895.0,0.37868852459016394,-86.13636363636364,0.09090909090909091,-1920.0,-372.5,-322.5
0,5,ORACLE_DIRECTION,5,22,380.0,1.1615302869287991,17.272727272727273,0.13636363636363635,-1030.0,-247.5,-197.5
0,5,ORACLE_SKIP,5,22,2732.5,,124.20454545454545,0.13636363636363635,0.0,0.0,0.0
0,6,PAIRED_Q_EACH,12,22,-4578.0,0.3694214876033058,-208.0909090909091,0.09090909090909091,-4578.0,-924.0,-759.0
0,6,ALWAYS_BUY,6,22,-1854.0,0.5052041633306645,-84.27272727272727,0.045454545454545456,-2331.0,-477.0,-402.0
0,6,ALWAYS_SELL,6,22,-2724.0,0.3372262773722628,-123.81818181818181,0.09090909090909091,-2724.0,-627.0,-537.0
0,6,ROUTE_STATIC,6,22,-2274.0,0.37868852459016394,-103.36363636363636,0.09090909090909091,-2304.0,-447.0,-387.0
0,6,ORACLE_DIRECTION,6,22,456.0,1.1615302869287991,20.727272727272727,0.13636363636363635,-1236.0,-297.0,-237.0
0,6,ORACLE_SKIP,6,22,3279.0,,149.04545454545453,0.13636363636363635,0.0,0.0,0.0
0,7,PAIRED_Q_EACH,14,22,-5341.0,0.3694214876033058,-242.77272727272728,0.09090909090909091,-5341.0,-1078.0,-885.5
0,7,ALWAYS_BUY,7,22,-2163.0,0.5052041633306645,-98.31818181818181,0.045454545454545456,-2719.5,-556.5,-469.0
0,7,ALWAYS_SELL,7,22,-3178.0,0.3372262773722628,-144.45454545454547,0.09090909090909091,-3178.0,-731.5,-626.5
0,7,ROUTE_STATIC,7,22,-2653.0,0.37868852459016394,-120.5909090909091,0.09090909090909091,-2688.0,-521.5,-451.5
0,7,ORACLE_DIRECTION,7,22,532.0,1.1615302869287991,24.181818181818183,0.13636363636363635,-1442.0,-346.5,-276.5
0,7,ORACLE_SKIP,7,22,3825.5,,173.88636363636363,0.13636363636363635,0.0,0.0,0.0
0,8,PAIRED_Q_EACH,16,22,-6104.0,0.3694214876033058,-277.45454545454544,0.09090909090909091,-6104.0,-1232.0,-1012.0
0,8,ALWAYS_BUY,8,22,-2472.0,0.5052041633306645,-112.36363636363636,0.045454545454545456,-3108.0,-636.0,-536.0
