feature,present,missing_count,missing_pct,unique_nonmissing,classification
route_class,True,0,0.0,4,NUMERIC
day_of_week,True,0,0.0,6,NUMERIC
hour_minute,True,0,0.0,2,NUMERIC
s60,True,0,0.0,4,NUMERIC
pdr,True,2252,0.8718544328300426,308,NUMERIC
pwr,True,2252,0.8718544328300426,319,NUMERIC
r30,True,1705,0.6600851722802943,218,NUMERIC
r1,True,18,0.006968641114982578,402,NUMERIC
r2,True,18,0.006968641114982578,550,NUMERIC
r60,True,18,0.006968641114982578,626,NUMERIC
rg60,True,18,0.006968641114982578,533,NUMERIC
ef60,True,0,0.0,734,NUMERIC
al,True,0,0.0,2,NUMERIC
wc,True,0,0.0,769,NUMERIC
cp,True,18,0.006968641114982578,89,NUMERIC
pdl,True,1,0.00038714672861014324,1555,NUMERIC
pwl,True,9,0.003484320557491289,1541,NUMERIC
dh,True,18,0.006968641114982578,1244,NUMERIC
dl,True,18,0.006968641114982578,1282,NUMERIC
wh,True,18,0.006968641114982578,1644,NUMERIC
wl,True,18,0.006968641114982578,1866,NUMERIC
or,False,2583,1.0,0,NOT_AVAILABLE
ob,False,2583,1.0,0,NOT_AVAILABLE
oe,False,2583,1.0,0,NOT_AVAILABLE
ocl,False,2583,1.0,0,NOT_AVAILABLE
