trade_number,buy_entry_time,buy_entry_price,buy_entry_signal,clock,trade,class,side,q,tim,tm,sp,tp,ref,risk,s60,r1,r2,r60,rg60,ef60,al,wc,cp,pdl,pwl,dh,dl,wh,wl,pdr,pwr,r30,gate,route,buy_exit_time,buy_exit_signal,buy_exit_price,buy_net,buy_commission,sell_entry_time,sell_entry_price,sell_entry_signal,sell_exit_time,sell_exit_signal,sell_exit_price,sell_net,sell_commission,entry_time,label,pair_net,year,month,day_of_week,hour_minute,route_class
1,2020-01-02 09:30:00,8821.5,NQ09B|clock20200102|trade20200102|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8821.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.111|al0|wc0.407|cpNaN|pdlNaN|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,20200102.0,20200102.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,8821.0,118.0,CHOP,,,,,0.111,0.0,0.407,,,,,,,,,,,,,2020-01-02 09:30:00,NQ09B BUY NY STOP,8820.25,-59.0,9.0,2020-01-02 09:30:00,8821.0,NQ09B|clock20200102|trade20200102|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8821.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.111|al0|wc0.407|cpNaN|pdlNaN|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,2020-01-02 09:30:00,NQ09B SELL NY STOP,8822.25,-59.0,9.0,2020-01-02 09:30:00,SKIP,-118.0,2020,2020-01,Thursday,09:30,NY
2,2020-01-03 09:30:00,8772.25,NQ09B|clock20200103|trade20200103|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8772.25|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.309|cpNaN|pdl0.021|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,20200103.0,20200103.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,8772.25,118.0,NORMAL,,,,,1.0,1.0,0.309,,0.021,,,,,,,,,,,2020-01-03 09:30:00,NQ09B BUY NY STOP,8771.0,-59.0,9.0,2020-01-03 09:30:00,8771.75,NQ09B|clock20200103|trade20200103|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8772.25|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.309|cpNaN|pdl0.021|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,2020-01-03 09:30:00,NQ09B SELL NY STOP,8773.0,-59.0,9.0,2020-01-03 09:30:00,SKIP,-118.0,2020,2020-01,Friday,09:30,NY
3,2020-01-05 18:00:00,8772.5,NQ09B|clock20200105|trade20200106|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref8811.75|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al0|wc0.887|cpNaN|pdl0.32|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,20200105.0,20200106.0,WEEKLY_OPEN,BUY,2.0,WEEKLY 18:00,W80,1.0,8.0,8811.75,118.0,CHOP,,,,,1.0,0.0,0.887,,0.32,,,,,,,,,0.06,,2020-01-05 18:00:00,NQ09B BUY WEEKLY STOP,8771.25,-59.0,9.0,2020-01-05 18:00:00,8772.0,NQ09B|clock20200105|trade20200106|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref8811.75|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al0|wc0.887|cpNaN|pdl0.32|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,2020-01-05 18:00:00,NQ09B SELL WEEKLY W80,8764.0,311.0,9.0,2020-01-05 18:00:00,SELL,252.0,2020,2020-01,Sunday,18:00,WEEKLY
4,2020-01-06 09:30:00,8739.25,NQ09B|clock20200106|trade20200106|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8738.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.889|al0|wc0.573|cpNaN|pdl0.02|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,20200106.0,20200106.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,8738.75,118.0,CHOP,,,,,0.889,0.0,0.573,,0.02,,,,,,,,,,,2020-01-06 09:30:00,NQ09B BUY NY STOP,8738.0,-59.0,9.0,2020-01-06 09:30:00,8738.75,NQ09B|clock20200106|trade20200106|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8738.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.889|al0|wc0.573|cpNaN|pdl0.02|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,2020-01-06 09:30:00,NQ09B SELL NY STOP,8740.0,-59.0,9.0,2020-01-06 09:30:00,SKIP,-118.0,2020,2020-01,Monday,09:30,NY
5,2020-01-07 09:30:00,8867.25,NQ09B|clock20200107|trade20200107|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8867.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.212|al0|wc0.299|cpNaN|pdl0.96|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,20200107.0,20200107.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,8867.0,118.0,CHOP,,,,,0.212,0.0,0.299,,0.96,,,,,,,,,,,2020-01-07 09:30:00,NQ09B BUY NY STOP,8866.0,-59.0,9.0,2020-01-07 09:30:00,8866.75,NQ09B|clock20200107|trade20200107|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8867.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.212|al0|wc0.299|cpNaN|pdl0.96|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,2020-01-07 09:30:00,NQ09B SELL NY STOP,8868.0,-59.0,9.0,2020-01-07 09:30:00,SKIP,-118.0,2020,2020-01,Tuesday,09:30,NY
6,2020-01-08 09:30:00,8861.5,NQ09B|clock20200108|trade20200108|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8861.00|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.497|cpNaN|pdl0.511|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,20200108.0,20200108.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,8861.0,118.0,NORMAL,,,,,1.0,1.0,0.497,,0.511,,,,,,,,,,,2020-01-08 09:30:00,NQ09B BUY NY STOP,8860.25,-59.0,9.0,2020-01-08 09:30:00,8861.0,NQ09B|clock20200108|trade20200108|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref8861.00|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.497|cpNaN|pdl0.511|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,2020-01-08 09:30:00,NQ09B SELL NY N130 TP2,8848.25,501.0,9.0,2020-01-08 09:30:00,SELL,442.0,2020,2020-01,Wednesday,09:30,NY
7,2020-01-09 09:30:00,9002.0,NQ09B|clock20200109|trade20200109|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9002.00|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.542|cpNaN|pdl1.101|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,20200109.0,20200109.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,9002.0,118.0,NORMAL,,,,,1.0,1.0,0.542,,1.101,,,,,,,,,,,2020-01-09 09:30:00,NQ09B BUY NY STOP,9000.75,-59.0,9.0,2020-01-09 09:30:00,9001.5,NQ09B|clock20200109|trade20200109|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9002.00|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.542|cpNaN|pdl1.101|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,2020-01-09 09:30:00,NQ09B SELL NY STOP,9002.75,-59.0,9.0,2020-01-09 09:30:00,SKIP,-118.0,2020,2020-01,Thursday,09:30,NY
8,2020-01-10 09:30:00,9038.25,NQ09B|clock20200110|trade20200110|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9038.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.865|cpNaN|pdl1.175|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,20200110.0,20200110.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,9038.0,118.0,CHOP,,,,,1.0,1.0,0.865,,1.175,,,,,,,,,,,2020-01-10 09:30:00,NQ09B BUY NY STOP,9037.0,-59.0,9.0,2020-01-10 09:30:00,9037.75,NQ09B|clock20200110|trade20200110|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9038.00|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.865|cpNaN|pdl1.175|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,2020-01-10 09:30:00,NQ09B SELL NY STOP,9039.0,-59.0,9.0,2020-01-10 09:30:00,SKIP,-118.0,2020,2020-01,Friday,09:30,NY
9,2020-01-12 18:00:00,8979.25,NQ09B|clock20200112|trade20200113|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref8978.25|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.73|cpNaN|pdl0.51|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,20200112.0,20200113.0,WEEKLY_OPEN,BUY,2.0,WEEKLY 18:00,W80,1.0,8.0,8978.25,118.0,CHOP,,,,,1.0,1.0,0.73,,0.51,,,,,,,,,0.06,,2020-01-12 18:00:00,NQ09B BUY WEEKLY W80,8987.25,311.0,9.0,2020-01-12 18:00:00,8978.75,NQ09B|clock20200112|trade20200113|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref8978.25|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.73|cpNaN|pdl0.51|pwlNaN|dhNaN|dlNaN|whNaN|wlNaN,2020-01-12 18:00:00,NQ09B SELL WEEKLY STOP,8980.0,-59.0,9.0,2020-01-12 18:00:00,BUY,252.0,2020,2020-01,Sunday,18:00,WEEKLY
10,2020-01-13 09:30:00,9017.75,NQ09B|clock20200113|trade20200113|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9017.50|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.588|al0|wc0.566|cpNaN|pdl0.574|pwl0.899|dhNaN|dlNaN|whNaN|wlNaN,20200113.0,20200113.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,9017.5,118.0,CHOP,,,,,0.588,0.0,0.566,,0.574,0.899,,,,,,,,,,2020-01-13 09:30:00,NQ09B BUY NY STOP,9016.5,-59.0,9.0,2020-01-13 09:30:00,9017.25,NQ09B|clock20200113|trade20200113|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9017.50|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.588|al0|wc0.566|cpNaN|pdl0.574|pwl0.899|dhNaN|dlNaN|whNaN|wlNaN,2020-01-13 09:30:00,NQ09B SELL NY STOP,9018.5,-59.0,9.0,2020-01-13 09:30:00,SKIP,-118.0,2020,2020-01,Monday,09:30,NY
