candidate_id,model_name,edge_threshold,development_oos_net,minimum_fold_net,all_folds_positive,fold_2021_net,fold_2022_net,fold_2023_net
GB_STUMP_EDGE_0,GB_STUMP,0.0,54894.5,8574.5,True,8574.5,31557.5,14762.5
GB_STUMP_EDGE_20,GB_STUMP,20.0,54429.0,9841.5,True,9841.5,30006.5,14581.0
GB_D2_EDGE_20,GB_D2,20.0,50445.0,10927.5,True,10927.5,27470.0,12047.5
RF_D8_EDGE_60,RF_D8,60.0,50216.0,10928.5,True,10928.5,28199.5,11088.0
GB_D2_EDGE_0,GB_D2,0.0,49716.0,10550.0,True,10550.0,27758.5,11407.5
RF_D8_EDGE_40,RF_D8,40.0,49402.0,10768.0,True,10836.0,27798.0,10768.0
LOGIT_C001_EDGE_20,LOGIT_C001,20.0,49255.5,10886.0,True,10886.0,25903.0,12466.5
RF_D8_EDGE_20,RF_D8,20.0,49182.0,10553.5,True,10553.5,28042.5,10586.0
LOGIT_C001_EDGE_0,LOGIT_C001,0.0,49134.5,9739.5,True,9739.5,27302.0,12093.0
RF_D8_EDGE_0,RF_D8,0.0,48940.5,10482.5,True,10484.5,27973.5,10482.5
LOGIT_C005_EDGE_0,LOGIT_C005,0.0,47300.0,8014.0,True,8014.0,26305.0,12981.0
LOGIT_C005_EDGE_20,LOGIT_C005,20.0,46149.5,7433.0,True,7433.0,25396.5,13320.0
GB_D2_EDGE_40,GB_D2,40.0,45794.5,9775.0,True,9775.0,24134.0,11885.5
GB_STUMP_EDGE_40,GB_STUMP,40.0,45332.0,8885.0,True,8885.0,23329.5,13117.5
LOGIT_C01_EDGE_0,LOGIT_C01,0.0,45325.0,8923.5,True,8923.5,25591.5,10810.0
EXTRA_D6_EDGE_60,EXTRA_D6,60.0,45206.0,9919.0,True,11400.0,23887.0,9919.0
EXTRA_D6_EDGE_40,EXTRA_D6,40.0,44556.5,9944.0,True,11023.5,23589.0,9944.0
EXTRA_D6_EDGE_0,EXTRA_D6,0.0,44270.5,9937.5,True,11029.5,23303.5,9937.5
EXTRA_D6_EDGE_20,EXTRA_D6,20.0,44270.5,9937.5,True,11029.5,23303.5,9937.5
LOGIT_C001_EDGE_40,LOGIT_C001,40.0,44250.5,9330.0,True,9330.0,23441.0,11479.5
RF_D4_EDGE_60,RF_D4,60.0,43758.0,8425.0,True,8425.0,24245.0,11088.0
RF_D4_EDGE_40,RF_D4,40.0,43074.0,8070.5,True,8070.5,24097.5,10906.0
LOGIT_C01_EDGE_20,LOGIT_C01,20.0,42847.5,7309.0,True,7309.0,24811.5,10727.0
RF_D4_EDGE_0,RF_D4,0.0,42590.5,7869.5,True,7869.5,24053.5,10667.5
RF_D4_EDGE_20,RF_D4,20.0,42590.5,7869.5,True,7869.5,24053.5,10667.5
LOGIT_C005_EDGE_40,LOGIT_C005,40.0,41457.5,7073.0,True,7073.0,22059.5,12325.0
LOGIT_C01_EDGE_40,LOGIT_C01,40.0,40570.0,9019.5,True,9019.5,21043.5,10507.0
LOGIT_C001_EDGE_60,LOGIT_C001,60.0,35554.0,6432.0,True,6432.0,18280.0,10842.0
GB_D2_EDGE_60,GB_D2,60.0,35434.5,8202.0,True,8927.5,18305.0,8202.0
LOGIT_C005_EDGE_60,LOGIT_C005,60.0,33088.5,7517.5,True,7517.5,15187.0,10384.0
GB_STUMP_EDGE_60,GB_STUMP,60.0,32561.0,7970.0,True,8068.5,16522.5,7970.0
LOGIT_C01_EDGE_60,LOGIT_C01,60.0,31330.5,8292.5,True,8292.5,14420.0,8618.0
