candidate_id,model_name,edge_threshold,test_year,extra_ticks,sessions,trades_taken,skips,buy_actions,sell_actions,net,profit_factor,max_drawdown,worst_session,best_session,average_month,median_month,worst_month,positive_months,negative_months
LOGIT_C001_EDGE_0,LOGIT_C001,0.0,2021,1,405,405,0,227,178,9739.5,1.4650812979012964,-2328.5,-69.0,491.0,811.625,939.75,-1053.5,10,2
LOGIT_C001_EDGE_20,LOGIT_C001,20.0,2021,1,405,347,58,201,146,10886.0,1.596476808854552,-1917.5,-69.0,491.0,907.1666666666666,1108.5,-570.5,10,2
LOGIT_C001_EDGE_40,LOGIT_C001,40.0,2021,1,405,245,160,152,93,9330.0,1.719241443108233,-1303.0,-69.0,491.0,777.5,915.25,-820.0,11,1
LOGIT_C001_EDGE_60,LOGIT_C001,60.0,2021,1,405,148,257,109,39,6432.0,1.8212986018004214,-759.0,-69.0,491.0,536.0,463.5,-199.0,11,1
LOGIT_C001_EDGE_0,LOGIT_C001,0.0,2022,1,371,364,7,200,164,27302.0,2.60519740129935,-1276.5,-69.0,491.0,2275.1666666666665,2433.25,-1174.5,11,1
LOGIT_C001_EDGE_20,LOGIT_C001,20.0,2022,1,371,316,55,168,148,25903.0,2.7339759681360243,-1311.0,-69.0,491.0,2158.5833333333335,2371.25,-1303.0,11,1
LOGIT_C001_EDGE_40,LOGIT_C001,40.0,2022,1,371,244,127,137,107,23441.0,3.084200231172757,-897.0,-69.0,491.0,1953.4166666666667,1975.0,-751.0,10,2
LOGIT_C001_EDGE_60,LOGIT_C001,60.0,2022,1,371,170,201,100,70,18280.0,3.3654244306418217,-759.0,-69.0,491.0,1523.3333333333333,1360.0,-475.0,11,1
LOGIT_C001_EDGE_0,LOGIT_C001,0.0,2023,1,362,355,7,187,168,12093.0,1.646719075886411,-1631.0,-69.0,491.0,1007.75,1452.75,-1320.5,9,3
LOGIT_C001_EDGE_20,LOGIT_C001,20.0,2023,1,362,323,39,167,156,12466.5,1.7155402496771417,-1493.0,-69.0,491.0,1038.875,1611.75,-1217.0,9,3
LOGIT_C001_EDGE_40,LOGIT_C001,40.0,2023,1,362,285,77,149,136,11479.5,1.7477283829995114,-1148.0,-69.0,491.0,956.625,1220.5,-872.0,9,3
LOGIT_C001_EDGE_60,LOGIT_C001,60.0,2023,1,362,202,160,103,99,10842.0,2.026996305768684,-872.0,-69.0,491.0,903.5,1204.0,-458.0,9,3
LOGIT_C005_EDGE_0,LOGIT_C005,0.0,2021,1,405,388,17,192,196,8014.0,1.3957237735476384,-1492.5,-69.0,491.0,667.8333333333334,933.5,-442.0,9,3
LOGIT_C005_EDGE_20,LOGIT_C005,20.0,2021,1,405,326,79,171,155,7433.0,1.4300384737770835,-1242.0,-69.0,491.0,619.4166666666666,682.5,-580.0,9,3
LOGIT_C005_EDGE_40,LOGIT_C005,40.0,2021,1,405,250,155,135,115,7073.0,1.5256781865477518,-1709.5,-69.0,491.0,589.4166666666666,583.75,-553.5,10,2
LOGIT_C005_EDGE_60,LOGIT_C005,60.0,2021,1,405,185,220,105,80,7517.5,1.7699595431965995,-966.0,-69.0,491.0,626.4583333333334,498.0,-337.0,8,4
LOGIT_C005_EDGE_0,LOGIT_C005,0.0,2022,1,371,355,16,174,181,26305.0,2.565634020771955,-1897.5,-69.0,491.0,2192.0833333333335,2557.75,-1406.5,10,2
