feature,importance
numeric__dh,0.07056768917990038
numeric__wh,0.06478124108641571
numeric__pwl,0.06278208260217863
numeric__pdl,0.06002947325240822
numeric__r1,0.05751288414311033
numeric__wl,0.057407154118408375
numeric__r60,0.05591475193565928
numeric__rg60,0.05502784068657254
numeric__r2,0.05299334725050616
numeric__dl,0.052678678235484104
numeric__wc,0.052574759222269514
numeric__ef60,0.04728952473131606
numeric__cp,0.04205183640000465
numeric__r30,0.03587970338867842
numeric__pwr,0.030909586107385114
numeric__tp,0.02361305290194611
numeric__pdr,0.014330281825020299
categorical__month_number_8,0.012512300772352497
categorical__day_of_week_Sunday,0.01178558765269402
numeric__missingindicator_pdr,0.009433732789459534
numeric__missingindicator_pwr,0.009265882482169427
categorical__route_class_WEEKLY,0.008933963159590632
categorical__month_number_9,0.008448364554609684
categorical__day_of_week_Tuesday,0.007754251089930754
numeric__al,0.006744161515374925
categorical__s60_CHOP,0.006504302920875152
categorical__s60_SHOCK,0.0064855336279409405
categorical__day_of_week_Wednesday,0.005959984792572529
numeric__missingindicator_r30,0.0050007998870615225
categorical__day_of_week_Thursday,0.004957830788630668
categorical__month_number_4,0.004734863524086762
categorical__route_class_NY,0.004149620613157107
categorical__day_of_week_Friday,0.003975524342349776
categorical__s60_NORMAL,0.0038255039018388628
numeric__missingindicator_gate,0.003694423814303116
categorical__s60_EXPANSION,0.003514011146305491
categorical__month_number_3,0.0034046198396700763
categorical__month_number_1,0.0030348304298484967
numeric__risk,0.0028278274201786247
categorical__day_of_week_Monday,0.0027828654638612574
categorical__route_class_WEEKDAY_WEAK,0.00264329936383553
categorical__month_number_10,0.002602364419195477
categorical__month_number_11,0.002519283749472887
numeric__q,0.002453014218196803
categorical__month_number_2,0.0022692152811513125
categorical__month_number_12,0.002067580303441265
categorical__month_number_6,0.0019557480049209506
categorical__route_class_WEEKDAY_PREMIUM,0.0018725584471199867
categorical__month_number_7,0.0015910739454634848
categorical__month_number_5,0.0015888899730255159
numeric__missingindicator_r1,0.000563372996352082
numeric__missingindicator_r2,0.0005532141269263428
numeric__missingindicator_rg60,0.00038852624544249693
numeric__missingindicator_dl,0.0003476773021551611
numeric__missingindicator_wl,0.000236324184015024
numeric__missingindicator_dh,0.00011266183062343948
numeric__missingindicator_wh,8.79214595394387e-05
numeric__missingindicator_r60,7.260055299680856e-05
numeric__missingindicator_pdl,0.0
numeric__missingindicator_pwl,0.0
numeric__missingindicator_cp,0.0
numeric__gate,0.0
