trade_number,entry_time,route_class,q,label,buy_net,sell_net,pair_net,action,prob_buy,prob_sell,expected_buy,expected_sell,rf_action,static_action,month,probability_margin,chosen_expected_edge,rf_net_0t,static_net_0t,delta_rf_minus_static_0t,rf_net_1t,static_net_1t,delta_rf_minus_static_1t,rf_net_2t,static_net_2t,delta_rf_minus_static_2t,rf_net_4t,static_net_4t,delta_rf_minus_static_4t,relationship,rf_outcome,static_outcome,rf_label_match,static_label_match
2339,2026-01-02 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,SELL,0.3009115212075663,0.3221610043917953,148.62894963322074,163.29109303033874,SELL,SELL,2026-01,0.02124948318422898,163.29109303033874,631.0,631.0,0.0,621.0,621.0,0.0,611.0,611.0,0.0,591.0,591.0,0.0,SAME_ACTION,WIN,WIN,True,True
2340,2026-01-04 18:00:00,WEEKLY,2.0,SELL,-59.0,391.0,332.0,BUY,0.4554637927576946,0.3570786817386207,145.95870674096255,101.68540678237932,BUY,BUY,2026-01,0.09838511101907393,145.95870674096255,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2341,2026-01-05 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,SELL,0.3110404857398595,0.3483961843586491,155.61793516050304,181.39336720746792,SELL,SELL,2026-01,0.03735569861878962,181.39336720746792,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2342,2026-01-06 09:30:00,NY,2.0,SKIP,-59.0,-59.0,-118.0,SELL,0.2808096860823237,0.2923072943954657,134.7586833968034,142.69203313287136,SELL,SELL,2026-01,0.011497608313142005,142.69203313287136,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2343,2026-01-07 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.288634971682578,0.2446944322113355,140.15813046097884,109.83915822582152,BUY,SELL,2026-01,0.04394053947124252,140.15813046097884,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2344,2026-01-08 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,SELL,0.2698865514575785,0.3132366844460509,127.22172050572922,157.13331226777518,SELL,SELL,2026-01,0.0433501329884724,157.13331226777518,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2345,2026-01-08 18:00:00,WEEKDAY_PREMIUM,2.0,SKIP,-59.0,-59.0,-118.0,SELL,0.3052124910560451,0.3220618830976056,78.3456209752203,85.92784739392252,SELL,BUY,2026-01,0.016849392041560496,85.92784739392252,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,OPPOSITE_DIRECTION,LOSS,LOSS,False,False
2346,2026-01-09 09:30:00,NY,2.0,SKIP,-59.0,-59.0,-118.0,SELL,0.3535392150675963,0.3619618823877319,184.9420583966414,190.75369884753505,SELL,SELL,2026-01,0.008422667320135635,190.75369884753505,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2347,2026-01-11 18:00:00,WEEKLY,2.0,BUY,391.0,-59.0,332.0,BUY,0.4593571000780378,0.3153309827353001,147.71069503511706,82.89894223088504,BUY,BUY,2026-01,0.14402611734273774,147.71069503511706,391.0,391.0,0.0,381.0,381.0,0.0,371.0,371.0,0.0,351.0,351.0,0.0,SAME_ACTION,WIN,WIN,True,True
2348,2026-01-12 09:30:00,NY,2.0,SKIP,-59.0,-59.0,-118.0,SELL,0.2618416539034347,0.3049511102414403,121.67074119336996,151.41626606659378,SELL,SELL,2026-01,0.04310945633800556,151.41626606659378,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2349,2026-01-12 18:00:00,WEEKDAY_WEAK,1.0,SELL,-29.5,195.5,166.0,SKIP,0.2829281588859406,0.2793850245659915,34.15883574933663,33.36163052734809,SKIP,SELL,2026-01,0.0035431343199490706,0.0,0.0,195.5,-195.5,0.0,190.5,-190.5,0.0,185.5,-185.5,0.0,175.5,-175.5,RF_SKIP_STATIC_TRADE,SKIP,WIN,False,True
