trade_number,entry_time,route_class,q,label,buy_net,sell_net,pair_net,action,prob_buy,prob_sell,expected_buy,expected_sell,rf_action,static_action,month,probability_margin,chosen_expected_edge,rf_net_0t,static_net_0t,delta_rf_minus_static_0t,rf_net_1t,static_net_1t,delta_rf_minus_static_1t,rf_net_2t,static_net_2t,delta_rf_minus_static_2t,rf_net_4t,static_net_4t,delta_rf_minus_static_4t,relationship,rf_outcome,static_outcome,rf_label_match,static_label_match
2354,2026-01-16 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3376539495174072,0.2690690258250708,173.98122516701096,126.65762781929884,BUY,SELL,2026-01,0.06858492369233637,173.98122516701096,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2353,2026-01-15 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3376526320313588,0.2727406680339278,173.98031610163764,129.1910609434102,BUY,SELL,2026-01,0.06491196399743099,173.98031610163764,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2376,2026-02-03 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3069650895575805,0.2992825640457894,152.80591179473055,147.5049691915947,BUY,SELL,2026-02,0.007682525511791105,152.80591179473055,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2360,2026-01-21 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3897960324289145,0.3503256914802639,209.959262375951,182.72472712138207,BUY,SELL,2026-01,0.039470340948650595,209.959262375951,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2430,2026-03-23 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3957360935363148,0.327661729210603,214.0579045400572,167.08659315531605,BUY,SELL,2026-03,0.06807436432571179,214.0579045400572,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2448,2026-04-08 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3647860218603658,0.2310852005916543,192.70235508365244,100.44878840824153,BUY,SELL,2026-04,0.1337008212687115,192.70235508365244,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2449,2026-04-09 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3148947867000978,0.2206432993057285,158.27740282306752,93.24387652095268,BUY,SELL,2026-04,0.09425148739436928,158.27740282306752,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2416,2026-03-10 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.330534297220722,0.306386854111315,169.0686650822982,152.40692933680737,BUY,SELL,2026-03,0.024147443109406974,169.0686650822982,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2495,2026-05-19 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3838004231199096,0.3773840729792307,205.8222919527377,201.39501035566923,BUY,SELL,2026-05,0.0064163501406788725,205.8222919527377,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2503,2026-05-26 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.2818423779905305,0.2351698445693339,135.47124081346607,103.2671927528404,BUY,SELL,2026-05,0.04667253342119662,135.47124081346607,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2482,2026-05-07 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.2950186499380799,0.2273961352125647,144.56286845727516,97.90333329666962,BUY,SELL,2026-05,0.06762251472551523,144.56286845727516,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2477,2026-05-04 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.328378205177854,0.2396229080069316,167.5809615727193,106.3398065247828,BUY,SELL,2026-05,0.0887552971709224,167.5809615727193,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2469,2026-04-27 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3018519227633178,0.257098126218383,149.2778267066893,118.39770709068428,BUY,SELL,2026-04,0.044753796544934776,149.2778267066893,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2459,2026-04-20 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.2697830755039628,0.2686321262791947,127.15032209773432,126.35616713264434,BUY,SELL,2026-04,0.0011509492247681052,127.15032209773432,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2455,2026-04-15 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.2892345326111445,0.2233507004113938,140.57182750168977,95.11198328386176,BUY,SELL,2026-04,0.06588383219975072,140.57182750168977,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2457,2026-04-17 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3473605520012093,0.3289735715337991,180.67878088083447,167.99176435832135,BUY,SELL,2026-04,0.01838698046741022,180.67878088083447,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2518,2026-06-08 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.4166227410532039,0.3290144304404904,228.46969132671072,168.01995700393843,BUY,SELL,2026-06,0.08760831061271351,228.46969132671072,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2523,2026-06-11 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.4150860375707757,0.3502974832662058,227.4093659238352,182.70526345368205,BUY,SELL,2026-06,0.06478855430456992,227.4093659238352,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2535,2026-06-23 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.4134453336754749,0.3198706174205168,226.27728023607773,161.7107260201566,BUY,SELL,2026-06,0.09357471625495811,226.27728023607773,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2531,2026-06-18 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.2809034263395268,0.23787009450357,134.8233641742735,105.13036520746334,BUY,SELL,2026-06,0.04303333183595681,134.8233641742735,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2538,2026-06-25 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3793663135168322,0.2899579977388271,202.76275632661427,141.0710184397907,BUY,SELL,2026-06,0.08940831577800512,202.76275632661427,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2558,2026-07-15 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.2939847350341661,0.2646003121604314,143.84946717357468,123.57421539069766,BUY,SELL,2026-07,0.029384422873734717,143.84946717357468,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2553,2026-07-09 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3566608724462666,0.2287321665920043,187.096001987924,98.825194948483,BUY,SELL,2026-07,0.1279287058542623,187.096001987924,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2547,2026-07-03 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3216166013694153,0.2671352397629279,162.9154549448966,125.32331543642024,BUY,SELL,2026-07,0.054481361606487366,162.9154549448966,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2572,2026-07-28 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3978936150285419,0.3220967473381028,215.54659436969396,163.24675566329097,BUY,SELL,2026-07,0.07579686769043914,215.54659436969396,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2563,2026-07-21 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3091713920206307,0.3044515218193702,154.32826049423522,151.07155005536544,BUY,SELL,2026-07,0.004719870201260523,154.32826049423522,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2566,2026-07-23 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3652690648527775,0.3429935984272204,193.03565474841648,177.6655829147821,BUY,SELL,2026-07,0.02227546642555711,193.03565474841648,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
