trade_number,entry_time,route_class,q,label,buy_net,sell_net,pair_net,action,prob_buy,prob_sell,expected_buy,expected_sell,rf_action,static_action,month,probability_margin,chosen_expected_edge,rf_net_0t,static_net_0t,delta_rf_minus_static_0t,rf_net_1t,static_net_1t,delta_rf_minus_static_1t,rf_net_2t,static_net_2t,delta_rf_minus_static_2t,rf_net_4t,static_net_4t,delta_rf_minus_static_4t,relationship,rf_outcome,static_outcome,rf_label_match,static_label_match
2343,2026-01-07 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.288634971682578,0.2446944322113355,140.15813046097884,109.83915822582152,BUY,SELL,2026-01,0.04394053947124252,140.15813046097884,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2368,2026-01-28 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.2751855344401221,0.2239021450521057,130.87801876368428,95.49248008595296,BUY,SELL,2026-01,0.05128338938801641,130.87801876368428,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2366,2026-01-27 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.2404978010225544,0.2322727186427339,106.9434827055626,101.2681758634864,BUY,SELL,2026-01,0.008225082379820503,106.9434827055626,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2372,2026-01-30 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3763687652391526,0.2973246733642793,200.69444801501533,146.15402462135273,BUY,SELL,2026-01,0.07904409187487327,200.69444801501533,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2387,2026-02-12 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3599974404220842,0.2656964883748696,189.3982338912381,124.33057697866003,BUY,SELL,2026-02,0.09430095204721461,189.3982338912381,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2395,2026-02-19 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3835958690110208,0.3016288022378914,205.68114961760432,149.1238735441451,BUY,SELL,2026-02,0.08196706677312937,205.68114961760432,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2408,2026-03-03 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.4078844000649876,0.3634148584900611,222.44023604484147,191.7562523581422,BUY,SELL,2026-03,0.0444695415749265,222.44023604484147,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2406,2026-03-02 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3787653782181081,0.3368515859933397,202.3481109704946,173.42759433540442,BUY,SELL,2026-03,0.041913792224768376,202.3481109704946,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2446,2026-04-07 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.2875719296520642,0.2849347500664169,139.42463145992429,137.6049775458277,BUY,SELL,2026-04,0.002637179585647298,139.42463145992429,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2424,2026-03-17 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3071034777714981,0.2707030650807548,152.9013996623337,127.7851149057208,BUY,SELL,2026-03,0.03640041269074329,152.9013996623337,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
