path,min_utc,max_utc,rows,size_bytes
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\COVID_2020_03_16\surgical\NQM0_1320_TO_1400_TBBO.parquet,2020-03-16 13:21:28.589269347+00:00,2020-03-16 13:59:59.657695829+00:00,14686,391955
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250803_1800_WEEKLY_NQU5.parquet,2025-08-03 22:00:00+00:00,2025-08-03 22:34:57.255637287+00:00,5919,158055
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250804_0930_NY_NQU5.parquet,2025-08-04 13:20:00.016924433+00:00,2025-08-04 14:04:59.690836703+00:00,53489,1440863
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250804_1800_WEEKDAY_PREMIUM_NQU5.parquet,2025-08-04 22:00:00+00:00,2025-08-04 22:34:59.604664093+00:00,1976,59073
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250805_0930_NY_NQU5.parquet,2025-08-05 13:20:00.008341693+00:00,2025-08-05 14:04:59.845128845+00:00,47553,1256143
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250805_1800_WEEKDAY_PREMIUM_NQU5.parquet,2025-08-05 22:00:00+00:00,2025-08-05 22:34:49.921894903+00:00,4399,117966
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250806_0930_NY_NQU5.parquet,2025-08-06 13:20:00.256909127+00:00,2025-08-06 14:04:59.927992747+00:00,57238,1525594
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250807_0930_NY_NQU5.parquet,2025-08-07 13:20:00.021075579+00:00,2025-08-07 14:04:59.962744653+00:00,53165,1408108
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250807_1800_WEEKDAY_WEAK_NQU5.parquet,2025-08-07 22:00:00+00:00,2025-08-07 22:34:55.469645711+00:00,2776,79500
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250808_0930_NY_NQU5.parquet,2025-08-08 13:20:01.028992017+00:00,2025-08-08 14:04:59.927958981+00:00,42385,1150138
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250810_1800_WEEKLY_NQU5.parquet,2025-08-10 22:00:00+00:00,2025-08-10 22:34:55.916788493+00:00,3478,93694
C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250811_0930_NY_NQU5.parquet,2025-08-11 13:20:00.164284327+00:00,2025-08-11 14:04:59.980100719+00:00,40965,1097999
