trade_number,entry_time_utc,route,source_status,observe_start_utc,freeze_utc,overlap_file_count,coverage_status,coverage_pass,source_files_used,read_failures,duplicates_removed,sequence_regressions,event_rows,first_event_lag_sec,last_event_lag_sec,max_internal_gap_sec,timestamp_regressions
2175,2025-08-03 22:00:00+00:00,WEEKLY,VALIDATED_SOURCE,2025-08-03 21:00:00+00:00,2025-08-03 21:55:00+00:00,0,NO_OVERLAPPING_FILES,False,,,,,,,,,
2176,2025-08-04 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-04 12:30:00+00:00,2025-08-04 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],1.0,0.0,813.0,3000.016924,0.008805,4.164947762,0.0
2177,2025-08-04 22:00:00+00:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,2025-08-04 21:00:00+00:00,2025-08-04 21:55:00+00:00,0,NO_OVERLAPPING_FILES,False,,,,,,,,,
2178,2025-08-05 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-05 12:30:00+00:00,2025-08-05 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],0.0,0.0,812.0,3000.008341,0.004841,4.72349212,0.0
2179,2025-08-05 22:00:00+00:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,2025-08-05 21:00:00+00:00,2025-08-05 21:55:00+00:00,0,NO_OVERLAPPING_FILES,False,,,,,,,,,
2180,2025-08-06 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-06 12:30:00+00:00,2025-08-06 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],0.0,0.0,778.0,3000.256909,0.008232,5.21481091,0.0
2181,2025-08-07 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-07 12:30:00+00:00,2025-08-07 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],0.0,0.0,561.0,3000.021075,0.353057,6.339521748,0.0
2182,2025-08-07 22:00:00+00:00,WEEKDAY_WEAK,VALIDATED_SOURCE,2025-08-07 21:00:00+00:00,2025-08-07 21:55:00+00:00,0,NO_OVERLAPPING_FILES,False,,,,,,,,,
2183,2025-08-08 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-08 12:30:00+00:00,2025-08-08 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],3.0,0.0,555.0,3001.028992,0.008156,9.151708498,0.0
2184,2025-08-10 22:00:00+00:00,WEEKLY,VALIDATED_SOURCE,2025-08-10 21:00:00+00:00,2025-08-10 21:55:00+00:00,0,NO_OVERLAPPING_FILES,False,,,,,,,,,
2185,2025-08-11 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-11 12:30:00+00:00,2025-08-11 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],3.0,0.0,679.0,3000.164284,0.197893,5.80019997,0.0
2186,2025-08-12 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-12 12:30:00+00:00,2025-08-12 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],2.0,0.0,1236.0,3000.0429,0.072393,4.484939142,0.0
2187,2025-08-12 22:00:00+00:00,WEEKDAY_WEAK,VALIDATED_SOURCE,2025-08-12 21:00:00+00:00,2025-08-12 21:55:00+00:00,0,NO_OVERLAPPING_FILES,False,,,,,,,,,
2188,2025-08-13 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-13 12:30:00+00:00,2025-08-13 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],3.0,0.0,520.0,3000.31521,0.062377,6.772643662,0.0
2189,2025-08-14 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-14 12:30:00+00:00,2025-08-14 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],0.0,0.0,952.0,3000.43846,0.008224,4.28890909,0.0
2190,2025-08-14 22:00:00+00:00,WEEKDAY_WEAK,VALIDATED_SOURCE,2025-08-14 21:00:00+00:00,2025-08-14 21:55:00+00:00,0,NO_OVERLAPPING_FILES,False,,,,,,,,,
2191,2025-08-15 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-08-15 12:30:00+00:00,2025-08-15 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],3.0,0.0,1078.0,3000.024687,0.025943,3.002320732,0.0
2223,2025-09-14 22:00:00+00:00,WEEKLY,VALIDATED_SOURCE,2025-09-14 21:00:00+00:00,2025-09-14 21:55:00+00:00,0,NO_OVERLAPPING_FILES,False,,,,,,,,,
2224,2025-09-15 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-09-15 12:30:00+00:00,2025-09-15 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],1.0,0.0,405.0,3002.81473,0.007278,11.1167753,0.0
2225,2025-09-16 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-09-16 12:30:00+00:00,2025-09-16 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],0.0,0.0,675.0,3000.18532,0.009032,4.635931332,0.0
2226,2025-09-17 13:30:00+00:00,NY,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,2025-09-17 12:30:00+00:00,2025-09-17 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],4.0,0.0,551.0,3000.233307,0.007045,8.094982148,0.0
2227,2025-09-17 22:00:00+00:00,WEEKDAY_WEAK,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,2025-09-17 21:00:00+00:00,2025-09-17 21:55:00+00:00,0,NO_OVERLAPPING_FILES,False,,,,,,,,,
2228,2025-09-18 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-09-18 12:30:00+00:00,2025-09-18 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],1.0,0.0,926.0,3000.010097,0.00916,3.957485494,0.0
2229,2025-09-19 13:30:00+00:00,NY,VALIDATED_SOURCE,2025-09-19 12:30:00+00:00,2025-09-19 13:25:00+00:00,1,PREOPEN60_CONTINUITY_FAIL,False,1.0,[],3.0,0.0,1329.0,3000.751389,0.84344,2.79846072,0.0
