trade_number,entry_time_et,dataset_split,source_status,route,quantity,rule,family,extra_slippage_ticks,control_pair_net,control_buy_net,control_sell_net,survivor,loser,usable_survivor_session,candidate_pair_net,candidate_buy_net,candidate_sell_net,delta_vs_control,floor_fired,exit_reason,candidate_exit_time_utc,candidate_exit_price,pair_peak_before_exit,protected_floor_at_exit,activation_r,lock_pct_at_exit
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,CONTROL_NO_PAIR_FLOOR,CONTROL,0,572.0,631.0,-59.0,BUY,SELL,True,572.0,631.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,999.0,
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,CONTROL_NO_PAIR_FLOOR,CONTROL,1,572.0,631.0,-59.0,BUY,SELL,True,572.0,631.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,999.0,
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,CONTROL_NO_PAIR_FLOOR,CONTROL,2,572.0,631.0,-59.0,BUY,SELL,True,572.0,631.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,999.0,
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,CONTROL_NO_PAIR_FLOOR,CONTROL,4,572.0,631.0,-59.0,BUY,SELL,True,572.0,631.0,-59.0,0.0,False,CONTROL_OR_NO_SINGLE_SURVIVOR,,,,,999.0,
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,FIXED_50_ARM_2R,FIXED,0,572.0,631.0,-59.0,BUY,SELL,True,122.0,181.0,-59.0,-450.0,True,PAIR_PROTECTED_FLOOR,2025-09-17T13:30:03.421991659+00:00,24526.0,282.0,141.0,2.0,0.5
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,FIXED_50_ARM_2R,FIXED,1,572.0,631.0,-59.0,BUY,SELL,True,112.0,171.0,-59.0,-460.0,True,PAIR_PROTECTED_FLOOR,2025-09-17T13:30:03.421991659+00:00,24525.75,282.0,141.0,2.0,0.5
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,FIXED_50_ARM_2R,FIXED,2,572.0,631.0,-59.0,BUY,SELL,True,102.0,161.0,-59.0,-470.0,True,PAIR_PROTECTED_FLOOR,2025-09-17T13:30:03.421991659+00:00,24525.5,282.0,141.0,2.0,0.5
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,FIXED_50_ARM_2R,FIXED,4,572.0,631.0,-59.0,BUY,SELL,True,82.0,141.0,-59.0,-490.0,True,PAIR_PROTECTED_FLOOR,2025-09-17T13:30:03.421991659+00:00,24525.0,282.0,141.0,2.0,0.5
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,FIXED_65_ARM_2R,FIXED,0,572.0,631.0,-59.0,BUY,SELL,True,102.0,161.0,-59.0,-470.0,True,PAIR_PROTECTED_FLOOR,2025-09-17T13:30:02.015036733+00:00,24525.5,162.0,105.3,2.0,0.65
2226,2025-09-17 09:30,VALIDATION_SEPTEMBER,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,NY,2,FIXED_65_ARM_2R,FIXED,1,572.0,631.0,-59.0,BUY,SELL,True,92.0,151.0,-59.0,-480.0,True,PAIR_PROTECTED_FLOOR,2025-09-17T13:30:02.015036733+00:00,24525.25,162.0,105.3,2.0,0.65
