dataset_split,rule,family,extra_slippage_ticks,sessions,candidate_net,control_net,delta_vs_control,average_session,median_session,positive_sessions,negative_sessions,worst_pair_session,best_pair_session,worst_buy_worker,worst_sell_worker,profit_factor,max_drawdown,floors_fired,sessions_improved,sessions_worsened,unchanged_sessions
DISCOVERY_AUGUST,CONTROL_NO_PAIR_FLOOR,CONTROL,0,17,916.0,916.0,0.0,53.88235294117647,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.7057010785824345,-413.0,0,0,0,17
DISCOVERY_AUGUST,FIXED_85_ARM_5R,FIXED,0,17,336.0,916.0,-580.0,19.764705882352942,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.2588597842835132,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_75_ARM_5R,FIXED,0,17,276.0,916.0,-640.0,16.235294117647058,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.2126348228043142,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_65_ARM_5R,FIXED,0,17,206.0,916.0,-710.0,12.117647058823529,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.1587057010785824,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_BALANCED_3R_5R_8R_12R,DYNAMIC,0,17,206.0,916.0,-710.0,12.117647058823529,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.1587057010785824,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_FAST_2R_4R_6R_8R,DYNAMIC,0,17,141.0,916.0,-775.0,8.294117647058824,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.108628659476117,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_65_ARM_4R,FIXED,0,17,131.0,916.0,-785.0,7.705882352941177,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.100924499229584,-413.0,3,0,3,14
DISCOVERY_AUGUST,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,0,17,131.0,916.0,-785.0,7.705882352941177,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.100924499229584,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_50_ARM_3R,FIXED,0,17,116.0,916.0,-800.0,6.823529411764706,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0893682588597844,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_50_ARM_4R,FIXED,0,17,116.0,916.0,-800.0,6.823529411764706,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0893682588597844,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_50_ARM_5R,FIXED,0,17,116.0,916.0,-800.0,6.823529411764706,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0893682588597844,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_LOOSE_4R_7R_11R_16R,DYNAMIC,0,17,116.0,916.0,-800.0,6.823529411764706,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0893682588597844,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_75_ARM_4R,FIXED,0,17,111.0,916.0,-805.0,6.529411764705882,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0855161787365177,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_65_ARM_3R,FIXED,0,17,21.0,916.0,-895.0,1.2352941176470589,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0161787365177195,-413.0,3,0,3,14
DISCOVERY_AUGUST,ADAPTIVE_VOL_ARM_3R,ADAPTIVE,0,17,21.0,916.0,-895.0,1.2352941176470589,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0161787365177195,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_75_ARM_3R,FIXED,0,17,1.0,916.0,-915.0,0.058823529411764705,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0007704160246533,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_50_ARM_2R,FIXED,0,17,-19.0,916.0,-935.0,-1.1176470588235294,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.985362095531587,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_75_ARM_2R,FIXED,0,17,-34.0,916.0,-950.0,-2.0,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9738058551617874,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_65_ARM_2R,FIXED,0,17,-39.0,916.0,-955.0,-2.2941176470588234,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9699537750385208,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_85_ARM_4R,FIXED,0,17,-274.0,916.0,-1190.0,-16.11764705882353,-118.0,5,12,-118.0,272.0,-59.0,-59.0,0.7889060092449923,-451.0,5,0,5,12
DISCOVERY_AUGUST,FIXED_85_ARM_3R,FIXED,0,17,-424.0,916.0,-1340.0,-24.941176470588236,-118.0,5,12,-118.0,232.0,-59.0,-59.0,0.6733436055469953,-451.0,5,0,5,12
DISCOVERY_AUGUST,FIXED_85_ARM_2R,FIXED,0,17,-654.0,916.0,-1570.0,-38.470588235294116,-118.0,5,12,-118.0,232.0,-59.0,-59.0,0.49614791987673346,-551.0,5,0,5,12
DISCOVERY_AUGUST,CONTROL_NO_PAIR_FLOOR,CONTROL,1,17,916.0,916.0,0.0,53.88235294117647,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.7057010785824345,-413.0,0,0,0,17
DISCOVERY_AUGUST,FIXED_85_ARM_5R,FIXED,1,17,316.0,916.0,-600.0,18.58823529411765,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.2434514637904468,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_75_ARM_5R,FIXED,1,17,256.0,916.0,-660.0,15.058823529411764,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.197226502311248,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_65_ARM_5R,FIXED,1,17,186.0,916.0,-730.0,10.941176470588236,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.1432973805855162,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_BALANCED_3R_5R_8R_12R,DYNAMIC,1,17,186.0,916.0,-730.0,10.941176470588236,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.1432973805855162,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_FAST_2R_4R_6R_8R,DYNAMIC,1,17,116.0,916.0,-800.0,6.823529411764706,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0893682588597844,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_65_ARM_4R,FIXED,1,17,106.0,916.0,-810.0,6.235294117647059,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.081664098613251,-413.0,3,0,3,14
DISCOVERY_AUGUST,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,1,17,106.0,916.0,-810.0,6.235294117647059,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.081664098613251,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_50_ARM_3R,FIXED,1,17,96.0,916.0,-820.0,5.647058823529412,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.073959938366718,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_50_ARM_4R,FIXED,1,17,96.0,916.0,-820.0,5.647058823529412,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.073959938366718,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_50_ARM_5R,FIXED,1,17,96.0,916.0,-820.0,5.647058823529412,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.073959938366718,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_LOOSE_4R_7R_11R_16R,DYNAMIC,1,17,96.0,916.0,-820.0,5.647058823529412,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.073959938366718,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_75_ARM_4R,FIXED,1,17,86.0,916.0,-830.0,5.0588235294117645,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.066255778120185,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_65_ARM_3R,FIXED,1,17,-4.0,916.0,-920.0,-0.23529411764705882,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9969183359013868,-413.0,3,0,3,14
DISCOVERY_AUGUST,ADAPTIVE_VOL_ARM_3R,ADAPTIVE,1,17,-4.0,916.0,-920.0,-0.23529411764705882,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9969183359013868,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_75_ARM_3R,FIXED,1,17,-24.0,916.0,-940.0,-1.411764705882353,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9815100154083205,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_50_ARM_2R,FIXED,1,17,-44.0,916.0,-960.0,-2.588235294117647,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9661016949152542,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_75_ARM_2R,FIXED,1,17,-59.0,916.0,-975.0,-3.4705882352941178,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9545454545454546,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_65_ARM_2R,FIXED,1,17,-64.0,916.0,-980.0,-3.764705882352941,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9506933744221879,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_85_ARM_4R,FIXED,1,17,-319.0,916.0,-1235.0,-18.764705882352942,-118.0,5,12,-118.0,262.0,-59.0,-59.0,0.7542372881355932,-471.0,5,0,5,12
DISCOVERY_AUGUST,FIXED_85_ARM_3R,FIXED,1,17,-469.0,916.0,-1385.0,-27.58823529411765,-118.0,5,12,-118.0,222.0,-59.0,-59.0,0.6386748844375963,-471.0,5,0,5,12
DISCOVERY_AUGUST,FIXED_85_ARM_2R,FIXED,1,17,-699.0,916.0,-1615.0,-41.11764705882353,-118.0,5,12,-118.0,222.0,-59.0,-59.0,0.46147919876733434,-581.0,5,0,5,12
DISCOVERY_AUGUST,CONTROL_NO_PAIR_FLOOR,CONTROL,2,17,916.0,916.0,0.0,53.88235294117647,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.7057010785824345,-413.0,0,0,0,17
DISCOVERY_AUGUST,FIXED_85_ARM_5R,FIXED,2,17,296.0,916.0,-620.0,17.41176470588235,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.2280431432973806,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_75_ARM_5R,FIXED,2,17,236.0,916.0,-680.0,13.882352941176471,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.1818181818181819,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_65_ARM_5R,FIXED,2,17,166.0,916.0,-750.0,9.764705882352942,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.1278890600924498,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_BALANCED_3R_5R_8R_12R,DYNAMIC,2,17,166.0,916.0,-750.0,9.764705882352942,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.1278890600924498,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_FAST_2R_4R_6R_8R,DYNAMIC,2,17,91.0,916.0,-825.0,5.352941176470588,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0701078582434516,-413.0,3,0,3,14
