trade_number,entry_time_et,split,route,source_status,eligible,active_symbol,survivor,loser,survivor_net,loser_net,control_pair_net,survivor_mfe,loser_mfe,survivor_commission,loser_commission,false_preproof_loser_leak_screen,survivor_mfe_minus_net,survivor_market_giveback_upper,raw_status,proof_time_utc,pair_peak_time_utc,target_time_utc,raw_post_proof_pair_peak,raw_true_post_proof_giveback,seconds_proof_to_peak,seconds_peak_to_target
2175,2025-08-03 18:00,DISCOVERY_AUGUST,WEEKLY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,0.0,365.5,9.0,9.0,424.5,59.0,50.0,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2176,2025-08-04 09:30,DISCOVERY_AUGUST,NY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,0.0,195.5,9.0,9.0,254.5,59.0,50.0,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2177,2025-08-04 18:00,DISCOVERY_AUGUST,WEEKDAY_PREMIUM,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,225.5,0.0,9.0,9.0,59.0,284.5,275.5,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2178,2025-08-05 09:30,DISCOVERY_AUGUST,NY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,355.5,0.0,9.0,9.0,59.0,414.5,405.5,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2180,2025-08-06 09:30,DISCOVERY_AUGUST,NY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,0.0,625.5,9.0,9.0,684.5,59.0,50.0,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2182,2025-08-07 18:00,DISCOVERY_AUGUST,WEEKDAY_WEAK,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-29.5,-29.5,-59.0,0.0,37.75,4.5,4.5,67.25,29.5,25.0,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2183,2025-08-08 09:30,DISCOVERY_AUGUST,NY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,0.0,455.5,9.0,9.0,514.5,59.0,50.0,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2184,2025-08-10 18:00,DISCOVERY_AUGUST,WEEKLY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,255.5,0.0,9.0,9.0,59.0,314.5,305.5,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2185,2025-08-11 09:30,DISCOVERY_AUGUST,NY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,565.5,0.0,9.0,9.0,59.0,624.5,615.5,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2188,2025-08-13 09:30,DISCOVERY_AUGUST,NY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,0.0,615.5,9.0,9.0,674.5,59.0,50.0,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2190,2025-08-14 18:00,DISCOVERY_AUGUST,WEEKDAY_WEAK,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-29.5,-29.5,-59.0,7.75,0.0,4.5,4.5,29.5,37.25,32.75,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2191,2025-08-15 09:30,DISCOVERY_AUGUST,NY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,55.5,0.0,9.0,9.0,59.0,114.5,105.5,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2223,2025-09-14 18:00,VALIDATION_SEPTEMBER,WEEKLY,VALIDATED_SOURCE,True,NQU5,BUY,SELL,-59.0,-59.0,-118.0,275.5,0.0,9.0,9.0,59.0,334.5,325.5,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2224,2025-09-15 09:30,VALIDATION_SEPTEMBER,NY,VALIDATED_SOURCE,True,NQZ5,BUY,SELL,-59.0,-59.0,-118.0,0.0,185.5,9.0,9.0,244.5,59.0,50.0,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2225,2025-09-16 09:30,VALIDATION_SEPTEMBER,NY,VALIDATED_SOURCE,True,NQZ5,BUY,SELL,-59.0,-59.0,-118.0,475.5,0.0,9.0,9.0,59.0,534.5,525.5,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2227,2025-09-17 18:00,VALIDATION_SEPTEMBER,WEEKDAY_WEAK,DIAGNOSTIC_ONLY_DEGRADED_SOURCE,False,NQZ5,BUY,SELL,-29.5,-29.5,-59.0,0.0,57.75,4.5,4.5,87.25,29.5,25.0,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
2229,2025-09-19 09:30,VALIDATION_SEPTEMBER,NY,VALIDATED_SOURCE,True,NQZ5,BUY,SELL,-59.0,-59.0,-118.0,605.5,0.0,9.0,9.0,59.0,664.5,655.5,TARGET_BEFORE_OR_AT_PROOF,,,,,,,
