trade_number,entry_time_et,route,best_delta,worst_delta,floors_fired
2228,2025-09-18 09:30,NY,-310.0,-570.0,84
2181,2025-08-07 09:30,NY,0.0,-510.0,12
2189,2025-08-14 09:30,NY,-280.0,-510.0,84
2186,2025-08-12 09:30,NY,-300.0,-500.0,84
2187,2025-08-12 18:00,WEEKDAY_WEAK,0.0,-155.0,52
2179,2025-08-05 18:00,WEEKDAY_PREMIUM,0.0,-140.0,12
2175,2025-08-03 18:00,WEEKLY,0.0,0.0,0
2178,2025-08-05 09:30,NY,0.0,0.0,0
2182,2025-08-07 18:00,WEEKDAY_WEAK,0.0,0.0,0
2180,2025-08-06 09:30,NY,0.0,0.0,0
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,0.0,0.0,0
2183,2025-08-08 09:30,NY,0.0,0.0,0
2185,2025-08-11 09:30,NY,0.0,0.0,0
2184,2025-08-10 18:00,WEEKLY,0.0,0.0,0
2188,2025-08-13 09:30,NY,0.0,0.0,0
2176,2025-08-04 09:30,NY,0.0,0.0,0
2190,2025-08-14 18:00,WEEKDAY_WEAK,0.0,0.0,0
2191,2025-08-15 09:30,NY,0.0,0.0,0
2224,2025-09-15 09:30,NY,0.0,0.0,0
2223,2025-09-14 18:00,WEEKLY,0.0,0.0,0
2225,2025-09-16 09:30,NY,0.0,0.0,0
2229,2025-09-19 09:30,NY,0.0,0.0,0
