trade_number,entry_time_et,route,source_status,control_class,control_pair_net,active_symbol,diagnostic,stop_mode,extra_ticks,status,direction,proof_time_utc,proof_trigger,entry_time_utc,entry_price,chase_points,spread_points,target,stop,trade_taken,exit_reason,exit_time_utc,exit_price,candidate_net,delta_vs_control
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,0,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22847.75,1.5,3.25,22840.0,22850.75,True,STOP,2025-08-03 22:00:00.090916277+00:00,22851.0,-139.0,-21.0
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,0,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22847.75,1.5,3.25,22840.0,22848.75,True,STOP,2025-08-03 22:00:00.090916277+00:00,22851.0,-139.0,-21.0
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,1,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22847.5,1.5,3.25,22840.0,22850.75,True,STOP,2025-08-03 22:00:00.090916277+00:00,22851.25,-159.0,-41.0
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,1,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22847.5,1.5,3.25,22840.0,22848.5,True,STOP,2025-08-03 22:00:00.090916277+00:00,22851.25,-159.0,-41.0
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,2,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22847.25,1.5,3.25,22840.0,22850.75,True,STOP,2025-08-03 22:00:00.090916277+00:00,22851.5,-179.0,-61.0
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,2,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22847.25,1.5,3.25,22840.0,22848.25,True,STOP,2025-08-03 22:00:00.090916277+00:00,22851.5,-179.0,-61.0
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,4,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22846.75,1.5,3.25,22840.0,22850.75,True,STOP,2025-08-03 22:00:00.090916277+00:00,22852.0,-219.0,-101.0
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,4,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22846.75,1.5,3.25,22840.0,22847.75,True,STOP,2025-08-03 22:00:00.090916277+00:00,22852.0,-219.0,-101.0
2176,2025-08-04 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,0,RESOLVED,BUY,2025-08-04 13:30:00.001358323+00:00,23094.75,2025-08-04 13:30:00.001358323+00:00,23094.75,0.0,1.0,23110.25,23093.25,True,STOP,2025-08-04 13:30:01.633650431+00:00,23093.25,-69.0,49.0
2176,2025-08-04 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,0,RESOLVED,BUY,2025-08-04 13:30:00.001358323+00:00,23094.75,2025-08-04 13:30:00.001358323+00:00,23094.75,0.0,1.0,23110.25,23093.75,True,STOP,2025-08-04 13:30:00.001358323+00:00,23093.75,-49.0,69.0
2176,2025-08-04 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,1,RESOLVED,BUY,2025-08-04 13:30:00.001358323+00:00,23094.75,2025-08-04 13:30:00.001358323+00:00,23095.0,0.0,1.0,23110.25,23093.25,True,STOP,2025-08-04 13:30:01.633650431+00:00,23093.0,-89.0,29.0
2176,2025-08-04 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,1,RESOLVED,BUY,2025-08-04 13:30:00.001358323+00:00,23094.75,2025-08-04 13:30:00.001358323+00:00,23095.0,0.0,1.0,23110.25,23094.0,True,STOP,2025-08-04 13:30:00.001358323+00:00,23093.5,-69.0,49.0
2176,2025-08-04 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,2,RESOLVED,BUY,2025-08-04 13:30:00.001358323+00:00,23094.75,2025-08-04 13:30:00.001358323+00:00,23095.25,0.0,1.0,23110.25,23093.25,True,STOP,2025-08-04 13:30:01.633650431+00:00,23092.75,-109.0,9.0
2176,2025-08-04 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,2,RESOLVED,BUY,2025-08-04 13:30:00.001358323+00:00,23094.75,2025-08-04 13:30:00.001358323+00:00,23095.25,0.0,1.0,23110.25,23094.25,True,STOP,2025-08-04 13:30:00.001358323+00:00,23093.25,-89.0,29.0
2176,2025-08-04 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,4,RESOLVED,BUY,2025-08-04 13:30:00.001358323+00:00,23094.75,2025-08-04 13:30:00.001358323+00:00,23095.75,0.0,1.0,23110.25,23093.25,True,STOP,2025-08-04 13:30:01.633650431+00:00,23092.25,-149.0,-31.0
2176,2025-08-04 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,4,RESOLVED,BUY,2025-08-04 13:30:00.001358323+00:00,23094.75,2025-08-04 13:30:00.001358323+00:00,23095.75,0.0,1.0,23110.25,23094.75,True,STOP,2025-08-04 13:30:00.001358323+00:00,23092.75,-129.0,-11.0
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,0,RESOLVED,SELL,2025-08-04 22:00:00.014832971+00:00,23353.25,2025-08-04 22:00:00.014832971+00:00,23353.0,0.25,2.25,23343.75,23354.75,True,STOP,2025-08-04 22:00:00.014832971+00:00,23355.25,-99.0,19.0
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,0,RESOLVED,SELL,2025-08-04 22:00:00.014832971+00:00,23353.25,2025-08-04 22:00:00.014832971+00:00,23353.0,0.25,2.25,23343.75,23354.0,True,STOP,2025-08-04 22:00:00.014832971+00:00,23355.25,-99.0,19.0
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,1,RESOLVED,SELL,2025-08-04 22:00:00.014832971+00:00,23353.25,2025-08-04 22:00:00.014832971+00:00,23352.75,0.25,2.25,23343.75,23354.75,True,STOP,2025-08-04 22:00:00.014832971+00:00,23355.5,-119.0,-1.0
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,1,RESOLVED,SELL,2025-08-04 22:00:00.014832971+00:00,23353.25,2025-08-04 22:00:00.014832971+00:00,23352.75,0.25,2.25,23343.75,23353.75,True,STOP,2025-08-04 22:00:00.014832971+00:00,23355.5,-119.0,-1.0
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,2,RESOLVED,SELL,2025-08-04 22:00:00.014832971+00:00,23353.25,2025-08-04 22:00:00.014832971+00:00,23352.5,0.25,2.25,23343.75,23354.75,True,STOP,2025-08-04 22:00:00.014832971+00:00,23355.75,-139.0,-21.0
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,2,RESOLVED,SELL,2025-08-04 22:00:00.014832971+00:00,23353.25,2025-08-04 22:00:00.014832971+00:00,23352.5,0.25,2.25,23343.75,23353.5,True,STOP,2025-08-04 22:00:00.014832971+00:00,23355.75,-139.0,-21.0
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,4,RESOLVED,SELL,2025-08-04 22:00:00.014832971+00:00,23353.25,2025-08-04 22:00:00.014832971+00:00,23352.0,0.25,2.25,23343.75,23354.75,True,STOP,2025-08-04 22:00:00.014832971+00:00,23356.25,-179.0,-61.0
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,4,RESOLVED,SELL,2025-08-04 22:00:00.014832971+00:00,23353.25,2025-08-04 22:00:00.014832971+00:00,23352.0,0.25,2.25,23343.75,23353.0,True,STOP,2025-08-04 22:00:00.014832971+00:00,23356.25,-179.0,-61.0
2178,2025-08-05 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,0,RESOLVED,BUY,2025-08-05 13:30:00.002312089+00:00,23349.0,2025-08-05 13:30:00.002312089+00:00,23349.0,0.0,0.25,23364.5,23347.5,True,STOP,2025-08-05 13:30:00.099007947+00:00,23347.5,-69.0,49.0
2178,2025-08-05 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,0,RESOLVED,BUY,2025-08-05 13:30:00.002312089+00:00,23349.0,2025-08-05 13:30:00.002312089+00:00,23349.0,0.0,0.25,23364.5,23348.0,True,STOP,2025-08-05 13:30:00.007625613+00:00,23348.0,-49.0,69.0
2178,2025-08-05 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,1,RESOLVED,BUY,2025-08-05 13:30:00.002312089+00:00,23349.0,2025-08-05 13:30:00.002312089+00:00,23349.25,0.0,0.25,23364.5,23347.5,True,STOP,2025-08-05 13:30:00.099007947+00:00,23347.25,-89.0,29.0
2178,2025-08-05 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,1,RESOLVED,BUY,2025-08-05 13:30:00.002312089+00:00,23349.0,2025-08-05 13:30:00.002312089+00:00,23349.25,0.0,0.25,23364.5,23348.25,True,STOP,2025-08-05 13:30:00.005117423+00:00,23348.0,-59.0,59.0
2178,2025-08-05 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,2,RESOLVED,BUY,2025-08-05 13:30:00.002312089+00:00,23349.0,2025-08-05 13:30:00.002312089+00:00,23349.5,0.0,0.25,23364.5,23347.5,True,STOP,2025-08-05 13:30:00.099007947+00:00,23347.0,-109.0,9.0
2178,2025-08-05 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,2,RESOLVED,BUY,2025-08-05 13:30:00.002312089+00:00,23349.0,2025-08-05 13:30:00.002312089+00:00,23349.5,0.0,0.25,23364.5,23348.5,True,STOP,2025-08-05 13:30:00.003073363+00:00,23348.0,-69.0,49.0
2178,2025-08-05 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,4,RESOLVED,BUY,2025-08-05 13:30:00.002312089+00:00,23349.0,2025-08-05 13:30:00.002312089+00:00,23350.0,0.0,0.25,23364.5,23347.5,True,STOP,2025-08-05 13:30:00.099007947+00:00,23346.5,-149.0,-31.0
2178,2025-08-05 09:30,NY,VALIDATED_SOURCE,CONTROL_LOSER,-118.0,NQU5,IMMEDIATE_BBO,ONE_POINT_FROM_FILL,4,RESOLVED,BUY,2025-08-05 13:30:00.002312089+00:00,23349.0,2025-08-05 13:30:00.002312089+00:00,23350.0,0.0,0.25,23364.5,23349.0,True,STOP,2025-08-05 13:30:00.002312089+00:00,23347.75,-99.0,19.0
2179,2025-08-05 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,CONTROL_WINNER,332.0,NQU5,IMMEDIATE_BBO,ORIGINAL_SURVIVOR_STOP,0,RESOLVED,SELL,2025-08-05 22:00:00.021693303+00:00,23091.0,2025-08-05 22:00:00.021693303+00:00,23091.0,0.0,9.0,23081.5,23092.5,True,STOP,2025-08-05 22:00:00.021693303+00:00,23100.0,-369.0,-701.0
