trade_number,entry_time_et,route,source_status,active_symbol,control_pair_net,profile,execution_mode,stop_mode,extra_ticks,status,direction,proof_time_utc,proof_trigger,entry_time_utc,entry_price,target,stop,trade_taken,exit_reason,exit_time_utc,exit_price,candidate_net,delta_vs_control,chase_points,spread,max_gap_before_proof_seconds,entry_index,limit_price,control_class,taken,candidate_net_scored,selection_class
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.0,,18.0,,CONTROL_LOSER,False,0.0,LOSER_SKIPPED
2176,2025-08-04 09:30,NY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,SKIP_CHASE_CAP,BUY,2025-08-04 13:30:00.001358323+00:00,23094.75,,23096.25,,,False,,,,0.0,118.0,1.5,0.5,,177.0,,CONTROL_LOSER,False,0.0,LOSER_SKIPPED
2177,2025-08-04 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,SKIP_SPREAD_GATE,SELL,2025-08-04 22:00:00.014832971+00:00,23353.25,,,,,False,,,,0.0,118.0,,5.25,,48.0,,CONTROL_LOSER,False,0.0,LOSER_SKIPPED
2178,2025-08-05 09:30,NY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,RESOLVED,BUY,2025-08-05 13:30:00.002312089+00:00,23349.0,2025-08-05 13:30:00.515384139+00:00,23341.75,23364.5,23340.75,True,LIVE_STOP,2025-08-05 13:30:01.233654569+00:00,23340.75,-49.0,69.0,0.0,0.5,0.00210002,,,CONTROL_LOSER,True,-49.0,LOSER_TAKEN
2179,2025-08-05 18:00,WEEKDAY_PREMIUM,VALIDATED_SOURCE,NQU5,332.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,RESOLVED,SELL,2025-08-05 22:00:00.021693303+00:00,23091.0,2025-08-05 22:00:00.859014893+00:00,23091.5,23081.5,23092.5,True,LIVE_STOP,2025-08-05 22:00:00.859014893+00:00,23093.5,-89.0,-421.0,0.0,2.0,0.003986258,,,CONTROL_WINNER,True,-89.0,WINNER_TAKEN
2180,2025-08-06 09:30,NY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,RESOLVED,SELL,2025-08-06 13:30:00.001585691+00:00,23168.5,2025-08-06 13:30:00.503782705+00:00,23171.75,23153.0,23172.75,True,LIVE_STOP,2025-08-06 13:30:02.329742299+00:00,23172.75,-49.0,69.0,0.0,0.5,0.001463896,,,CONTROL_LOSER,True,-49.0,LOSER_TAKEN
2181,2025-08-07 09:30,NY,VALIDATED_SOURCE,NQU5,572.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,RESOLVED,BUY,2025-08-07 13:30:00.015403787+00:00,23601.75,2025-08-07 13:30:00.516169551+00:00,23599.25,23617.25,23598.25,True,LIVE_STOP,2025-08-07 13:30:00.517365427+00:00,23598.25,-49.0,-621.0,0.0,0.25,0.002764176,,,CONTROL_WINNER,True,-49.0,WINNER_TAKEN
2182,2025-08-07 18:00,WEEKDAY_WEAK,VALIDATED_SOURCE,NQU5,-59.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,SKIP_SPREAD_GATE,BUY,2025-08-07 22:00:00.027019439+00:00,23519.0,,,,,False,,,,0.0,59.0,,3.0,,29.0,,CONTROL_LOSER,False,0.0,LOSER_SKIPPED
2183,2025-08-08 09:30,NY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,SKIP_CHASE_CAP,BUY,2025-08-08 13:30:00.010224383+00:00,23542.5,,23545.25,,,False,,,,0.0,118.0,2.75,0.25,,214.0,,CONTROL_LOSER,False,0.0,LOSER_SKIPPED
2184,2025-08-10 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,SKIP_SPREAD_GATE,SELL,2025-08-10 22:00:00.069726097+00:00,23763.25,,,,,False,,,,0.0,118.0,,3.5,,31.0,,CONTROL_LOSER,False,0.0,LOSER_SKIPPED
