trade_number,entry_time,route,quantity,buy_entry,buy_exit,buy_net,buy_commission,buy_exit_signal,sell_entry,sell_exit,sell_net,sell_commission,sell_exit_signal,entry_dt,month,year,control_pair_net,buy_target,sell_target,control_outcome,reference_price,target_points,derived_buy_target,derived_sell_target,scenario,entry_slip_ticks,candidate_direction,candidate_entry,candidate_exit,candidate_exit_reason,candidate_net,delta_vs_control,continuity_assumption,known_crisis_case
1,2020-01-02 09:30,NY,2,8821.5,8820.25,-59.0,9.0,NQ09B BUY NY STOP,8821.0,8822.25,-59.0,9.0,NQ09B SELL NY STOP,2020-01-02 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,8821.25,12.75,8834.25,8808.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,8822.0,8820.25,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
2,2020-01-03 09:30,NY,2,8772.25,8771.0,-59.0,9.0,NQ09B BUY NY STOP,8771.75,8773.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-03 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,8772.0,12.75,8785.0,8759.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,8772.75,8771.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
3,2020-01-05 18:00,WEEKLY,2,8772.5,8771.25,-59.0,9.0,NQ09B BUY WEEKLY STOP,8772.0,8764.0,311.0,9.0,NQ09B SELL WEEKLY W80,2020-01-05 18:00:00,2020-01,2020,252.0,False,True,SELL_TARGET,8772.25,8.0,8780.5,8764.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,SELL,8771.5,8764.0,ORIGINAL_TARGET,291.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
4,2020-01-06 09:30,NY,2,8739.25,8738.0,-59.0,9.0,NQ09B BUY NY STOP,8738.75,8740.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-06 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,8739.0,12.75,8752.0,8726.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,8739.75,8738.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
5,2020-01-07 09:30,NY,2,8867.25,8866.0,-59.0,9.0,NQ09B BUY NY STOP,8866.75,8868.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-07 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,8867.0,12.75,8880.0,8854.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,8867.75,8866.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
6,2020-01-08 09:30,NY,2,8861.5,8860.25,-59.0,9.0,NQ09B BUY NY STOP,8861.0,8848.25,501.0,9.0,NQ09B SELL NY N130 TP2,2020-01-08 09:30:00,2020-01,2020,442.0,False,True,SELL_TARGET,8861.25,12.75,8874.25,8848.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,SELL,8860.5,8848.25,ORIGINAL_TARGET,481.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
7,2020-01-09 09:30,NY,2,9002.0,9000.75,-59.0,9.0,NQ09B BUY NY STOP,9001.5,9002.75,-59.0,9.0,NQ09B SELL NY STOP,2020-01-09 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9001.75,12.75,9014.75,8988.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9002.5,9000.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
8,2020-01-10 09:30,NY,2,9038.25,9037.0,-59.0,9.0,NQ09B BUY NY STOP,9037.75,9039.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-10 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9038.0,12.75,9051.0,9025.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9038.75,9037.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
9,2020-01-12 18:00,WEEKLY,2,8979.25,8987.25,311.0,9.0,NQ09B BUY WEEKLY W80,8978.75,8980.0,-59.0,9.0,NQ09B SELL WEEKLY STOP,2020-01-12 18:00:00,2020-01,2020,252.0,True,False,BUY_TARGET,8979.0,8.0,8987.25,8970.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,BUY,8979.75,8987.25,ORIGINAL_TARGET,291.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
10,2020-01-13 09:30,NY,2,9017.75,9016.5,-59.0,9.0,NQ09B BUY NY STOP,9017.25,9018.5,-59.0,9.0,NQ09B SELL NY STOP,2020-01-13 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9017.5,12.75,9030.5,9004.5,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9018.25,9016.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
