month,net,scenario
2020-01,-1066.0,V3_6_72_CONTROL
2020-02,1568.0,V3_6_72_CONTROL
2020-03,5505.0,V3_6_72_CONTROL
2020-04,4280.0,V3_6_72_CONTROL
2020-05,1608.0,V3_6_72_CONTROL
2020-06,2128.0,V3_6_72_CONTROL
2020-07,4352.0,V3_6_72_CONTROL
2020-08,-254.0,V3_6_72_CONTROL
2020-09,5226.0,V3_6_72_CONTROL
2020-10,2187.0,V3_6_72_CONTROL
2020-11,4103.0,V3_6_72_CONTROL
2020-12,236.0,V3_6_72_CONTROL
2021-01,2002.0,V3_6_72_CONTROL
2021-02,3535.0,V3_6_72_CONTROL
2021-03,3417.0,V3_6_72_CONTROL
2021-04,812.0,V3_6_72_CONTROL
2021-05,753.0,V3_6_72_CONTROL
2021-06,-118.0,V3_6_72_CONTROL
2021-07,517.0,V3_6_72_CONTROL
2021-08,13.0,V3_6_72_CONTROL
2021-09,3625.0,V3_6_72_CONTROL
2021-10,4301.0,V3_6_72_CONTROL
2021-11,2602.0,V3_6_72_CONTROL
2021-12,3090.0,V3_6_72_CONTROL
2022-01,7276.0,V3_6_72_CONTROL
2022-02,4470.0,V3_6_72_CONTROL
2022-03,5847.0,V3_6_72_CONTROL
2022-04,2846.0,V3_6_72_CONTROL
2022-05,6962.0,V3_6_72_CONTROL
2022-06,6643.0,V3_6_72_CONTROL
2022-07,7126.0,V3_6_72_CONTROL
2022-08,4290.0,V3_6_72_CONTROL
2022-09,2222.0,V3_6_72_CONTROL
2022-10,2993.0,V3_6_72_CONTROL
2022-11,2977.0,V3_6_72_CONTROL
2022-12,3205.0,V3_6_72_CONTROL
2023-01,2918.0,V3_6_72_CONTROL
2023-02,164.0,V3_6_72_CONTROL
2023-03,1544.0,V3_6_72_CONTROL
2023-04,917.0,V3_6_72_CONTROL
2023-05,-372.0,V3_6_72_CONTROL
2023-06,3794.0,V3_6_72_CONTROL
2023-07,4588.0,V3_6_72_CONTROL
2023-08,2929.0,V3_6_72_CONTROL
2023-09,3095.0,V3_6_72_CONTROL
2023-10,2849.0,V3_6_72_CONTROL
2023-11,2240.0,V3_6_72_CONTROL
2023-12,99.0,V3_6_72_CONTROL
2024-01,1271.0,V3_6_72_CONTROL
2024-02,1461.0,V3_6_72_CONTROL
2024-03,1190.0,V3_6_72_CONTROL
2024-04,4082.0,V3_6_72_CONTROL
2024-05,1484.0,V3_6_72_CONTROL
2024-06,981.0,V3_6_72_CONTROL
2024-07,1867.0,V3_6_72_CONTROL
2024-08,4723.0,V3_6_72_CONTROL
2024-09,1960.0,V3_6_72_CONTROL
2024-10,2898.0,V3_6_72_CONTROL
2024-11,2296.0,V3_6_72_CONTROL
2024-12,7877.0,V3_6_72_CONTROL
2025-01,4249.0,V3_6_72_CONTROL
2025-02,3889.0,V3_6_72_CONTROL
2025-03,9454.0,V3_6_72_CONTROL
2025-04,7367.0,V3_6_72_CONTROL
2025-05,5634.0,V3_6_72_CONTROL
2025-06,5154.0,V3_6_72_CONTROL
2025-07,1254.0,V3_6_72_CONTROL
2025-08,1998.0,V3_6_72_CONTROL
2025-09,183.0,V3_6_72_CONTROL
2025-10,3588.0,V3_6_72_CONTROL
2025-11,8041.0,V3_6_72_CONTROL
2025-12,5444.0,V3_6_72_CONTROL
2026-01,10233.0,V3_6_72_CONTROL
2026-02,8370.0,V3_6_72_CONTROL
2026-03,8407.0,V3_6_72_CONTROL
2026-04,8521.0,V3_6_72_CONTROL
2026-05,10384.0,V3_6_72_CONTROL
2026-06,8975.0,V3_6_72_CONTROL
2026-07,13008.0,V3_6_72_CONTROL
2020-01,84.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-02,2894.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-03,7457.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-04,5450.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-05,2739.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-06,3454.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-07,5561.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-08,935.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-09,6513.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-10,3493.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-11,5331.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-12,1328.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-01,3308.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-02,4705.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-03,4626.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-04,2021.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-05,1981.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-06,1091.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-07,1823.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-08,1241.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-09,4892.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-10,5588.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-11,3713.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2021-12,4162.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-01,8563.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-02,5640.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-03,7056.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-04,3938.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-05,8171.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-06,7774.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-07,8218.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-08,5460.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-09,3333.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-10,4221.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-11,4088.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2022-12,4180.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-01,4049.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-02,1217.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-03,2694.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-04,2028.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-05,856.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-06,4944.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-07,5719.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-08,4177.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-09,4167.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-10,3999.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-11,3410.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2023-12,1054.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-01,2460.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-02,2640.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-03,2370.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-04,5291.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-05,2732.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-06,2073.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-07,3173.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-08,5951.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-09,3130.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-10,4224.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-11,3485.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2024-12,9086.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2025-01,5399.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2025-02,5039.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2025-03,10604.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2025-04,8678.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2025-05,6784.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2025-06,6304.5,CONTROL_DERIVED_0T_ENTRY_SLIP
