profile,execution_mode,stop_mode,extra_ticks,clean_sessions,trades_taken,sessions_skipped,unresolved_sessions,candidate_net,control_net,delta_vs_control,profit_factor,max_drawdown,worst_session,best_session,target_exits,stop_exits,target_passed_skips,chase_cap_skips,stop_limit_no_fills
CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,0,22,15,7,0,-305.0,1016.0,-1321.0,0.6557562076749436,-481.0,-149.0,581.0,1,14,0,5,0
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,22,11,11,0,-519.0,1016.0,-1535.0,0.020754716981132074,-530.0,-89.0,11.0,0,11,0,5,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,0,22,11,11,0,-559.0,1016.0,-1575.0,0.0,-559.0,-89.0,0.0,0,11,0,5,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,22,11,11,0,-559.0,1016.0,-1575.0,0.0,-559.0,-89.0,0.0,0,11,0,5,0
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,0,22,11,11,0,-559.0,1016.0,-1575.0,0.0,-559.0,-109.0,0.0,0,11,0,5,0
CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,22,12,10,0,-638.0,1016.0,-1654.0,0.0,-638.0,-89.0,0.0,0,12,0,3,0
CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,0,22,12,10,0,-698.0,1016.0,-1714.0,0.0,-698.0,-109.0,0.0,0,12,0,3,0
CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,22,15,7,0,-935.0,1016.0,-1951.0,0.0,-786.0,-149.0,0.0,0,15,0,5,0
OCO_LIMIT_0P5_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,0,22,20,2,0,-935.5,1016.0,-1951.5,0.3950856773359198,-876.5,-369.0,611.0,1,19,0,0,2
OCO_LIMIT_1P0_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,0,22,20,2,0,-1005.5,1016.0,-2021.5,0.3779771110423755,-946.5,-369.0,611.0,1,19,0,0,2
OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,0,22,21,1,0,-1115.0,1016.0,-2131.0,0.35399768250289687,-976.0,-369.0,611.0,1,20,0,0,1
OCO_LIMIT_0P5_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,0,22,20,2,0,-1445.5,1016.0,-2461.5,0.0,-1386.5,-369.0,0.0,0,20,0,0,2
OCO_LIMIT_1P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,0,22,20,2,0,-1475.5,1016.0,-2491.5,0.0,-1416.5,-369.0,0.0,0,20,0,0,2
OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,0,22,21,1,0,-1625.0,1016.0,-2641.0,0.0,-1486.0,-369.0,0.0,0,21,0,0,1
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,1,22,9,13,0,-521.0,1016.0,-1537.0,0.0,-521.0,-109.0,0.0,0,9,0,7,0
CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,1,22,15,7,0,-595.0,1016.0,-1611.0,0.4897084048027444,-661.0,-169.0,571.0,1,14,0,5,0
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,1,22,9,13,0,-611.0,1016.0,-1627.0,0.0,-611.0,-109.0,0.0,0,9,0,7,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,1,22,10,12,0,-660.0,1016.0,-1676.0,0.0,-660.0,-109.0,0.0,0,10,0,6,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,1,22,10,12,0,-670.0,1016.0,-1686.0,0.0,-670.0,-109.0,0.0,0,10,0,6,0
CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,1,22,11,11,0,-739.0,1016.0,-1755.0,0.0,-739.0,-109.0,0.0,0,11,0,4,0
CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,1,22,11,11,0,-809.0,1016.0,-1825.0,0.0,-809.0,-119.0,0.0,0,11,0,4,0
CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,1,22,15,7,0,-1165.0,1016.0,-2181.0,0.0,-996.0,-169.0,0.0,0,15,0,5,0
OCO_LIMIT_0P5_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,1,22,20,2,0,-1315.5,1016.0,-2331.5,0.3135924863031568,-1236.5,-389.0,601.0,1,19,0,0,2
OCO_LIMIT_1P0_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,1,22,20,2,0,-1385.5,1016.0,-2401.5,0.30254215957714575,-1306.5,-389.0,601.0,1,19,0,0,2
OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,1,22,21,1,0,-1505.0,1016.0,-2521.0,0.28537511870845206,-1346.0,-389.0,601.0,1,20,0,0,1
OCO_LIMIT_0P5_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,1,22,20,2,0,-1635.5,1016.0,-2651.5,0.0,-1556.5,-389.0,0.0,0,20,0,0,2
OCO_LIMIT_1P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,1,22,20,2,0,-1665.5,1016.0,-2681.5,0.0,-1586.5,-389.0,0.0,0,20,0,0,2
OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,1,22,21,1,0,-1825.0,1016.0,-2841.0,0.0,-1666.0,-389.0,0.0,0,21,0,0,1
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,2,22,9,13,0,-691.0,1016.0,-1707.0,0.0,-691.0,-129.0,0.0,0,9,0,7,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,2,22,9,13,0,-701.0,1016.0,-1717.0,0.0,-701.0,-129.0,0.0,0,9,0,7,0
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,22,9,13,0,-701.0,1016.0,-1717.0,0.0,-701.0,-129.0,0.0,0,9,0,7,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,22,9,13,0,-751.0,1016.0,-1767.0,0.0,-751.0,-129.0,0.0,0,9,0,7,0
