route,sessions,net,average,worst,scenario
NY,1702,231714.0,136.1421856639248,-118.0,V3_6_72_CONTROL
WEEKDAY_PREMIUM,227,14304.0,63.013215859030836,-118.0,V3_6_72_CONTROL
WEEKDAY_WEAK,320,5690.0,17.78125,-59.0,V3_6_72_CONTROL
WEEKLY,334,42568.0,127.44910179640719,-118.0,V3_6_72_CONTROL
NY,1702,298582.0,175.43008225616921,-79.0,CONTROL_DERIVED_0T_ENTRY_SLIP
WEEKDAY_PREMIUM,227,23157.0,102.01321585903084,-79.0,CONTROL_DERIVED_0T_ENTRY_SLIP
WEEKDAY_WEAK,320,11925.0,37.265625,-39.5,CONTROL_DERIVED_0T_ENTRY_SLIP
WEEKLY,334,55614.0,166.50898203592814,-79.0,CONTROL_DERIVED_0T_ENTRY_SLIP
NY,1702,281562.0,165.43008225616921,-89.0,CONTROL_DERIVED_1T_ENTRY_SLIP
WEEKDAY_PREMIUM,227,20887.0,92.01321585903084,-89.0,CONTROL_DERIVED_1T_ENTRY_SLIP
WEEKDAY_WEAK,320,10325.0,32.265625,-44.5,CONTROL_DERIVED_1T_ENTRY_SLIP
WEEKLY,334,52274.0,156.50898203592814,-89.0,CONTROL_DERIVED_1T_ENTRY_SLIP
NY,1702,264542.0,155.43008225616921,-99.0,CONTROL_DERIVED_2T_ENTRY_SLIP
WEEKDAY_PREMIUM,227,18617.0,82.01321585903084,-99.0,CONTROL_DERIVED_2T_ENTRY_SLIP
WEEKDAY_WEAK,320,8725.0,27.265625,-49.5,CONTROL_DERIVED_2T_ENTRY_SLIP
WEEKLY,334,48934.0,146.50898203592814,-99.0,CONTROL_DERIVED_2T_ENTRY_SLIP
NY,1702,230502.0,135.43008225616921,-119.0,CONTROL_DERIVED_4T_ENTRY_SLIP
WEEKDAY_PREMIUM,227,14077.0,62.013215859030836,-119.0,CONTROL_DERIVED_4T_ENTRY_SLIP
WEEKDAY_WEAK,320,5525.0,17.265625,-59.5,CONTROL_DERIVED_4T_ENTRY_SLIP
WEEKLY,334,42254.0,126.50898203592814,-119.0,CONTROL_DERIVED_4T_ENTRY_SLIP
