year,net,scenario
2020,29873.0,V3_6_72_CONTROL
2021,24549.0,V3_6_72_CONTROL
2022,56857.0,V3_6_72_CONTROL
2023,24765.0,V3_6_72_CONTROL
2024,32090.0,V3_6_72_CONTROL
2025,56255.0,V3_6_72_CONTROL
2026,69887.0,V3_6_72_CONTROL
2020,45241.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2021,39154.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2022,70643.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2023,38317.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2024,46617.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2025,70602.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2026,78701.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2020,41426.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2021,35409.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2022,67108.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2023,34842.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2024,42892.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2025,66927.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2026,76441.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2020,37611.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2021,31664.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2022,63573.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2023,31367.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2024,39167.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025,63252.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2026,74181.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2020,29981.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2021,24174.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2022,56503.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2023,24417.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2024,31717.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025,55902.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2026,69661.0,CONTROL_DERIVED_4T_ENTRY_SLIP
