entry_time_et,route,symbol,volume_10m,trades_10m,selected
2025-08-03 18:00,WEEKLY,NQU5,3089.0,2105,True
2025-08-03 18:00,WEEKLY,NQZ5,3.0,3,False
2025-08-04 09:30,NY,NQU5,22080.0,15038,True
2025-08-04 09:30,NY,NQZ5,9.0,8,False
2025-08-04 09:30,NY,NQH6,1.0,1,False
2025-08-04 18:00,WEEKDAY_PREMIUM,NQU5,923.0,638,True
2025-08-05 09:30,NY,NQU5,20236.0,13812,True
2025-08-05 09:30,NY,NQZ5,1.0,1,False
2025-08-05 18:00,WEEKDAY_PREMIUM,NQU5,1196.0,883,True
2025-08-06 09:30,NY,NQU5,18449.0,13242,True
2025-08-06 09:30,NY,NQZ5,17.0,16,False
2025-08-07 09:30,NY,NQU5,18728.0,13232,True
2025-08-07 09:30,NY,NQZ5,4.0,4,False
2025-08-07 18:00,WEEKDAY_WEAK,NQU5,752.0,560,True
2025-08-08 09:30,NY,NQU5,14367.0,10209,True
2025-08-08 09:30,NY,NQZ5,7.0,7,False
2025-08-10 18:00,WEEKLY,NQU5,1737.0,1241,True
2025-08-10 18:00,WEEKLY,NQZ5,4.0,4,False
2025-08-11 09:30,NY,NQU5,17745.0,12685,True
2025-08-11 09:30,NY,NQZ5,5.0,5,False
2025-08-12 09:30,NY,NQU5,19985.0,13879,True
2025-08-12 09:30,NY,NQZ5,22.0,20,False
2025-08-12 18:00,WEEKDAY_WEAK,NQU5,547.0,419,True
2025-08-12 18:00,WEEKDAY_WEAK,NQZ5,3.0,3,False
2025-08-13 09:30,NY,NQU5,16068.0,11256,True
2025-08-13 09:30,NY,NQZ5,3.0,3,False
2025-08-14 09:30,NY,NQU5,19787.0,13740,True
2025-08-14 09:30,NY,NQZ5,25.0,18,False
2025-08-14 18:00,WEEKDAY_WEAK,NQU5,803.0,490,True
2025-08-15 09:30,NY,NQU5,22946.0,15530,True
2025-08-15 09:30,NY,NQZ5,7.0,7,False
2025-09-14 18:00,WEEKLY,NQU5,597.0,462,True
2025-09-14 18:00,WEEKLY,NQZ5,318.0,259,False
2025-09-15 09:30,NY,NQZ5,12870.0,9481,True
2025-09-15 09:30,NY,NQU5,9122.0,6588,False
2025-09-16 09:30,NY,NQZ5,15908.0,10707,True
2025-09-16 09:30,NY,NQU5,4469.0,3243,False
2025-09-16 09:30,NY,NQH6,4.0,4,False
2025-09-17 09:30,NY,NQZ5,14462.0,10172,True
2025-09-17 09:30,NY,NQU5,2243.0,1767,False
2025-09-17 09:30,NY,NQH6,5.0,4,False
2025-09-17 18:00,WEEKDAY_WEAK,NQZ5,587.0,383,True
2025-09-17 18:00,WEEKDAY_WEAK,NQU5,95.0,74,False
2025-09-17 18:00,WEEKDAY_WEAK,NQH6,1.0,1,False
2025-09-18 09:30,NY,NQZ5,21542.0,14357,True
2025-09-18 09:30,NY,NQU5,2947.0,2215,False
2025-09-18 09:30,NY,NQH6,1.0,1,False
2025-09-19 09:30,NY,NQZ5,29637.0,19843,True
2025-09-19 09:30,NY,NQU5,279.0,227,False
2025-09-19 09:30,NY,NQH6,11.0,11,False
