trade_number,entry_time_et,entry_time_utc,utc_date,route,quantity_per_worker,active_symbol,active_volume_10m,active_trades_10m,first_raw_trade,raw_minus_tv_offset,raw_buy_entry,raw_sell_entry,raw_buy_stop,raw_sell_stop,raw_buy_peak_gross_screen,raw_sell_peak_gross_screen,tv_buy_net,tv_sell_net,tv_buy_mfe,tv_sell_mfe,max_gap_seconds,valid_quotes,crossed_quotes,missing_quotes,source_status,parquet
2175,2025-08-03 18:00,2025-08-03T22:00:00+00:00,2025-08-03,WEEKLY,2,NQU5,3089.0,2105,22850.0,0.0,22850.25,22849.75,22849.25,22850.75,1880.0,1120.0,-59.0,-59.0,0.0,365.5,24.454251356,5918,1,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250803_1800_WEEKLY_NQU5.parquet
2176,2025-08-04 09:30,2025-08-04T13:30:00+00:00,2025-08-04,NY,2,NQU5,22080.0,15038,23094.0,0.0,23094.25,23093.75,23093.25,23094.75,6800.0,200.0,-59.0,-59.0,0.0,195.5,4.164947762,53489,0,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250804_0930_NY_NQU5.parquet
2177,2025-08-04 18:00,2025-08-04T22:00:00+00:00,2025-08-04,WEEKDAY_PREMIUM,2,NQU5,923.0,638,23354.0,0.0,23354.25,23353.75,23353.25,23354.75,230.0,1490.0,-59.0,-59.0,225.5,0.0,31.172591656,1975,1,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250804_1800_WEEKDAY_PREMIUM_NQU5.parquet
2178,2025-08-05 09:30,2025-08-05T13:30:00+00:00,2025-08-05,NY,2,NQU5,20236.0,13812,23348.25,0.0,23348.5,23348.0,23347.5,23349.0,1950.0,1780.0,-59.0,-59.0,355.5,0.0,4.999995757,47552,1,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250805_0930_NY_NQU5.parquet
2179,2025-08-05 18:00,2025-08-05T22:00:00+00:00,2025-08-05,WEEKDAY_PREMIUM,2,NQU5,1196.0,883,23091.75,0.0,23092.0,23091.5,23091.0,23092.5,830.0,1840.0,-59.0,391.0,0.0,395.5,16.745725218,4398,1,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250805_1800_WEEKDAY_PREMIUM_NQU5.parquet
2180,2025-08-06 09:30,2025-08-06T13:30:00+00:00,2025-08-06,NY,2,NQU5,18449.0,13242,23169.25,0.0,23169.5,23169.0,23168.5,23170.0,4010.0,820.0,-59.0,-59.0,0.0,625.5,5.228928794,57238,0,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250806_0930_NY_NQU5.parquet
2181,2025-08-07 09:30,2025-08-07T13:30:00+00:00,2025-08-07,NY,2,NQU5,18728.0,13232,23601.0,0.0,23601.25,23600.75,23600.25,23601.75,2790.0,1230.0,-59.0,631.0,0.0,635.5,6.339521748,53165,0,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250807_0930_NY_NQU5.parquet
2182,2025-08-07 18:00,2025-08-07T22:00:00+00:00,2025-08-07,WEEKDAY_WEAK,1,NQU5,752.0,560,23518.25,0.0,23518.5,23518.0,23517.5,23519.0,990.0,40.0,-29.5,-29.5,0.0,37.75,14.081672042,2775,1,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250807_1800_WEEKDAY_WEAK_NQU5.parquet
2183,2025-08-08 09:30,2025-08-08T13:30:00+00:00,2025-08-08,NY,2,NQU5,14367.0,10209,23541.75,0.0,23542.0,23541.5,23541.0,23542.5,4400.0,460.0,-59.0,-59.0,0.0,455.5,9.151708498,42385,0,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250808_0930_NY_NQU5.parquet
2184,2025-08-10 18:00,2025-08-10T22:00:00+00:00,2025-08-10,WEEKLY,2,NQU5,1737.0,1241,23764.0,0.0,23764.25,23763.75,23763.25,23764.75,260.0,1550.0,-59.0,-59.0,255.5,0.0,17.74913923,3477,1,0,VALIDATED_SOURCE,C:\FLIP_FLOP_HQ\02_VALIDATED\market_data\GIVEBACK_BLOCKS_2025\20250810_1800_WEEKLY_NQU5.parquet
