challenger,Q,PRIMARY_PASS,DIAGNOSTIC_PASS_EX_ROLL100,base_net_positive,base_PF_ge_2,dev_positive,late_positive,stress35_net_positive,stress35_PF_ge_1_30,stress35_worst100_positive,worker_margin_snapshot_fit,base_net,base_PF,base_DD,stress35_net,stress35_PF,stress35_DD,stress35_worst100
CURRENT_STRONG_Q_WEAK1,1,False,True,True,True,True,True,True,True,False,True,150555.0,2.78770319531686,1229.0,150555.0,2.78770319531686,1229.0,-685.0
CURRENT_STRONG_Q_WEAK1,2,False,True,True,True,True,True,True,True,False,True,295420.0,2.8839239594161126,2348.0,263710.0,2.5151828550087623,2948.0,-1972.0
CURRENT_STRONG_Q_WEAK1,3,False,True,True,True,True,True,True,True,False,True,440285.0,2.9192476188400427,3467.0,345155.0,2.227842067255529,5537.0,-4435.0
CURRENT_STRONG_Q_WEAK1,4,False,True,True,True,True,True,True,True,False,True,585150.0,2.937589197315223,4586.0,394890.0,1.9740677794688248,9952.0,-8074.0
CURRENT_STRONG_Q_WEAK1,5,False,True,True,True,True,True,True,True,False,True,730015.0,2.9488217879138157,5705.0,412915.0,1.7549645020505253,17619.0,-12889.0
CURRENT_STRONG_Q_WEAK1,6,False,True,True,True,True,True,True,True,False,True,874880.0,2.9564074984290687,6824.0,399230.0,1.5657243831276029,27446.0,-18880.0
CURRENT_STRONG_Q_WEAK1,7,False,False,True,True,True,True,True,True,False,False,1019745.0,2.961874327841918,7943.0,353835.0,1.401312245164144,42185.0,-26047.0
CURRENT_STRONG_Q_WEAK1,8,False,False,True,True,True,True,True,False,False,False,1164610.0,2.9660012660898922,9062.0,276730.0,1.2574407378361507,73457.0,-34390.0
CURRENT_STRONG_Q_WEAK1,9,False,False,True,True,True,True,True,False,False,False,1309475.0,2.9692271369041263,10181.0,167915.0,1.1306331993405907,131145.0,-43909.0
CURRENT_STRONG_Q_WEAK1,10,False,False,True,True,True,True,True,False,False,False,1454340.0,2.9718180006318105,11300.0,27390.0,1.0181019937307225,263855.0,-54604.0
CORE_TIER,1,False,True,True,True,True,True,True,True,False,True,144865.0,2.9955505964680276,1119.0,144865.0,2.9955505964680276,1119.0,-215.0
CORE_TIER,2,False,True,True,True,True,True,True,True,False,True,282578.0,3.048691012172753,2224.0,254046.0,2.655637598326414,2697.0,-1470.0
CORE_TIER,3,False,True,True,True,True,True,True,True,False,True,420291.0,3.067669283901057,3344.0,334695.0,2.339830427054811,4801.0,-3985.0
CORE_TIER,4,False,True,True,True,True,True,True,True,False,True,558004.0,3.077414791236202,4464.0,386812.0,2.0694957102608127,7760.0,-7760.0
CORE_TIER,5,False,True,True,True,True,True,True,True,False,True,695717.0,3.083346808727264,5584.0,410397.0,1.8391512732536979,14139.0,-12795.0
CORE_TIER,6,False,True,True,True,True,True,True,True,False,True,833430.0,3.087337425709842,6704.0,405450.0,1.6415764313824157,22650.0,-19090.0
CORE_TIER,7,False,False,True,True,True,True,True,True,False,False,971143.0,3.0902056752242713,7824.0,371971.0,1.4706301368476458,33216.0,-26645.0
CORE_TIER,8,False,False,True,True,True,True,True,True,False,False,1108856.0,3.092366681573649,8944.0,309960.0,1.321438904726695,57044.0,-35460.0
CORE_TIER,9,False,False,True,True,True,True,True,False,False,False,1246569.0,3.0940533185506225,10064.0,219417.0,1.19018186356852,97175.0,-45535.0
CORE_TIER,10,False,False,True,True,True,True,True,False,False,False,1384282.0,3.0954063336799735,11184.0,100342.0,1.0738532694177454,184406.0,-56870.0
SIGNAL_SCALE,1,False,True,True,True,True,True,True,True,False,True,150555.0,2.78770319531686,1229.0,150555.0,2.78770319531686,1229.0,-685.0
SIGNAL_SCALE,2,False,True,True,True,True,True,True,True,False,True,228147.5,2.8936859841630835,2438.5,212292.5,2.6445564266236987,2725.5,-589.0
SIGNAL_SCALE,3,False,True,True,True,True,True,True,True,False,True,305740.0,2.950332667785128,3648.0,258175.0,2.4139370074427826,4509.0,-2880.0
SIGNAL_SCALE,4,False,True,True,True,True,True,True,True,False,True,383332.5,2.985684907380548,4857.5,288202.5,2.1760751179839586,6579.5,-5843.0
SIGNAL_SCALE,5,False,True,True,True,True,True,True,True,False,True,460925.0,3.0098503050149783,6067.0,302375.0,1.9381030385386224,10181.0,-9478.0
SIGNAL_SCALE,6,False,True,True,True,True,True,True,True,False,True,538517.5,3.013680240960702,7276.5,300692.5,1.719323049173308,15036.5,-13785.0
SIGNAL_SCALE,7,False,False,True,True,True,True,True,True,False,False,616110.0,3.005129089684216,8486.0,283155.0,1.5252452739889926,22334.0,-18764.0
SIGNAL_SCALE,8,False,False,True,True,True,True,True,True,False,False,693702.5,2.995390512077434,9695.5,249762.5,1.3698174474026714,35960.0,-24415.0
SIGNAL_SCALE,9,False,False,True,True,True,True,True,False,False,False,771295.0,2.9705148971176594,10920.0,200515.0,1.2434040022092876,53191.0,-30738.0
SIGNAL_SCALE,10,False,False,True,True,True,True,True,False,False,False,848887.5,2.932744553616863,12159.0,135412.5,1.1375619047619048,83808.5,-37733.0
SIGNAL_CORE_BONUS,1,False,True,True,True,True,True,True,True,False,True,144865.0,2.9955505964680276,1119.0,144865.0,2.9955505964680276,1119.0,-215.0
SIGNAL_CORE_BONUS,2,False,True,True,True,True,True,True,True,False,True,222457.5,3.0436130632492766,2328.5,206602.5,2.758843059634785,2615.5,-320.0
SIGNAL_CORE_BONUS,3,False,True,True,True,True,True,True,True,False,True,300050.0,3.0673143172109687,3538.0,252485.0,2.4767795519681814,4399.0,-2370.0
SIGNAL_CORE_BONUS,4,False,True,True,True,True,True,True,True,False,True,377642.5,3.081535069587984,4747.5,282512.5,2.210258684025078,6469.5,-5445.0
SIGNAL_CORE_BONUS,5,False,True,True,True,True,True,True,True,False,True,455235.0,3.091015571172661,5957.0,296685.0,1.9548829589672452,9945.0,-9220.0
SIGNAL_CORE_BONUS,6,False,True,True,True,True,True,True,True,False,True,532827.5,3.082931825422732,7166.5,295002.5,1.7258946575836278,14741.5,-13695.0
SIGNAL_CORE_BONUS,7,False,False,True,True,True,True,True,True,False,False,610420.0,3.064712965593755,8376.0,277465.0,1.526031910940569,21725.0,-18870.0
SIGNAL_CORE_BONUS,8,False,False,True,True,True,True,True,True,False,False,688012.5,3.0474764864394346,9585.5,244072.5,1.3677208381544692,35729.0,-24745.0
SIGNAL_CORE_BONUS,9,False,False,True,True,True,True,True,False,False,False,765605.0,3.0158374912781896,10810.0,194825.0,1.239881453682225,52752.0,-31320.0
SIGNAL_CORE_BONUS,10,False,False,True,True,True,True,True,False,False,False,843197.5,2.971974353967172,12049.0,129722.5,1.1333561894501374,83237.5,-38595.0
