challenger,Q,buy_margin_est,sell_margin_est,gross_no_offset_est,worker_fit
CURRENT_STRONG_Q_WEAK1,1,38966.0,38966.0,77932.0,True
CURRENT_STRONG_Q_WEAK1,2,77932.0,77932.0,155864.0,True
CURRENT_STRONG_Q_WEAK1,3,116898.0,116898.0,233796.0,True
CURRENT_STRONG_Q_WEAK1,4,155864.0,155864.0,311728.0,True
CURRENT_STRONG_Q_WEAK1,5,194830.0,194830.0,389660.0,True
CURRENT_STRONG_Q_WEAK1,6,233796.0,233796.0,467592.0,True
CURRENT_STRONG_Q_WEAK1,7,272762.0,272762.0,545524.0,False
CURRENT_STRONG_Q_WEAK1,8,311728.0,311728.0,623456.0,False
CURRENT_STRONG_Q_WEAK1,9,350694.0,350694.0,701388.0,False
CURRENT_STRONG_Q_WEAK1,10,389660.0,389660.0,779320.0,False
CORE_TIER,1,38966.0,38966.0,77932.0,True
CORE_TIER,2,77932.0,77932.0,155864.0,True
CORE_TIER,3,116898.0,116898.0,233796.0,True
CORE_TIER,4,155864.0,155864.0,311728.0,True
CORE_TIER,5,194830.0,194830.0,389660.0,True
CORE_TIER,6,233796.0,233796.0,467592.0,True
CORE_TIER,7,272762.0,272762.0,545524.0,False
CORE_TIER,8,311728.0,311728.0,623456.0,False
CORE_TIER,9,350694.0,350694.0,701388.0,False
CORE_TIER,10,389660.0,389660.0,779320.0,False
SIGNAL_SCALE,1,38966.0,38966.0,77932.0,True
SIGNAL_SCALE,2,77932.0,77932.0,116898.0,True
SIGNAL_SCALE,3,116898.0,116898.0,155864.0,True
SIGNAL_SCALE,4,155864.0,155864.0,194830.0,True
SIGNAL_SCALE,5,194830.0,194830.0,233796.0,True
SIGNAL_SCALE,6,233796.0,233796.0,272762.0,True
SIGNAL_SCALE,7,272762.0,272762.0,311728.0,False
SIGNAL_SCALE,8,311728.0,311728.0,350694.0,False
SIGNAL_SCALE,9,350694.0,350694.0,389660.0,False
SIGNAL_SCALE,10,389660.0,389660.0,428626.0,False
SIGNAL_CORE_BONUS,1,38966.0,38966.0,77932.0,True
SIGNAL_CORE_BONUS,2,77932.0,77932.0,116898.0,True
SIGNAL_CORE_BONUS,3,116898.0,116898.0,155864.0,True
SIGNAL_CORE_BONUS,4,155864.0,155864.0,194830.0,True
SIGNAL_CORE_BONUS,5,194830.0,194830.0,233796.0,True
SIGNAL_CORE_BONUS,6,233796.0,233796.0,272762.0,True
SIGNAL_CORE_BONUS,7,272762.0,272762.0,311728.0,False
SIGNAL_CORE_BONUS,8,311728.0,311728.0,350694.0,False
SIGNAL_CORE_BONUS,9,350694.0,350694.0,389660.0,False
SIGNAL_CORE_BONUS,10,389660.0,389660.0,428626.0,False
