challenger,alpha,net,PF,DD
CURRENT_STRONG_Q_WEAK1,0.0,874880.0,2.9564074984290687,6824.0
CURRENT_STRONG_Q_WEAK1,0.1,738980.0,2.418259773110679,9416.0
CURRENT_STRONG_Q_WEAK1,0.25,535130.0,1.8469431198236255,18322.0
CURRENT_STRONG_Q_WEAK1,0.35,399230.0,1.5657243831276029,27446.0
CURRENT_STRONG_Q_WEAK1,0.5,195380.0,1.239293460887926,58367.0
CURRENT_STRONG_Q_WEAK1,0.75,-144370.0,0.8557939622649048,279603.0
CURRENT_STRONG_Q_WEAK1,1.0,-484120.0,0.5917310613120231,574598.0
CORE_TIER,0.0,833430.0,3.087337425709842,6704.0
CORE_TIER,0.1,711150.0,2.526862604909406,8671.0
CORE_TIER,0.25,527730.0,1.933244205355106,14478.0
CORE_TIER,0.35,405450.0,1.6415764313824157,22650.0
CORE_TIER,0.5,222030.0,1.3034527436211782,45554.0
CORE_TIER,0.75,-83670.0,0.9068137243437033,218758.0
CORE_TIER,1.0,-389370.0,0.6340779209062485,482020.0
SIGNAL_SCALE,0.0,538517.5,3.013680240960702,7276.5
SIGNAL_SCALE,0.1,470567.5,2.5280571778348215,8506.5
SIGNAL_SCALE,0.25,368642.5,1.9966368061554016,11763.5
SIGNAL_SCALE,0.35,300692.5,1.719323049173308,15036.5
SIGNAL_SCALE,0.5,198767.5,1.403108376412276,26070.0
SIGNAL_SCALE,0.75,28892.5,1.046355049920823,89838.5
SIGNAL_SCALE,1.0,-140982.5,0.8128932549599396,220189.5
SIGNAL_CORE_BONUS,0.0,532827.5,3.082931825422732,7166.5
SIGNAL_CORE_BONUS,0.1,464877.5,2.5687910545222614,8396.5
SIGNAL_CORE_BONUS,0.25,362952.5,2.0130881320592247,11527.5
SIGNAL_CORE_BONUS,0.35,295002.5,1.7258946575836278,14741.5
SIGNAL_CORE_BONUS,0.5,193077.5,1.4010216755562201,25839.0
SIGNAL_CORE_BONUS,0.75,23202.5,1.037933407884067,89678.5
SIGNAL_CORE_BONUS,1.0,-146672.5,0.8022919295180788,223075.5
