challenger,Q,alpha,extra_ticks_on_Q_side,net,PF,closed_DD,dev_net,dev_PF,late_net,late_PF,worst_100_active_sessions,max_buy_qty,max_sell_qty,max_gross
CURRENT_STRONG_Q_WEAK1,1,0.0,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
CURRENT_STRONG_Q_WEAK1,1,0.1,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
CURRENT_STRONG_Q_WEAK1,1,0.25,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
CURRENT_STRONG_Q_WEAK1,1,0.35,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
CURRENT_STRONG_Q_WEAK1,1,0.5,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
CURRENT_STRONG_Q_WEAK1,1,0.75,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
CURRENT_STRONG_Q_WEAK1,1,1.0,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
CURRENT_STRONG_Q_WEAK1,2,0.0,0.0,295420.0,2.8839239594161126,2348.0,136044.0,2.375126349411717,159376.0,3.7536066621745365,-796.0,2,2,4
CURRENT_STRONG_Q_WEAK1,2,0.1,0.1,286360.0,2.770550592017807,2512.0,130588.0,2.2797726381811056,155772.0,3.6094647792947483,-1132.0,2,2,4
CURRENT_STRONG_Q_WEAK1,2,0.25,0.25,272770.0,2.6128688926863015,2772.0,122404.0,2.1471575040767745,150366.0,3.408978035534052,-1636.0,2,2,4
CURRENT_STRONG_Q_WEAK1,2,0.35,0.35,263710.0,2.5151828550087623,2948.0,116948.0,2.065003187323559,146762.0,3.284766871643185,-1972.0,2,2,4
CURRENT_STRONG_Q_WEAK1,2,0.5,0.5,250120.0,2.378595719584856,3212.0,108764.0,1.9501362778670768,141356.0,3.1110829014770234,-2476.0,2,2,4
CURRENT_STRONG_Q_WEAK1,2,0.75,0.75,227470.0,2.1740932482024973,4122.0,95124.0,1.7781613520721193,132346.0,2.851018895369166,-3316.0,2,2,4
CURRENT_STRONG_Q_WEAK1,2,1.0,1.0,204820.0,1.994025750906329,5122.0,81484.0,1.6267421468787497,123336.0,2.6220097581504227,-4156.0,2,2,4
CURRENT_STRONG_Q_WEAK1,3,0.0,0.0,440285.0,2.9192476188400427,3467.0,203818.0,2.4081663672792595,236467.0,3.792972302604382,-907.0,3,3,6
CURRENT_STRONG_Q_WEAK1,3,0.1,0.2,413105.0,2.6918260114589008,3971.0,187450.0,2.2167021497559456,225655.0,3.5041336988003953,-1915.0,3,3,6
CURRENT_STRONG_Q_WEAK1,3,0.25,0.5,372335.0,2.3979950062890723,4763.0,162898.0,1.9693424576019043,209437.0,3.130915195604619,-3427.0,3,3,6
CURRENT_STRONG_Q_WEAK1,3,0.35,0.7,345155.0,2.227842067255529,5537.0,146530.0,1.8261075467655914,198625.0,2.914771577029489,-4435.0,3,3,6
CURRENT_STRONG_Q_WEAK1,3,0.5,1.0,304385.0,2.003693139663331,7337.0,121978.0,1.637426839464883,182407.0,2.6300165318797193,-5947.0,3,3,6
CURRENT_STRONG_Q_WEAK1,3,0.75,1.5,236435.0,1.694998456767442,11653.0,81058.0,1.3775935156286394,155377.0,2.2378171678948418,-8467.0,3,3,6
CURRENT_STRONG_Q_WEAK1,3,1.0,2.0,168485.0,1.4467616837918462,16635.0,40138.0,1.1686612320363057,128347.0,1.9223974990118222,-10987.0,3,3,6
CURRENT_STRONG_Q_WEAK1,4,0.0,0.0,585150.0,2.937589197315223,4586.0,271592.0,2.425320654113399,313558.0,3.8134157611865303,-1018.0,4,4,8
CURRENT_STRONG_Q_WEAK1,4,0.1,0.30000000000000004,530790.0,2.600968803443294,5610.0,238856.0,2.141780913592994,291934.0,3.386114902694794,-3034.0,4,4,8
CURRENT_STRONG_Q_WEAK1,4,0.25,0.75,449250.0,2.1952620530571303,7552.0,189752.0,1.8000742089995279,259498.0,2.871051474140355,-6058.0,4,4,8
CURRENT_STRONG_Q_WEAK1,4,0.35,1.0499999999999998,394890.0,1.9740677794688248,9952.0,157016.0,1.613784907902555,237874.0,2.590205031185865,-8074.0,4,4,8
CURRENT_STRONG_Q_WEAK1,4,0.5,1.5,313350.0,1.6967684265063294,15396.0,107912.0,1.3802556838203166,205438.0,2.2380929422470786,-11098.0,4,4,8
CURRENT_STRONG_Q_WEAK1,4,0.75,2.25,177450.0,1.3389173362568016,27560.0,26072.0,1.0789085010048183,151378.0,1.783647648974225,-16138.0,4,4,8
CURRENT_STRONG_Q_WEAK1,4,1.0,3.0,41550.0,1.0695468491343887,85037.0,-55768.0,0.852085256267439,97318.0,1.4415296877197599,-21178.0,4,4,8
CURRENT_STRONG_Q_WEAK1,5,0.0,0.0,730015.0,2.9488217879138157,5705.0,339366.0,2.435825618981536,390649.0,3.825936616101333,-1129.0,5,5,10
CURRENT_STRONG_Q_WEAK1,5,0.1,0.4,639415.0,2.5086484535182487,7425.0,284806.0,2.0649501189069532,354609.0,3.267364463512727,-4489.0,5,5,10
CURRENT_STRONG_Q_WEAK1,5,0.25,1.0,503515.0,2.0116979744541315,11767.0,202966.0,1.6462732761036247,300549.0,2.6366472987469844,-9529.0,5,5,10
CURRENT_STRONG_Q_WEAK1,5,0.35,1.4,412915.0,1.7549645020505253,17619.0,148406.0,1.4299928144267766,264509.0,2.3107677517505216,-12889.0,5,5,10
CURRENT_STRONG_Q_WEAK1,5,0.5,2.0,277015.0,1.4462276475411289,27485.0,66566.0,1.1699169891463053,210449.0,1.918842807057375,-17929.0,5,5,10
CURRENT_STRONG_Q_WEAK1,5,0.75,3.0,50515.0,1.0679062714664609,106405.0,-69834.0,0.8512448450973041,120349.0,1.4385305188440334,-26329.0,5,5,10
CURRENT_STRONG_Q_WEAK1,5,1.0,4.0,-175985.0,0.7970168155913601,278129.0,-206234.0,0.6230800722280301,30249.0,1.094576299802712,-34729.0,5,5,10
CURRENT_STRONG_Q_WEAK1,6,0.0,0.0,874880.0,2.9564074984290687,6824.0,407140.0,2.442919720446265,467740.0,3.83439278161226,-1240.0,6,6,12
CURRENT_STRONG_Q_WEAK1,6,0.1,0.5,738980.0,2.418259773110679,9416.0,325300.0,1.9894033772932989,413680.0,3.151636040215746,-6280.0,6,6,12
CURRENT_STRONG_Q_WEAK1,6,0.25,1.25,535130.0,1.8469431198236255,18322.0,202540.0,1.5079831658782987,332590.0,2.4266717569694967,-13840.0,6,6,12
CURRENT_STRONG_Q_WEAK1,6,0.35,1.75,399230.0,1.5657243831276029,27446.0,120700.0,1.2710325283944186,278530.0,2.0697756593678824,-18880.0,6,6,12
CURRENT_STRONG_Q_WEAK1,6,0.5,2.5,195380.0,1.239293460887926,58367.0,-2060.0,0.9960020494348528,197440.0,1.6554612363597734,-26440.0,6,6,12
CURRENT_STRONG_Q_WEAK1,6,0.75,3.75,-144370.0,0.8557939622649048,279603.0,-206660.0,0.6729100653040293,62290.0,1.168659953482453,-39040.0,6,6,12
CURRENT_STRONG_Q_WEAK1,6,1.0,5.0,-484120.0,0.5917310613120231,574598.0,-411260.0,0.45045459161584467,-72860.0,0.8334335414461517,-52015.0,6,6,12
CURRENT_STRONG_Q_WEAK1,7,0.0,0.0,1019745.0,2.961874327841918,7943.0,474914.0,2.4480321490858974,544831.0,3.8404871512807013,-1351.0,7,7,14
CURRENT_STRONG_Q_WEAK1,7,0.1,0.6000000000000001,829485.0,2.331041344063159,11583.0,360338.0,1.9163309937951378,469147.0,3.0402574528691644,-8407.0,7,7,14
CURRENT_STRONG_Q_WEAK1,7,0.25,1.5,544095.0,1.6990894151416374,26625.0,188474.0,1.3837464521462224,355621.0,2.23845460022497,-18991.0,7,7,14
CURRENT_STRONG_Q_WEAK1,7,0.35,2.0999999999999996,353835.0,1.401312245164144,42185.0,73898.0,1.1328121349364677,279937.0,1.860589944202776,-26047.0,7,7,14
CURRENT_STRONG_Q_WEAK1,7,0.5,3.0,68445.0,1.0660155613275837,149141.0,-97966.0,0.8502763207766325,166411.0,1.4350739498390803,-36631.0,7,7,14
CURRENT_STRONG_Q_WEAK1,7,0.75,4.5,-407205.0,0.6856314815515347,530325.0,-384406.0,0.5297682395453356,-22799.0,0.952286278145529,-54440.0,7,7,14
CURRENT_STRONG_Q_WEAK1,7,1.0,6.0,-882855.0,0.4318167922817364,952273.0,-670846.0,0.31591838899018204,-212009.0,0.6301108399093461,-73340.0,7,7,14
CURRENT_STRONG_Q_WEAK1,8,0.0,0.0,1164610.0,2.9660012660898922,9062.0,542688.0,2.4518914869709456,621922.0,3.845087948031748,-1462.0,8,8,16
CURRENT_STRONG_Q_WEAK1,8,0.1,0.7000000000000001,910930.0,2.2474272403720934,13926.0,389920.0,1.8461732103019939,521010.0,2.9336557268142056,-10870.0,8,8,16
CURRENT_STRONG_Q_WEAK1,8,0.25,1.75,530410.0,1.5660393466765559,36456.0,160768.0,1.2718706666215713,369642.0,2.0692101875822573,-24982.0,8,8,16
CURRENT_STRONG_Q_WEAK1,8,0.35,2.4499999999999997,276730.0,1.2574407378361507,73457.0,8000.0,1.011793078642145,268730.0,1.6776476877570525,-34390.0,8,8,16
CURRENT_STRONG_Q_WEAK1,8,0.5,3.5,-103790.0,0.9190238231771778,305469.0,-221152.0,0.7266015576709112,117362.0,1.248209206171286,-48502.0,8,8,16
CURRENT_STRONG_Q_WEAK1,8,0.75,5.25,-737990.0,0.5462474214760685,847548.0,-603072.0,0.4124739395592619,-134918.0,0.7751198006517156,-73065.0,8,8,16
CURRENT_STRONG_Q_WEAK1,8,1.0,7.0,-1372190.0,0.3111188200677641,1416154.0,-984992.0,0.22015422861938466,-387198.0,0.46875561671727145,-98265.0,8,8,16
CURRENT_STRONG_Q_WEAK1,9,0.0,0.0,1309475.0,2.9692271369041263,10181.0,610462.0,2.4549081479927928,699013.0,3.8486842909597727,-1573.0,9,9,18
CURRENT_STRONG_Q_WEAK1,9,0.1,0.8,983315.0,2.16750946590789,17027.0,414046.0,1.779049289149463,569269.0,2.8318782843186154,-13669.0,9,9,18
CURRENT_STRONG_Q_WEAK1,9,0.25,2.0,494075.0,1.4458641548050815,49185.0,119422.0,1.1707716771436907,374653.0,1.9164230800276894,-31813.0,9,9,18
CURRENT_STRONG_Q_WEAK1,9,0.35,2.8,167915.0,1.1306331993405907,131145.0,-76994.0,0.9050858238945951,244909.0,1.5164710025580086,-43909.0,9,9,18
CURRENT_STRONG_Q_WEAK1,9,0.5,4.0,-321325.0,0.7928658038573083,502941.0,-371618.0,0.6204214792631059,50293.0,1.0878847239284173,-62053.0,9,9,18
CURRENT_STRONG_Q_WEAK1,9,0.75,6.0,-1136725.0,0.4300556193715658,1225223.0,-862658.0,0.31466981476832534,-274067.0,0.6274750204226989,-94390.0,9,9,18
CURRENT_STRONG_Q_WEAK1,9,1.0,8.0,-1952125.0,0.21979226700580082,1973514.0,-1353698.0,0.1488788346721258,-598427.0,0.34352051954320567,-127104.0,9,9,18
CURRENT_STRONG_Q_WEAK1,10,0.0,0.0,1454340.0,2.9718180006318105,11300.0,678236.0,2.4573309611599585,776104.0,3.851572747614516,-1684.0,10,10,20
CURRENT_STRONG_Q_WEAK1,10,0.1,0.9,1046640.0,2.0912241448876756,20842.0,432716.0,1.7149305417872769,613924.0,2.734802352163261,-16804.0,10,10,20
CURRENT_STRONG_Q_WEAK1,10,0.25,2.25,435090.0,1.3368839492904834,68453.0,64436.0,1.0790581145113283,370654.0,1.7779216608915203,-39484.0,10,10,20
CURRENT_STRONG_Q_WEAK1,10,0.35,3.15,27390.0,1.0181019937307225,263855.0,-181084.0,0.8103645803880173,208474.0,1.3734841549516559,-54604.0,10,10,20
CURRENT_STRONG_Q_WEAK1,10,0.5,4.5,-584160.0,0.6834615486736932,758844.0,-549364.0,0.5283198362491156,-34796.0,0.9488870641497017,-77915.0,10,10,20
CURRENT_STRONG_Q_WEAK1,10,0.75,6.75,-1603410.0,0.33629379061470466,1667583.0,-1163164.0,0.23958615261308824,-440246.0,0.5032188102645349,-118415.0,10,10,20
CURRENT_STRONG_Q_WEAK1,10,1.0,9.0,-2622660.0,0.14950677645277918,2639553.0,-1776964.0,0.09143693923088093,-845696.0,0.25020103786072667,-160607.0,10,10,20
CORE_TIER,1,0.0,0.0,144865.0,2.9955505964680276,1119.0,67774.0,2.479523227383863,77091.0,3.8780333009781227,-215.0,1,1,2
CORE_TIER,1,0.1,0.0,144865.0,2.9955505964680276,1119.0,67774.0,2.479523227383863,77091.0,3.8780333009781227,-215.0,1,1,2
CORE_TIER,1,0.25,0.0,144865.0,2.9955505964680276,1119.0,67774.0,2.479523227383863,77091.0,3.8780333009781227,-215.0,1,1,2
CORE_TIER,1,0.35,0.0,144865.0,2.9955505964680276,1119.0,67774.0,2.479523227383863,77091.0,3.8780333009781227,-215.0,1,1,2
CORE_TIER,1,0.5,0.0,144865.0,2.9955505964680276,1119.0,67774.0,2.479523227383863,77091.0,3.8780333009781227,-215.0,1,1,2
CORE_TIER,1,0.75,0.0,144865.0,2.9955505964680276,1119.0,67774.0,2.479523227383863,77091.0,3.8780333009781227,-215.0,1,1,2
CORE_TIER,1,1.0,0.0,144865.0,2.9955505964680276,1119.0,67774.0,2.479523227383863,77091.0,3.8780333009781227,-215.0,1,1,2
CORE_TIER,2,0.0,0.0,282578.0,3.048691012172753,2224.0,133346.0,2.5324660399475944,149232.0,3.9308875228312745,-210.0,2,2,4
CORE_TIER,2,0.1,0.1,274426.0,2.927649740452224,2344.0,128418.0,2.4298853134394833,146008.0,3.7783000019028408,-570.0,2,2,4
CORE_TIER,2,0.25,0.25,262198.0,2.759588218319453,2549.0,121026.0,2.287455852942428,141172.0,3.566436998927409,-1110.0,2,2,4
CORE_TIER,2,0.35,0.35,254046.0,2.655637598326414,2697.0,116098.0,2.1993595041322314,137948.0,3.435393605564677,-1470.0,2,2,4
CORE_TIER,2,0.5,0.5,241818.0,2.5105034011905727,2919.0,108706.0,2.076360971938927,133112.0,3.252432441579099,-2010.0,2,2,4
CORE_TIER,2,0.75,0.75,221438.0,2.2936653989285567,3289.0,96386.0,1.8925951992887835,125052.0,2.9790779748999,-2910.0,2,2,4
CORE_TIER,2,1.0,1.0,201058.0,2.103192849421951,3810.0,84066.0,1.731174004557552,116992.0,2.738959822822064,-3810.0,2,2,4
CORE_TIER,3,0.0,0.0,420291.0,3.067669283901057,3344.0,198918.0,2.551380439868975,221373.0,3.9497521586184843,-205.0,3,3,6
CORE_TIER,3,0.1,0.2,395835.0,2.8277968637446667,3716.0,184134.0,2.347900562192551,211701.0,3.6477187453099202,-1285.0,3,3,6
CORE_TIER,3,0.25,0.5,359151.0,2.518557511796641,4357.0,161958.0,2.085582143575307,197193.0,3.258331615474473,-2905.0,3,3,6
CORE_TIER,3,0.35,0.7,334695.0,2.339830427054811,4801.0,147174.0,1.9339755549632562,187521.0,3.033276950100839,-3985.0,3,3,6
CORE_TIER,3,0.5,1.0,298011.0,2.104775568308199,5605.0,124998.0,1.7345909732016924,173013.0,2.737287625015062,-5605.0,3,3,6
CORE_TIER,3,0.75,1.5,236871.0,1.7817834369678007,9381.0,88038.0,1.4606184272484697,148833.0,2.3305530225822024,-8305.0,3,3,6
CORE_TIER,3,1.0,2.0,175731.0,1.5226542703165709,13512.0,51078.0,1.2408203677510607,124653.0,2.0042295050270686,-11005.0,3,3,6
CORE_TIER,4,0.0,0.0,558004.0,3.077414791236202,4464.0,264490.0,2.5610945191411,293514.0,3.959436977585981,-200.0,4,4,8
CORE_TIER,4,0.1,0.30000000000000004,509092.0,2.7245839219233257,5224.0,234922.0,2.2616513249052104,274170.0,3.5154364879122895,-2360.0,4,4,8
CORE_TIER,4,0.25,0.75,435724.0,2.300338720026262,6535.0,190570.0,1.9016114228400027,245154.0,2.9815388097220312,-5600.0,4,4,8
CORE_TIER,4,0.35,1.0499999999999998,386812.0,2.0694957102608127,7760.0,161002.0,1.705709601914597,225810.0,2.691017336278878,-7760.0,4,4,8
CORE_TIER,4,0.5,1.5,313444.0,1.78055607435907,12440.0,116650.0,1.4605102129440282,196794.0,2.327366298167396,-11000.0,4,4,8
CORE_TIER,4,0.75,2.25,191164.0,1.408430813276501,21287.0,42730.0,1.144726770218733,148434.0,1.8589980266089503,-16400.0,4,4,8
CORE_TIER,4,1.0,3.0,68884.0,1.1288695570833918,53774.0,-31190.0,0.907499125111956,100074.0,1.5071171942697592,-21800.0,4,4,8
CORE_TIER,5,0.0,0.0,695717.0,3.083346808727264,5584.0,330062.0,2.5670078620532495,365655.0,3.9653312788906008,-195.0,5,5,10
CORE_TIER,5,0.1,0.4,614197.0,2.623734342862883,6864.0,280782.0,2.176829063841202,333415.0,3.387162597551371,-3795.0,5,5,10
CORE_TIER,5,0.25,1.0,491917.0,2.1060727343043832,9195.0,206862.0,1.7373918126987296,285055.0,2.7359174228122525,-9195.0,5,5,10
CORE_TIER,5,0.35,1.4,410397.0,1.8391512732536979,14139.0,157582.0,1.5108138946877065,252815.0,2.4000941463144487,-12795.0,5,5,10
CORE_TIER,5,0.5,2.0,288117.0,1.5186232544074076,22384.0,83662.0,1.238739612820747,204455.0,1.996806591585003,-18195.0,5,5,10
CORE_TIER,5,0.75,3.0,84317.0,1.126537123579183,67956.0,-39538.0,0.905936259908834,123855.0,1.5034551440998334,-27195.0,5,5,10
CORE_TIER,5,1.0,4.0,-119483.0,0.8462533230735181,219903.0,-162738.0,0.6680388061162879,43255.0,1.1507615628594332,-36195.0,5,5,10
CORE_TIER,6,0.0,0.0,833430.0,3.087337425709842,6704.0,395634.0,2.5709861101184095,437796.0,3.9692961930534927,-190.0,6,6,12
CORE_TIER,6,0.1,0.5,711150.0,2.526862604909406,8671.0,321714.0,2.0950922124869797,389436.0,3.2644129293352173,-5590.0,6,6,12
CORE_TIER,6,0.25,1.25,527730.0,1.933244205355106,14478.0,210834.0,1.59108800968914,316896.0,2.5177665703981496,-13690.0,6,6,12
CORE_TIER,6,0.35,1.75,405450.0,1.6415764313824157,22650.0,136914.0,1.3434630783587707,268536.0,2.1508800802293737,-19090.0,6,6,12
CORE_TIER,6,0.5,2.5,222030.0,1.3034527436211782,45554.0,26034.0,1.0564070564070565,195996.0,1.7255322220618121,-27190.0,6,6,12
CORE_TIER,6,0.75,3.75,-83670.0,0.9068137243437033,218758.0,-158766.0,0.7196868577724105,75096.0,1.2265400870611871,-40690.0,6,6,12
CORE_TIER,6,1.0,5.0,-389370.0,0.6340779209062485,482020.0,-343566.0,0.48816068220213993,-45804.0,0.883403208931858,-54190.0,6,6,12
CORE_TIER,7,0.0,0.0,971143.0,3.0902056752242713,7824.0,461206.0,2.573845565853592,509937.0,3.972145804676754,-185.0,7,7,14
CORE_TIER,7,0.1,0.6000000000000001,799951.0,2.4344059761013326,10627.0,357718.0,2.0169376847850806,442233.0,3.1475127228934383,-7745.0,7,7,14
CORE_TIER,7,0.25,1.5,543163.0,1.7789561391432047,21617.0,202486.0,1.4603691392661777,340677.0,2.3232127459586267,-19085.0,7,7,14
CORE_TIER,7,0.35,2.0999999999999996,371971.0,1.4706301368476458,33216.0,98998.0,1.198571858389329,272973.0,1.935422078144597,-26645.0,7,7,14
CORE_TIER,7,0.5,3.0,115183.0,1.123855884452932,96320.0,-56234.0,0.904139619245036,171417.0,1.4992456720799645,-37985.0,7,7,14
CORE_TIER,7,0.75,4.5,-312797.0,0.7309634148019707,436379.0,-314954.0,0.5705645106311034,2157.0,1.0050251373351162,-56885.0,7,7,14
CORE_TIER,7,1.0,6.0,-740777.0,0.46910493243204504,816689.0,-573674.0,0.34824881504742083,-167103.0,0.6756112996280565,-75785.0,7,7,14
CORE_TIER,8,0.0,0.0,1108856.0,3.092366681573649,8944.0,526778.0,2.576,582078.0,3.974292678190932,-180.0,8,8,16
CORE_TIER,8,0.1,0.7000000000000001,880600.0,2.3463823046897097,12731.0,388794.0,1.9424440899989819,491806.0,3.036371014156705,-10260.0,8,8,16
CORE_TIER,8,0.25,1.75,538216.0,1.6405861510391064,30132.0,181818.0,1.343072249372606,356398.0,2.148844540862541,-25380.0,8,8,16
CORE_TIER,8,0.35,2.4499999999999997,309960.0,1.321438904726695,57044.0,43834.0,1.0720648146016987,266126.0,1.7474798542823518,-35460.0,8,8,16
CORE_TIER,8,0.5,3.5,-32424.0,0.9718158293442556,231942.0,-163142.0,0.7751905083437831,130718.0,1.3077578676988202,-50580.0,8,8,16
CORE_TIER,8,0.75,5.25,-603064.0,0.5871327805744339,716718.0,-508102.0,0.4485603585808706,-94962.0,0.8239041061597031,-75780.0,8,8,16
CORE_TIER,8,1.0,7.0,-1173704.0,0.3424424842222029,1227300.0,-853062.0,0.24515937217397768,-320642.0,0.5103379081064654,-101179.0,8,8,16
CORE_TIER,9,0.0,0.0,1246569.0,3.0940533185506225,10064.0,592350.0,2.577681539248274,654219.0,3.9759682305739785,-175.0,9,9,18
CORE_TIER,9,0.1,0.8,953097.0,2.2626443679604473,14983.0,414942.0,1.8715218267970561,538155.0,2.930739425250242,-13135.0,9,9,18
CORE_TIER,9,0.25,2.0,512889.0,1.5158966776305862,40128.0,148830.0,1.2373320831260286,364059.0,1.9917863972931888,-32575.0,9,9,18
CORE_TIER,9,0.35,2.8,219417.0,1.19018186356852,97175.0,-28578.0,0.9607311281865251,247995.0,1.5821888865413056,-45535.0,9,9,18
CORE_TIER,9,0.5,4.0,-220791.0,0.8415053300312264,399427.0,-294690.0,0.6646433058392964,73899.0,1.143684597347146,-64975.0,9,9,18
CORE_TIER,9,0.75,6.0,-954471.0,0.4673502871205906,1051387.0,-738210.0,0.3469341174971868,-216261.0,0.6731015155225424,-97375.0,9,9,18
