agent,state,job
DATA_SCOUT,ACTIVE,filesystem/schema/date/hash inventory
INTEGRITY_SCANNER,ACTIVE,zero-byte/hash/duplicate/basic time sanity
CLOCK_AUDITOR,ARMED_NEXT,ordered timestamp/session-anchor validation
BOOK_RECONSTRUCTOR,ARMED_NEXT,ordered bid/ask/depth state
FILL_ENGINE,ARMED_NEXT,Q1-Q10 VWAP/partial-fill simulation
LATENCY_SCANNER,ARMED_NEXT,+25/+50/+100/+250/+500ms replay
CAPACITY_BEND,ARMED_NEXT,nonlinear Q deterioration detector
SIGNAL_SCALE_AGENT,ARMED_NEXT,Current/Core-Tier/Signal-Scale footprint compare
TOXICITY_AGENT,ARMED_NEXT,spread/depth/velocity/structure quality score
ANOMALY_HUNTER,ARMED_NEXT,worst depth/spread/gap/fill divergence
RED_TEAM,ARMED_NEXT,depth haircuts/latency/spread shock
GOVERNOR,ACTIVE,no Pine changes/no live authority
