Q,valid_bbo_events,buy_top_size_ge_Q_pct,sell_top_size_ge_Q_pct,both_sides_top_size_ge_Q_pct,mean_buy_contract_shortfall_per_event,mean_sell_contract_shortfall_per_event,authority_note
1,5856860,100.0,100.0,100.0,0.0,0.0,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
2,5856860,59.473028209655006,59.411954528535766,37.1269417401133,0.40526971790344996,0.4058804547146423,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
3,5856860,34.6948364823472,34.47739915244687,15.387562618877691,1.058321353079978,1.0611064631901737,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
4,5856860,20.04731204092295,19.725911153758158,6.418883155820696,1.8578482326707484,1.863847351652592,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
5,5856860,11.567512284739605,11.201667787859023,2.592225185508959,2.7421731098233524,2.751830673774002,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
6,5856860,6.850308868574628,6.508026485181479,1.2303691739259603,3.6736700211376063,3.686750408922187,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
7,5856860,4.372052601564661,4.1222088286214795,0.7874868103386456,4.629949495121959,4.6455283206359725,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
8,5856860,3.164033287461199,3.009138002274256,0.6262229249119835,5.5983091622473475,5.61543694061323,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
9,5856860,2.5318515381962348,2.4270342811677246,0.5420652021731781,6.572990646865385,6.591166597801553,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
10,5856860,2.147379312464358,2.075463644341849,0.48935777874150993,7.5515168537407416,7.5704119613581335,L1 top-of-book coverage proxy only; not a multi-level fill guarantee
