side,Trade number,route,entry_dt_tv,net,points,at_route_cap,anchor_et,anchor_utc,exact_30m_bar_overlap_files,full_30m_bar_files,full_bar_plus5m_files,full_bar_plus30m_files,same_et_date_candidate_files,nearest_window_boundary_minutes,nearest_file,nearest_file_start_utc,nearest_file_end_utc
BUY,9,WEEKLY,2020-01-12 18:00:00,311.0,8.0,False,2020-01-12T18:00:00-05:00,2020-01-12T23:00:00+00:00,0,0,0,0,0,2923140.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,22,NY,2020-01-27 09:30:00,501.0,12.75,False,2020-01-27T09:30:00-05:00,2020-01-27T14:30:00+00:00,0,0,0,0,0,2902050.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,23,WEAK,2020-01-27 18:00:00,155.5,8.0,False,2020-01-27T18:00:00-05:00,2020-01-27T23:00:00+00:00,0,0,0,0,0,2901540.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,50,NY,2020-02-17 09:30:00,501.0,12.75,False,2020-02-17T09:30:00-05:00,2020-02-17T14:30:00+00:00,0,0,0,0,0,2871810.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,56,NY,2020-02-21 09:30:00,501.0,12.75,False,2020-02-21T09:30:00-05:00,2020-02-21T14:30:00+00:00,0,0,0,0,0,2866050.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,57,WEEKLY,2020-02-23 18:00:00,311.0,8.0,False,2020-02-23T18:00:00-05:00,2020-02-23T23:00:00+00:00,0,0,0,0,0,2862660.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,58,NY,2020-02-24 09:30:00,501.0,12.75,False,2020-02-24T09:30:00-05:00,2020-02-24T14:30:00+00:00,0,0,0,0,0,2861730.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,59,PREMIUM,2020-02-24 18:00:00,311.0,8.0,False,2020-02-24T18:00:00-05:00,2020-02-24T23:00:00+00:00,0,0,0,0,0,2861220.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,65,PREMIUM,2020-02-27 18:00:00,311.0,8.0,False,2020-02-27T18:00:00-05:00,2020-02-27T23:00:00+00:00,0,0,0,0,0,2856900.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,68,NY,2020-03-02 09:30:00,501.0,12.75,False,2020-03-02T09:30:00-05:00,2020-03-02T14:30:00+00:00,0,0,0,0,0,2851650.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
