path,exists,classification,suffix,size_bytes,filename_date_tokens,parser,schema,columns,market_columns,rows,candidate_start_utc,candidate_end_utc,decode_note,block_hint,x3b_authority_rank,x3b_authority_type,x3b_start_utc,x3b_end_utc,alias_flag
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\condition.json,True,MARKET_DATA_OTHER,.json,1442,,NONE,,,,,,,UNSUPPORTED_FOR_PROBE,AUG_2025,-1,NOT_IN_X3B,,,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,302304,2025-08-03,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,13823,2025-08-03T22:00:00+00:00,2025-08-03T23:59:58.554857505+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-03T22:00:00+00:00,2025-08-03T23:59:58.554857505+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250804.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,6634258,2025-08-04,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,294160,2025-08-04T00:00:00.035161229+00:00,2025-08-04T23:59:54.763546381+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-04T00:00:00.035161229+00:00,2025-08-04T23:59:54.763546381+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250805.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,7998095,2025-08-05,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,357057,2025-08-05T00:00:00.006165429+00:00,2025-08-05T23:59:59.422599571+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-05T00:00:00.006165429+00:00,2025-08-05T23:59:59.422599571+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250806.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,7569588,2025-08-06,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,337093,2025-08-06T00:00:00.051736401+00:00,2025-08-06T23:59:59.134410529+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-06T00:00:00.051736401+00:00,2025-08-06T23:59:59.134410529+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250807.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,8323259,2025-08-07,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,369418,2025-08-07T00:00:00.000847487+00:00,2025-08-07T23:59:49.920580369+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-07T00:00:00.000847487+00:00,2025-08-07T23:59:49.920580369+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250808.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,6244236,2025-08-08,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,274682,2025-08-08T00:00:00.028349757+00:00,2025-08-08T20:59:58.477286871+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-08T00:00:00.028349757+00:00,2025-08-08T20:59:58.477286871+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250810.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,150747,2025-08-10,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,6999,2025-08-10T22:00:00+00:00,2025-08-10T23:59:55.124086645+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-10T22:00:00+00:00,2025-08-10T23:59:55.124086645+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250811.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,6264922,2025-08-11,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,276524,2025-08-11T00:00:00.103140575+00:00,2025-08-11T23:59:54.804105753+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-11T00:00:00.103140575+00:00,2025-08-11T23:59:54.804105753+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250812.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,7004300,2025-08-12,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,311737,2025-08-12T00:00:00.037241223+00:00,2025-08-12T23:59:57.481830393+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-12T00:00:00.037241223+00:00,2025-08-12T23:59:57.481830393+00:00,
