path,name,size_bytes,size_human,mtime,sha256,classification,csv_rows,columns,first_time,last_time,date_tokens,integrity_status,notes,block_hint,actual_schema,authority_type,authority_label,authority_rank,rows,start_utc,end_utc,decode_status,decode_error
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\condition.json,condition.json,1442,1.41 KB,2026-08-06T02:24:20.969788,5829DCA09DE3054C3F12260FF8F1F61A32595B9B53315340D1CCCAB5DD129513,MARKET_DATA_OTHER,,,,,,PASS,,AUG_2025,,,,-1,,,,,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,glbx-mdp3-20250803.tbbo.dbn.zst,302304,295.22 KB,2026-08-06T02:24:20.970941,10A66B1F3C7489B3CEBDEC19B21B8602FA84E14BC34C717ADD60DF0DF84E92AC,DBN_HIGH_DETAIL,,,1754179200000000000,1754265600000000000,2025-08-03,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,13823,2025-08-03T22:00:00+00:00,2025-08-03T23:59:58.554857505+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250804.tbbo.dbn.zst,glbx-mdp3-20250804.tbbo.dbn.zst,6634258,6.33 MB,2026-08-06T02:24:20.975107,A254010E9FBCF96261604F4240F65ACB1637555252EECABC6CF91EF857D0C4CC,DBN_HIGH_DETAIL,,,1754265600000000000,1754352000000000000,2025-08-04,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,294160,2025-08-04T00:00:00.035161229+00:00,2025-08-04T23:59:54.763546381+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250805.tbbo.dbn.zst,glbx-mdp3-20250805.tbbo.dbn.zst,7998095,7.63 MB,2026-08-06T02:24:20.979985,AE2D82C09D745E35B43B50C0E1A4D3E50E230C45EF961EBA3D901B3497421ADE,DBN_HIGH_DETAIL,,,1754352000000000000,1754438400000000000,2025-08-05,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,357057,2025-08-05T00:00:00.006165429+00:00,2025-08-05T23:59:59.422599571+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250806.tbbo.dbn.zst,glbx-mdp3-20250806.tbbo.dbn.zst,7569588,7.22 MB,2026-08-06T02:24:20.985429,ABCAFE6F3A9C54544EB630886101E6CFFC8078982D282F873E64A3B4621A5175,DBN_HIGH_DETAIL,,,1754438400000000000,1754524800000000000,2025-08-06,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,337093,2025-08-06T00:00:00.051736401+00:00,2025-08-06T23:59:59.134410529+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250807.tbbo.dbn.zst,glbx-mdp3-20250807.tbbo.dbn.zst,8323259,7.94 MB,2026-08-06T02:24:20.990602,4C3DD716D53CA136D1CC3EF5E83C3894FD87B6ECA31365797C5E1258DEB74B31,DBN_HIGH_DETAIL,,,1754524800000000000,1754611200000000000,2025-08-07,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,369418,2025-08-07T00:00:00.000847487+00:00,2025-08-07T23:59:49.920580369+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250808.tbbo.dbn.zst,glbx-mdp3-20250808.tbbo.dbn.zst,6244236,5.95 MB,2026-08-06T02:24:20.994834,5F26371B721B4FAA52E85C79F38EAA0F79C7EFC6261C36F70876AC170FEDE98A,DBN_HIGH_DETAIL,,,1754611200000000000,1754697600000000000,2025-08-08,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,274682,2025-08-08T00:00:00.028349757+00:00,2025-08-08T20:59:58.477286871+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250810.tbbo.dbn.zst,glbx-mdp3-20250810.tbbo.dbn.zst,150747,147.21 KB,2026-08-06T02:24:20.994834,8E5FD256D9C4E8FDDCB776DC64F3D8897DD77BD874096EF07EF24BE579F160EA,DBN_HIGH_DETAIL,,,1754784000000000000,1754870400000000000,2025-08-10,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,6999,2025-08-10T22:00:00+00:00,2025-08-10T23:59:55.124086645+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250811.tbbo.dbn.zst,glbx-mdp3-20250811.tbbo.dbn.zst,6264922,5.97 MB,2026-08-06T02:24:20.999005,2235BEF254BE2B69918701F5AC65B32E82404642E3014904988E4D4582FF3789,DBN_HIGH_DETAIL,,,1754870400000000000,1754956800000000000,2025-08-11,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,276524,2025-08-11T00:00:00.103140575+00:00,2025-08-11T23:59:54.804105753+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250812.tbbo.dbn.zst,glbx-mdp3-20250812.tbbo.dbn.zst,7004300,6.68 MB,2026-08-06T02:24:21.003356,EC21E3375FE890AB2588B62F364D691955ED6F98109C0AD81C1084AEEB053E38,DBN_HIGH_DETAIL,,,1754956800000000000,1755043200000000000,2025-08-12,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,311737,2025-08-12T00:00:00.037241223+00:00,2025-08-12T23:59:57.481830393+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250813.tbbo.dbn.zst,glbx-mdp3-20250813.tbbo.dbn.zst,6540029,6.24 MB,2026-08-06T02:24:21.008526,9A38BD524F8EF8DA3F8EB3CFBA2C78D0BF3B1C6243CF1F360CEF26E10206BC23,DBN_HIGH_DETAIL,,,1755043200000000000,1755129600000000000,2025-08-13,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,289165,2025-08-13T00:00:00.004277899+00:00,2025-08-13T23:59:58.836156381+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250814.tbbo.dbn.zst,glbx-mdp3-20250814.tbbo.dbn.zst,7192573,6.86 MB,2026-08-06T02:24:21.012707,963F6910CAEBF84BE7E6546ACE6EC9A66290B1F9BC9EF0F69FE3182F6F597AD1,DBN_HIGH_DETAIL,,,1755129600000000000,1755216000000000000,2025-08-14,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,318944,2025-08-14T00:00:00.120158321+00:00,2025-08-14T23:59:56.602032743+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250815.tbbo.dbn.zst,glbx-mdp3-20250815.tbbo.dbn.zst,6187229,5.90 MB,2026-08-06T02:24:21.016884,E2619FE23B415A0737EC0FD9686FF39C5CD28606B0D4D16EF2EB7A116F709734,DBN_HIGH_DETAIL,,,1755216000000000000,1755302400000000000,2025-08-15,PASS,DBN_SCHEMA:tbbo;,AUG_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,275563,2025-08-15T00:00:00.052814871+00:00,2025-08-15T20:59:59.613213185+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\manifest.json,manifest.json,6853,6.69 KB,2026-08-06T02:24:21.016884,56576D97E89F2B2BB0A2749C2C4FED4DC04C7461CBD903B0ECCDADB8489341EE,MARKET_DATA_OTHER,,,,,,PASS,,AUG_2025,,,,-1,,,,,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\metadata.json,metadata.json,685,685.00 B,2026-08-06T02:24:20.970941,79C6CAD4A2A925183038E4DCEBB0B725DD793EB912E18AD567494753CCB215A4,MARKET_DATA_OTHER,,,,,,PASS,,AUG_2025,,,,-1,,,,,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\condition.json,condition.json,721,721.00 B,2026-08-06T02:24:21.148616,9A133BE2CF6B9EC178BBA42DFDDE09C9AD5E7D8D72F2C94D2392643C6A7556A0,MARKET_DATA_OTHER,,,,,,PASS,,SEP_2025,,,,-1,,,,,
