side,Trade number,route,entry_dt,exit_dt,net,points,at_route_cap,exit_bar_utc,authority_files_overlapping_exit_bar,full_5m_covered,full_30m_covered,best_authority_rank
BUY,9,WEEKLY,2020-01-12 18:00:00,2020-01-12 18:00:00,311.0,8.0,False,2020-01-12T23:00:00+00:00,0,False,False,0
BUY,22,NY,2020-01-27 09:30:00,2020-01-27 09:30:00,501.0,12.75,False,2020-01-27T14:30:00+00:00,0,False,False,0
BUY,23,WEAK,2020-01-27 18:00:00,2020-01-27 18:00:00,155.5,8.0,False,2020-01-27T23:00:00+00:00,0,False,False,0
BUY,50,NY,2020-02-17 09:30:00,2020-02-17 12:30:00,501.0,12.75,False,2020-02-17T17:30:00+00:00,0,False,False,0
BUY,56,NY,2020-02-21 09:30:00,2020-02-21 09:30:00,501.0,12.75,False,2020-02-21T14:30:00+00:00,0,False,False,0
BUY,57,WEEKLY,2020-02-23 18:00:00,2020-02-23 18:00:00,311.0,8.0,False,2020-02-23T23:00:00+00:00,0,False,False,0
BUY,58,NY,2020-02-24 09:30:00,2020-02-24 09:30:00,501.0,12.75,False,2020-02-24T14:30:00+00:00,0,False,False,0
BUY,59,PREMIUM,2020-02-24 18:00:00,2020-02-24 18:00:00,311.0,8.0,False,2020-02-24T23:00:00+00:00,0,False,False,0
BUY,65,PREMIUM,2020-02-27 18:00:00,2020-02-27 18:00:00,311.0,8.0,False,2020-02-27T23:00:00+00:00,0,False,False,0
BUY,68,NY,2020-03-02 09:30:00,2020-03-02 09:30:00,501.0,12.75,False,2020-03-02T14:30:00+00:00,0,False,False,0
BUY,71,PREMIUM,2020-03-03 18:00:00,2020-03-03 18:00:00,311.0,8.0,False,2020-03-03T23:00:00+00:00,0,False,False,0
BUY,78,WEAK,2020-03-09 18:00:00,2020-03-09 18:00:00,155.5,8.0,False,2020-03-09T22:00:00+00:00,0,False,False,0
BUY,80,WEAK,2020-03-10 18:00:00,2020-03-10 18:00:00,155.5,8.0,False,2020-03-10T22:00:00+00:00,0,False,False,0
BUY,83,NY,2020-03-12 09:30:00,2020-03-12 09:30:00,501.0,12.75,False,2020-03-12T13:30:00+00:00,0,False,False,0
BUY,84,PREMIUM,2020-03-12 18:00:00,2020-03-12 18:00:00,311.0,8.0,False,2020-03-12T22:00:00+00:00,0,False,False,0
BUY,85,NY,2020-03-13 09:30:00,2020-03-13 09:30:00,501.0,12.75,False,2020-03-13T13:30:00+00:00,0,False,False,0
BUY,93,NY,2020-03-19 09:30:00,2020-03-19 09:30:00,501.0,12.75,False,2020-03-19T13:30:00+00:00,0,False,False,0
BUY,94,PREMIUM,2020-03-19 18:00:00,2020-03-19 18:00:00,311.0,8.0,False,2020-03-19T22:00:00+00:00,0,False,False,0
BUY,98,WEAK,2020-03-23 18:00:00,2020-03-23 18:00:00,155.5,8.0,False,2020-03-23T22:00:00+00:00,0,False,False,0
BUY,99,NY,2020-03-24 09:30:00,2020-03-24 09:30:00,501.0,12.75,False,2020-03-24T13:30:00+00:00,0,False,False,0
BUY,100,WEAK,2020-03-24 18:00:00,2020-03-24 18:00:00,155.5,8.0,False,2020-03-24T22:00:00+00:00,0,False,False,0
BUY,101,NY,2020-03-25 09:30:00,2020-03-25 09:30:00,501.0,12.75,False,2020-03-25T13:30:00+00:00,0,False,False,0
BUY,113,WEEKLY,2020-04-05 18:00:00,2020-04-05 18:00:00,311.0,8.0,False,2020-04-05T22:00:00+00:00,0,False,False,0
BUY,114,NY,2020-04-06 09:30:00,2020-04-06 09:30:00,501.0,12.75,False,2020-04-06T13:30:00+00:00,0,False,False,0
