side,Trade number,entry_dt,exit_dt,route,qty,entry_price,exit_price,net,commission,points,target_bps,route_cap_points,at_route_cap,pre_exit_extra_fav_gross_proxy,signal_exit
BUY,9,2020-01-12 18:00:00,2020-01-12 18:00:00,WEEKLY,2,8979.25,8987.25,311.0,9.0,8.0,8.909430074894896,10.0,False,0.0,NQ09B BUY WEEKLY W80
BUY,22,2020-01-27 09:30:00,2020-01-27 09:30:00,NY,2,8947.5,8960.25,501.0,9.0,12.75,14.249790444258172,16.0,False,0.0,NQ09B BUY NY N130 TP2
BUY,23,2020-01-27 18:00:00,2020-01-27 18:00:00,WEAK,1,8952.75,8960.75,155.5,4.5,8.0,8.935801848594007,10.0,False,0.0,NQ09B BUY WEEKDAY 1800 D80
BUY,50,2020-02-17 09:30:00,2020-02-17 12:30:00,NY,2,9656.5,9669.25,501.0,9.0,12.75,13.203541655879459,16.0,False,0.0,NQ09B BUY NY N130 TP2
BUY,56,2020-02-21 09:30:00,2020-02-21 09:30:00,NY,2,9590.25,9603.0,501.0,9.0,12.75,13.294752482990537,16.0,False,0.0,NQ09B BUY NY N130 TP2
BUY,57,2020-02-23 18:00:00,2020-02-23 18:00:00,WEEKLY,2,9355.5,9363.5,311.0,9.0,8.0,8.551119662230773,10.0,False,0.0,NQ09B BUY WEEKLY W80
BUY,58,2020-02-24 09:30:00,2020-02-24 09:30:00,NY,2,9104.25,9117.0,501.0,9.0,12.75,14.004448471867535,16.0,False,0.0,NQ09B BUY NY N130 TP2
BUY,59,2020-02-24 18:00:00,2020-02-24 18:00:00,PREMIUM,2,9091.25,9099.25,311.0,9.0,8.0,8.799670012374536,10.0,False,0.0,NQ09B BUY WEEKDAY 1800 D80
BUY,65,2020-02-27 18:00:00,2020-02-27 18:00:00,PREMIUM,2,8347.25,8355.25,311.0,9.0,8.0,9.5839947288029,10.0,False,0.0,NQ09B BUY WEEKDAY 1800 D80
BUY,68,2020-03-02 09:30:00,2020-03-02 09:30:00,NY,2,8564.25,8577.0,501.0,9.0,12.75,14.88746825466328,16.0,False,0.0,NQ09B BUY NY N130 TP2
BUY,71,2020-03-03 18:00:00,2020-03-03 18:00:00,PREMIUM,2,8557.75,8565.75,311.0,9.0,8.0,9.348251584820776,10.0,False,0.0,NQ09B BUY WEEKDAY 1800 D80
BUY,78,2020-03-09 18:00:00,2020-03-09 18:00:00,WEAK,1,7894.0,7902.0,155.5,4.5,8.0,10.134279199391944,10.0,False,0.0,NQ09B BUY WEEKDAY 1800 D80
BUY,80,2020-03-10 18:00:00,2020-03-10 18:00:00,WEAK,1,8317.25,8325.25,155.5,4.5,8.0,9.618563828188403,10.0,False,0.0,NQ09B BUY WEEKDAY 1800 D80
BUY,83,2020-03-12 09:30:00,2020-03-12 09:30:00,NY,2,7505.75,7518.5,501.0,9.0,12.75,16.986976651234055,16.0,False,0.0,NQ09B BUY NY N130 TP2
BUY,84,2020-03-12 18:00:00,2020-03-12 18:00:00,PREMIUM,2,7100.25,7108.25,311.0,9.0,8.0,11.267208901095032,10.0,False,0.0,NQ09B BUY WEEKDAY 1800 D80
BUY,85,2020-03-13 09:30:00,2020-03-13 09:30:00,NY,2,7690.25,7703.0,501.0,9.0,12.75,16.579434998862194,16.0,False,0.0,NQ09B BUY NY N130 TP2
BUY,93,2020-03-19 09:30:00,2020-03-19 09:30:00,NY,2,7177.5,7190.25,501.0,9.0,12.75,17.763845350052247,16.0,False,0.0,NQ09B BUY NY N130 TP2
BUY,94,2020-03-19 18:00:00,2020-03-19 18:00:00,PREMIUM,2,7177.25,7185.25,311.0,9.0,8.0,11.14633041903236,10.0,False,0.0,NQ09B BUY WEEKDAY 1800 D80
BUY,98,2020-03-23 18:00:00,2020-03-23 18:00:00,WEAK,1,7006.0,7014.0,155.5,4.5,8.0,11.418783899514702,10.0,False,0.0,NQ09B BUY WEEKDAY 1800 D80
