year,route,target_wins,median_target_points,mean_target_points,max_target_points,median_target_bps,median_entry_price,route_cap_points,cap_wins,cap_wins_pct
2020,NY,91,12.75,14.445054945054945,167.0,12.176778167753026,10470.75,16.0,0,0.0
2020,PREMIUM,22,8.0,8.0,8.0,8.1534134241834,9815.5,10.0,0,0.0
2020,WEAK,28,8.0,8.0,8.0,8.163942611137301,9801.75,10.0,0,0.0
2020,WEEKLY,30,8.0,8.0,8.0,7.866855242954188,10178.75,10.0,0,0.0
2021,NY,95,12.75,12.75,12.75,8.64582626974978,14747.0,16.0,0,0.0
2021,PREMIUM,10,8.0,8.0,8.0,5.847748082442249,13685.25,10.0,0,0.0
2021,WEAK,16,8.0,8.0,8.0,5.724580424824913,13974.875,10.0,0,0.0
2021,WEEKLY,24,8.0,8.0,8.0,5.711896808877451,14005.875,10.0,0,0.0
2022,NY,141,12.75,12.75,12.75,10.218802596778072,12477.0,16.0,0,0.0
2022,PREMIUM,12,8.0,8.0,8.0,6.121751060031498,13069.875,10.0,0,0.0
2022,WEAK,10,8.0,8.0,8.0,5.951837875087171,13449.25,10.0,0,0.0
2022,WEEKLY,36,8.0,8.0,8.0,6.316369952733589,12665.625,10.0,0,0.0
2023,NY,91,12.75,12.752747252747254,13.0,8.503117809863618,14994.5,16.0,0,0.0
2023,PREMIUM,10,8.0,8.0,8.0,5.2685467627608835,15184.625,10.0,0,0.0
2023,WEAK,8,8.0,8.0,8.0,6.071746360692612,13176.75,10.0,0,0.0
2023,WEEKLY,26,8.0,8.0,8.0,5.434363287270543,14721.25,10.0,0,0.0
2024,NY,88,13.875,14.051136363636363,15.75,7.320330396833782,18985.125,16.0,0,0.0
2024,PREMIUM,17,8.75,8.617647058823529,9.25,4.513314277117496,19216.75,10.0,0,0.0
2024,WEAK,15,9.0,9.066666666666666,9.75,4.414307260309246,20388.25,10.0,0,0.0
2024,WEEKLY,31,9.0,8.733870967741936,9.5,4.548325963360708,19749.25,10.0,0,0.0
2025,NY,108,15.5,15.24537037037037,16.0,7.0390158654984685,21797.875,16.0,45,41.666666666666664
2025,PREMIUM,19,9.25,9.407894736842104,10.0,4.308086394597427,21547.5,10.0,8,42.10526315789474
2025,WEAK,25,9.25,9.31,10.0,4.35688800442754,21334.5,10.0,7,28.0
2025,WEEKLY,35,9.5,9.45,10.0,4.309742347295345,21701.0,10.0,13,37.142857142857146
2026,NY,109,16.0,16.0,16.0,5.837072708036919,27411.0,16.0,109,100.0
2026,PREMIUM,14,10.0,10.0,10.0,3.740133902574523,26745.0,10.0,14,100.0
2026,WEAK,21,10.0,10.0,10.0,3.6189924724956573,27632.0,10.0,21,100.0
2026,WEEKLY,26,10.0,10.0,10.0,3.617357781595242,27646.625,10.0,26,100.0
